rebalance_date,portfolio,theme,leader_count,selected_count,capture_rate
2019-10-31,main,Food & Staples Retailing,4,1,0.25
2019-10-31,main,Banks - Diversified,1,0,0.0
2019-10-31,main,Capital Markets,1,0,0.0
2019-10-31,main,Commercial Services,2,0,0.0
2019-10-31,main,Construction & Engineering,2,0,0.0
2019-10-31,main,Equity REITs,1,0,0.0
2019-10-31,main,Insurance,1,0,0.0
2019-10-31,main,Medical Devices,2,0,0.0
2019-10-31,main,Metals & Mining,1,0,0.0
2019-10-31,main,Other,2,0,0.0
2019-10-31,main,Utilities,2,0,0.0
2019-11-29,concentrated,Semiconductors,6,2,0.3333333333333333
2019-11-29,concentrated,Auto Manufacturers & Parts,5,1,0.2
2019-11-29,concentrated,Apparel & Luxury,1,0,0.0
2019-11-29,concentrated,Banks - Diversified,1,0,0.0
2019-11-29,concentrated,Banks - Regional,2,0,0.0
2019-11-29,concentrated,Capital Goods - Machinery,1,0,0.0
2019-11-29,concentrated,Capital Markets,1,0,0.0
2019-11-29,concentrated,Commercial Services,1,0,0.0
2019-11-29,concentrated,Diagnostics & Research,1,0,0.0
2019-11-29,concentrated,Medical Devices,2,0,0.0
2019-11-29,concentrated,Metals & Mining,1,0,0.0
2019-11-29,concentrated,Pharmaceuticals,1,0,0.0
2019-11-29,concentrated,Transportation & Logistics,2,0,0.0
2019-11-29,main,Apparel & Luxury,1,1,1.0
2019-11-29,main,Semiconductors,6,4,0.6666666666666666
2019-11-29,main,Auto Manufacturers & Parts,5,1,0.2
2019-11-29,main,Banks - Diversified,1,0,0.0
2019-11-29,main,Banks - Regional,2,0,0.0
2019-11-29,main,Capital Goods - Machinery,1,0,0.0
2019-11-29,main,Capital Markets,1,0,0.0
2019-11-29,main,Commercial Services,1,0,0.0
2019-11-29,main,Diagnostics & Research,1,0,0.0
2019-11-29,main,Medical Devices,2,0,0.0
2019-11-29,main,Metals & Mining,1,0,0.0
2019-11-29,main,Pharmaceuticals,1,0,0.0
2019-11-29,main,Transportation & Logistics,2,0,0.0
2019-12-31,concentrated,Auto Manufacturers & Parts,2,1,0.5
2019-12-31,concentrated,Semiconductors,8,3,0.375
2019-12-31,concentrated,Apparel & Luxury,3,1,0.3333333333333333
2019-12-31,concentrated,Banks - Diversified,1,0,0.0
