label,horizon,action,n,avg_return,median_return,hit_rate,worst_return,best_return
DISTRIBUTION,6m,trim50,450,0.0061729533254044865,-0.005071460815774836,0.48,-0.29374527349114543,1.0539873210447317
SHAKEOUT,1m,add25,437,0.0885312667748787,0.07299265517964088,0.7368421052631579,-0.38217888071839207,0.9213957421645083
SHAKEOUT,1m,exit_to_cash,437,0.0,0.0,0.0,0.0,0.0
SHAKEOUT,1m,hold,437,0.07082501341990295,0.0583941241437127,0.7368421052631579,-0.30574310457471365,0.7371165937316067
SHAKEOUT,1m,label_oracle,437,0.0885312667748787,0.07299265517964088,0.7368421052631579,-0.38217888071839207,0.9213957421645083
SHAKEOUT,1m,trim50,437,0.035412506709951476,0.02919706207185635,0.7368421052631579,-0.15287155228735683,0.3685582968658033
SHAKEOUT,3m,add25,437,0.2724372076745056,0.22062010581756192,0.9153318077803204,-0.280208322736952,1.5896329935386
SHAKEOUT,3m,exit_to_cash,437,0.0,0.0,0.0,0.0,0.0
SHAKEOUT,3m,hold,437,0.21794976613960446,0.17649608465404953,0.9153318077803204,-0.2241666581895616,1.27170639483088
SHAKEOUT,3m,label_oracle,437,0.2724372076745056,0.22062010581756192,0.9153318077803204,-0.280208322736952,1.5896329935386
SHAKEOUT,3m,trim50,437,0.10897488306980223,0.08824804232702477,0.9153318077803204,-0.1120833290947808,0.63585319741544
SHAKEOUT,6m,add25,437,0.6160538374038088,0.4559183482397383,1.0,0.2511329819241401,5.902217475427985
SHAKEOUT,6m,exit_to_cash,437,0.0,0.0,0.0,0.0,0.0
SHAKEOUT,6m,hold,437,0.4928430699230471,0.36473467859179065,1.0,0.20090638553931206,4.721773980342388
SHAKEOUT,6m,label_oracle,437,0.6160538374038088,0.4559183482397383,1.0,0.2511329819241401,5.902217475427985
SHAKEOUT,6m,trim50,437,0.24642153496152355,0.18236733929589533,1.0,0.10045319276965603,2.360886990171194
TRUE_BREAKDOWN,1m,add25,141,-0.1287298683344584,-0.09551098654705256,0.10638297872340426,-0.49357423380215787,0.06028816554997457
TRUE_BREAKDOWN,1m,exit_to_cash,141,0.0,0.0,0.0,0.0,0.0
TRUE_BREAKDOWN,1m,hold,141,-0.10298389466756672,-0.07640878923764205,0.10638297872340426,-0.3948593870417263,0.048230532439979656
TRUE_BREAKDOWN,1m,label_oracle,141,0.0,0.0,0.0,0.0,0.0
TRUE_BREAKDOWN,1m,trim50,141,-0.05149194733378336,-0.038204394618821025,0.10638297872340426,-0.19742969352086315,0.024115266219989828
TRUE_BREAKDOWN,3m,add25,141,-0.2062300810628708,-0.19028687167867486,0.0425531914893617,-0.6374700720933655,0.04875161368777525
TRUE_BREAKDOWN,3m,exit_to_cash,141,0.0,0.0,0.0,0.0,0.0
TRUE_BREAKDOWN,3m,hold,141,-0.16498406485029662,-0.1522294973429399,0.0425531914893617,-0.5099760576746923,0.0390012909502202
TRUE_BREAKDOWN,3m,label_oracle,141,0.0,0.0,0.0,0.0,0.0
TRUE_BREAKDOWN,3m,trim50,141,-0.08249203242514831,-0.07611474867146995,0.0425531914893617,-0.25498802883734617,0.0195006454751101
TRUE_BREAKDOWN,6m,add25,141,-0.22298476916820964,-0.21948752322917722,0.1276595744680851,-0.7038108518245054,0.23509943342797462
TRUE_BREAKDOWN,6m,exit_to_cash,141,0.0,0.0,0.0,0.0,0.0
TRUE_BREAKDOWN,6m,hold,141,-0.17838781533456774,-0.17559001858334178,0.1276595744680851,-0.5630486814596043,0.1880795467423797
TRUE_BREAKDOWN,6m,label_oracle,141,0.0,0.0,0.0,0.0,0.0
TRUE_BREAKDOWN,6m,trim50,141,-0.08919390766728387,-0.08779500929167089,0.1276595744680851,-0.28152434072980215,0.09403977337118985
