rebalance_date,source_rebalance_date,state,multiplier,shadow_drawdown,stock_weight_sum
2025-05-30,2025-05-30,caution,0.75,-0.09635033582857677,0.495
2025-06-30,2025-06-30,caution,0.75,-0.07289230665677693,0.495
2025-07-31,2025-07-31,caution,0.75,-0.07490963174327003,0.495
2025-08-29,2025-08-29,caution,0.75,-0.07818864854399177,0.495
2025-09-17,2025-08-29,normal,1.0,-0.05134262046206306,0.66
2025-09-30,2025-09-30,normal,1.0,-0.06576835715145224,0.66
2025-10-31,2025-10-31,normal,1.0,-0.05853852815834859,0.66
2025-11-28,2025-11-28,normal,1.0,-0.007213808379035402,0.66
2025-12-31,2025-12-31,normal,1.0,-0.0211021813562835,0.66
2026-01-30,2026-01-30,normal,1.0,-0.00037961260522378915,0.66
2026-02-27,2026-02-27,normal,1.0,0.0,0.66
2026-03-31,2026-03-31,normal,1.0,-0.004834791209157863,0.66
