rebalance_date,next_rebalance_date,gross_return,cost,net_return,turnover,missing_tickers,cash_weight,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,target_n,weighting_mode,portfolio_mode,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,equity,equity_value_usd,bench_return,benchmark_equity,benchmark_value_usd,target_stock_names
2021-09-30,2021-10-29,0.03119471812758623,0.00375,0.02744471812758623,0.75,0,0.0,rebalance,1,2021-10-29,1,score_power,concentrated_alpha,0.03119471812758623,0.0,0,True,-0.08,1.5774342920783138,157743.4292078314,0.058900078952683455,1.6810909289657305,168109.09289657304,1
2021-10-29,2021-11-30,-0.02620773216424005,0.00375,-0.02995773216424005,0.75,0,0.0,rebalance,1,2021-11-30,1,score_power,concentrated_alpha,-0.02620773216424005,0.0,0,True,-0.08,1.5301779380495442,153017.79380495442,-0.0218112695533057,1.644424201570442,164442.4201570442,1
2021-11-30,2021-12-31,0.021663576749540003,0.00375,0.017913576749540003,0.75,0,0.0,rebalance,1,2021-12-31,1,score_power,concentrated_alpha,0.021663576749540003,0.0,0,True,-0.08,1.5575888979832475,155758.88979832476,0.06282239909240794,1.7477308750387146,174773.08750387147,1
2021-12-31,2022-01-31,-0.03643508760317571,0.00375,-0.04018508760317571,0.75,0,0.0,rebalance,1,2022-01-31,1,score_power,concentrated_alpha,-0.03643508760317571,0.0,0,True,-0.08,1.4949970516680569,149499.70516680568,-0.05212485614690532,1.6566306545938168,165663.06545938167,1
2022-01-31,2022-02-28,-0.027067843388840662,0.00375,-0.030817843388840662,0.75,0,0.0,rebalance,1,2022-02-28,1,score_power,concentrated_alpha,-0.027067843388840662,0.0,0,True,-0.08,1.4489244666629721,144892.4466662972,-0.052848979663656315,1.5690794148189984,156907.94148189985,1
2022-02-28,2022-03-31,0.03865129859097538,0.00375,0.03490129859097538,0.75,0,0.0,rebalance,1,2022-03-31,1,score_power,concentrated_alpha,0.03865129859097538,0.0,0,True,-0.08,1.4994938121097463,149949.38121097462,0.05563992884777025,1.6563828818160284,165638.28818160284,1
2022-03-31,2022-04-29,-0.04,0.00375,-0.04375,0.75,0,1.0,rebalance,1,2022-04-29,1,score_power,concentrated_alpha,-0.09838407802030008,0.05838407802030008,1,True,-0.08,1.433890957829945,143389.0957829945,-0.08589793790393885,1.514103007888648,151410.30078886478,1
2022-04-29,2022-05-31,-0.04,0.00375,-0.04375,0.75,0,1.0,rebalance,1,2022-05-31,1,score_power,concentrated_alpha,-0.043426783240427036,0.003426783240427035,1,True,-0.08,1.3711582284248849,137115.8228424885,-0.013031299183227651,1.494372278598626,149437.22785986259,1
2022-05-31,2022-06-30,-0.04,0.00375,-0.04375,0.75,0,1.0,rebalance,1,2022-06-30,1,score_power,concentrated_alpha,-0.0864728218011318,0.046472821801131804,1,True,-0.08,1.3111700559312962,131117.0055931296,-0.06727250117647621,1.3938421177285065,139384.21177285066,1
2022-06-30,2022-07-29,-0.037837173559368054,0.00375,-0.04158717355936806,0.75,0,0.0,rebalance,1,2022-07-29,1,score_power,concentrated_alpha,-0.037837173559368054,0.0,0,True,-0.08,1.2566421992494352,125664.21992494352,0.07667312362593548,1.50071234673614,150071.234673614,1
