ticker,side,reason,risk_rule_action,signal_date,fill_date,fill_price,sell_fraction,portfolio_kind,price_return,drawdown_from_peak,benchmark_return,relative_return,protected,quantity,gross_value,fee_usd,cash_after,shares_after
FANG,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-16,2022-06-17,103.35319519042969,1.0,main,-0.1256459889962669,-0.16658361640210273,-0.10483653930494263,-0.023246536085338665,False,49.0,5064.306564331055,12.660766410827637,48053.924026711036,0.0
FCX,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-16,2022-06-17,31.913162231445312,1.0,main,-0.12033306610238481,-0.19635872751212224,-0.10483653930494263,-0.017311393368770633,False,17.0,542.5237579345703,1.3563093948364258,48595.09147525077,0.0
LYB,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-16,2022-06-17,70.47920227050781,1.0,main,-0.10587413029499182,-0.18771151073349668,-0.11539741795548175,0.010765611421209575,False,8.0,563.8336181640625,1.4095840454101562,49157.51550936942,0.0
HD,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-17,2022-06-21,244.6884002685547,1.0,main,-0.08903394217528493,-0.1148853788322266,-0.10290690926762558,0.015464356191858375,False,64.0,15660.0576171875,39.15014404296875,64778.42298251395,0.0
VLO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-17,2022-06-21,103.92198181152344,1.0,main,-0.09981168486158909,-0.224979348419046,-0.1134905531331889,0.015430031027807933,False,126.0,13094.169708251953,32.735424270629885,77839.85726649527,0.0
CB,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-23,2022-06-24,185.456298828125,1.0,main,-0.08489553798051663,-0.12249025473099917,-0.08392889628108835,-0.0010552037887715526,False,3.0,556.368896484375,1.3909222412109374,78394.83524073844,0.0
NFG,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-23,2022-06-24,58.147193908691406,1.0,main,-0.0824769833972171,-0.13613469997455885,-0.08392889628108835,0.0015849347042788953,False,110.0,6396.191329956055,15.990478324890137,84775.0360923696,0.0
AEE,SELL,weekly_relative_trim,weekly_relative_trim,2022-07-08,2022-07-11,78.45405578613281,0.5,main,-0.04816134814900408,-0.04816134814900408,0.019489297917297366,-0.06635738717856499,False,43.0,3373.524398803711,8.433810997009278,3375.593899185703,44.0
ETR,SELL,weekly_relative_trim,weekly_relative_trim,2022-07-08,2022-07-11,48.088043212890625,0.5,main,-0.04518649177989864,-0.04518649177989864,0.019489297917297366,-0.06343940032457562,False,7.0,336.6163024902344,0.841540756225586,3711.3686609197116,7.0
JD,SELL,weekly_relative_trim,weekly_relative_trim,2022-07-08,2022-07-11,53.5281982421875,0.5,main,-0.059742180981756876,-0.059742180981756876,0.019489297917297366,-0.07771683239923688,False,66.0,3532.861083984375,8.832152709960937,7235.3975921941255,67.0
JD,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-07-11,2022-07-12,54.04021453857422,1.0,main,-0.09643663499387078,-0.09643663499387078,0.00784283700244326,-0.10346798942031998,False,67.0,3620.6943740844727,9.051735935211182,10847.040230343388,0.0
NOW,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-07-12,2022-07-13,84.55400085449219,1.0,main,-0.11648364872684203,-0.13904039549748315,-0.0010754389059228764,-0.11553245792106437,False,25.0,2113.8500213623047,5.284625053405762,12955.605626652286,0.0
LNG,SELL,weekly_relative_trim,weekly_relative_trim,2022-07-15,2022-07-18,121.88485717773438,0.5,main,-0.058961713775260716,-0.05917578779537991,0.01020378253291132,-0.06846687520289374,False,17.0,2072.0425720214844,5.180106430053711,15022.468092243716,18.0
THG,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-07-18,2022-07-19,125.09674072265625,1.0,main,-0.081747447655651,-0.11481855877458291,-0.07450303789624424,-0.007827588912814432,False,1.0,125.09674072265625,0.31274185180664066,15147.252091114566,0.0
EXC,SELL,weekly_relative_trim,weekly_relative_trim,2022-07-22,2022-07-25,38.749298095703125,0.5,main,-0.04449752145565877,-0.04449752145565877,0.03632891247756764,-0.0779930319033495,False,58.0,2247.4592895507812,5.618648223876953,17389.09273244147,58.0
LI,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-07-22,2022-07-25,34.599998474121094,1.0,main,-0.0885941667107667,-0.1409999847412109,0.03632891247756764,-0.12054385213443364,False,134.0,4636.399795532227,11.590999488830567,22013.901528484865,0.0
TMUS,SELL,weekly_relative_trim,weekly_relative_trim,2022-07-22,2022-07-25,129.37710571289062,0.5,main,-0.0316498726601927,-0.036929500983745256,0.03632891247756764,-0.06559576242569787,False,27.0,3493.181854248047,8.732954635620118,25498.350428097292,27.0
UTHR,SELL,weekly_relative_trim,weekly_relative_trim,2022-07-22,2022-07-25,227.97999572753906,0.5,main,-0.052731105259486655,-0.07666790089317377,0.03632891247756764,-0.08593798422948284,False,9.0,2051.8199615478516,5.129549903869629,27545.040839741276,9.0
NOC,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-07-26,2022-07-27,419.7691955566406,1.0,main,-0.0829274116427633,-0.09635001100975493,-0.1332278404624806,0.05803189254089092,False,22.0,9234.922302246094,23.087305755615233,36756.87583623175,0.0
LI,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-08-09,2022-08-10,31.520000457763672,1.0,main,-0.09472134250501452,-0.10052444307308994,0.001411901262127646,-0.09599770448701561,False,91.0,2868.320041656494,7.170800104141236,3576.222690746837,0.0
KLAC,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-08-29,2022-08-30,335.4865417480469,1.0,main,-0.08044595133809396,-0.1076578151954164,-0.019816492704681665,-0.06185521199056998,False,23.0,7716.190460205078,19.290476150512696,11273.122674801403,0.0
WCC,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-09-22,2022-09-23,112.4665756225586,1.0,main,-0.0810830693000143,-0.16475370597061845,-0.05212347581103094,-0.030552073766951904,False,45.0,5060.995903015137,12.652489757537841,6437.663152058174,0.0
ELV,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-09-26,2022-09-27,422.5822448730469,1.0,main,-0.08332664648886645,-0.09220907671008727,-0.07722487239866216,-0.006612417161768636,False,8.0,3380.657958984375,8.451644897460938,9809.869466145088,0.0
FANG,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-09-26,2022-09-27,98.1648178100586,1.0,main,-0.09886451486708037,-0.206606185052696,-0.10946155209388764,0.011899584180473877,False,58.0,5693.559432983398,14.233898582458496,15489.195000546028,0.0
KO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-09-27,2022-09-28,51.34450912475586,1.0,main,-0.09074741289818611,-0.13606161178699538,-0.145105991041366,0.06358516678505599,False,259.0,13298.227863311768,33.24556965827942,28754.177294199515,0.0
SO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-09-27,2022-09-28,63.836936950683594,1.0,main,-0.0895009898384217,-0.10517769309010128,-0.07958038378011012,-0.010778351399174824,False,34.0,2170.455856323242,5.426139640808105,30919.20701088195,0.0
