as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,risk_state,account_source,approval_status,backtest_metric_mode,official_broker_cagr,official_broker_max_dd,official_broker_sharpe,official_broker_avg_cash_weight,daily_monitoring_backtest_status,daily_monitoring_position_risk_cagr,daily_monitoring_position_risk_max_dd,daily_monitoring_risk_action_count
2026-06-12,current_broker_ledger_mark_to_market,main,equity,CIEN,111.0,445.9800109863281,49503.78121948242,0.0622407843649934,6882.302697414823,25261.763029552032,2026-03-02,2026-05-01,102.0,409.3429738637564,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,ON,354.0,116.79000091552734,41343.66032409668,0.0519811170723039,4871.040756225586,466.7375297546386,2026-05-01,2026-05-01,42.0,103.02999877929688,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,LITE,42.0,921.5599975585938,38705.51989746094,0.0486642001545678,25239.58761998245,66725.22115643433,2026-02-02,2026-05-01,130.0,473.5638209751674,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,MU,37.0,981.6099853515624,36319.56945800781,0.045664360078733,18953.095037078856,21737.891955642703,2026-01-02,2026-05-01,161.0,474.7465894544447,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,PWR,45.0,707.739990234375,31848.299560546875,0.0400426613181537,-1551.1514282226562,993.9442224884032,2026-05-01,2026-05-01,42.0,742.2100219726562,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,FIX,13.0,1877.6099853515625,24408.929809570312,0.0306891897837458,147.1767578125,0.0,2026-05-01,2026-05-01,42.0,1866.2886962890625,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,COHR,49.0,385.0299987792969,18866.469940185547,0.0237206907906578,5165.59822715201,7616.289030767301,2025-12-01,2026-05-01,193.0,297.4036740672832,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,TER,26.0,403.2000122070313,10483.200317382812,0.0131804600443827,4918.673605508267,12862.492977762764,2026-01-02,2026-03-02,161.0,262.0004859337439,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,KEYS,21.0,350.6700134277344,7364.070281982422,0.0092587979984272,785.4005126953125,-3987.27896812439,2026-03-02,2026-03-02,102.0,313.2699890136719,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,cash,CASH,0.0,1.0,127965.28639194592,0.1608899280079885,0.0,0.0,,,,0.0,,,RESERVE_CASH,Combined cash is below target under macro gate `none`.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
