portfolio_kind,variant_id,window,start,end,window_return,window_mdd,avg_cash_weight,position_count_avg
main,main_N18_cap12_sub40_theme70_risk,inflation_2022,2021-11-01,2022-12-31,-0.21869262134348877,-0.2970744334019727,0.32832016538915343,18.0
main,main_N18_cap12_sub40_theme70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4545341230879927,-0.13110671243984418,0.03157330194641103,18.0
main,main_N18_cap12_sub40_theme70_risk,latest_12m,2025-06-18,2026-06-18,1.7370252629104863,-0.14421044633083047,0.04683106937659463,18.0
main,main_N18_cap12_sub50_theme60,covid_2020,2020-02-01,2020-05-31,0.11291349580945709,-0.4138398946809094,0.012546273261522377,18.0
main,main_N18_cap12_sub50_theme60,inflation_2022,2021-11-01,2022-12-31,-0.16062664931504,-0.32787410903426206,0.01201181177830762,18.0
main,main_N18_cap12_sub50_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.4367273332479349,-0.13121619176299748,0.06332141039799954,18.0
main,main_N18_cap12_sub50_theme60,latest_12m,2025-06-18,2026-06-18,1.951785954555282,-0.13968203298109882,0.017310685999293477,18.0
main,main_N18_cap12_sub50_theme60_risk,covid_2020,2020-02-01,2020-05-31,0.03401674764792495,-0.3262259040427301,0.2954488999416186,18.0
main,main_N18_cap12_sub50_theme60_risk,inflation_2022,2021-11-01,2022-12-31,-0.2205116912901569,-0.29970070308986707,0.33109291761852866,18.0
main,main_N18_cap12_sub50_theme60_risk,ai_semis_2024,2024-01-01,2024-12-31,0.43590713339750975,-0.13120869667216994,0.06280718957575407,18.0
main,main_N18_cap12_sub50_theme60_risk,latest_12m,2025-06-18,2026-06-18,1.6818846630277609,-0.13973892376230534,0.05680619420926444,18.0
main,main_N18_cap12_sub50_theme70,covid_2020,2020-02-01,2020-05-31,0.1070682459102239,-0.4176869887935214,0.0036082507950909223,18.0
main,main_N18_cap12_sub50_theme70,inflation_2022,2021-11-01,2022-12-31,-0.16757854776175696,-0.33183084478706426,0.004717230763463283,18.0
main,main_N18_cap12_sub50_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.4543142753626237,-0.13111999098451266,0.03172670879861321,18.0
main,main_N18_cap12_sub50_theme70,latest_12m,2025-06-18,2026-06-18,2.030288416026252,-0.1441786278330276,0.007218062574796686,18.0
main,main_N18_cap12_sub50_theme70_risk,covid_2020,2020-02-01,2020-05-31,0.02776055378202158,-0.33114806922210427,0.28600100337992834,18.0
main,main_N18_cap12_sub50_theme70_risk,inflation_2022,2021-11-01,2022-12-31,-0.2255404562614326,-0.30348543858975263,0.3263595511261599,18.0
main,main_N18_cap12_sub50_theme70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4547990941386366,-0.13131573582008393,0.03174634371433791,18.0
main,main_N18_cap12_sub50_theme70_risk,latest_12m,2025-06-18,2026-06-18,1.7528220508053485,-0.14416979944311514,0.04584996862373963,18.0
main,main_N18_cap15_sub40_theme60,covid_2020,2020-02-01,2020-05-31,0.11325425396404776,-0.4137304867835352,0.013025787536269273,18.0
main,main_N18_cap15_sub40_theme60,inflation_2022,2021-11-01,2022-12-31,-0.14505875369436605,-0.3174417348483056,0.014071759370285656,18.0
main,main_N18_cap15_sub40_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.4368163084199872,-0.13101350039651072,0.0621361382068813,18.0
main,main_N18_cap15_sub40_theme60,latest_12m,2025-06-18,2026-06-18,1.913206905465655,-0.14113931822167913,0.01828868020242973,18.0
main,main_N18_cap15_sub40_theme60_risk,covid_2020,2020-02-01,2020-05-31,0.03473129481655368,-0.3258531038897503,0.29599886410717713,18.0
main,main_N18_cap15_sub40_theme60_risk,inflation_2022,2021-11-01,2022-12-31,-0.2106634603090134,-0.2928743324816123,0.3321171736281782,18.0
main,main_N18_cap15_sub40_theme60_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4358687216380934,-0.13118154835564888,0.061965676629811506,18.0
main,main_N18_cap15_sub40_theme60_risk,latest_12m,2025-06-18,2026-06-18,1.6450150082547936,-0.14110759560391462,0.057964859374054725,18.0
main,main_N18_cap15_sub40_theme70,covid_2020,2020-02-01,2020-05-31,0.1064879888549275,-0.4183556821719474,0.0041561048114660696,18.0
main,main_N18_cap15_sub40_theme70,inflation_2022,2021-11-01,2022-12-31,-0.15117311290731783,-0.3214183421155691,0.0069055160799604215,18.0
main,main_N18_cap15_sub40_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.45515469667628383,-0.13108959645301932,0.03191847580895887,18.0
main,main_N18_cap15_sub40_theme70,latest_12m,2025-06-18,2026-06-18,1.9937636317625809,-0.14418930126150553,0.008128220215516655,18.0
main,main_N18_cap15_sub40_theme70_risk,covid_2020,2020-02-01,2020-05-31,0.028481716017892067,-0.33135280383205756,0.2861603784220359,18.0
main,main_N18_cap15_sub40_theme70_risk,inflation_2022,2021-11-01,2022-12-31,-0.21405063371111022,-0.2954567378570704,0.327753541019799,18.0
main,main_N18_cap15_sub40_theme70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4556443233166132,-0.1310668673842439,0.03201297684179624,18.0
main,main_N18_cap15_sub40_theme70_risk,latest_12m,2025-06-18,2026-06-18,1.7229867893711188,-0.14408973833415595,0.04657024172804573,18.0
main,main_N18_cap15_sub50_theme60,covid_2020,2020-02-01,2020-05-31,0.1127021136114279,-0.41402066434164997,0.012906617029671674,18.0
main,main_N18_cap15_sub50_theme60,inflation_2022,2021-11-01,2022-12-31,-0.15816135025312028,-0.3281238283254826,0.009796174573615053,18.0
main,main_N18_cap15_sub50_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.43676458381013616,-0.13128273688343262,0.06171362713460269,18.0
main,main_N18_cap15_sub50_theme60,latest_12m,2025-06-18,2026-06-18,1.9356509217759879,-0.1411128439465662,0.016634212725124803,18.0
main,main_N18_cap15_sub50_theme60_risk,covid_2020,2020-02-01,2020-05-31,0.034321965211129735,-0.3262059320393135,0.29551190333672,18.0
main,main_N18_cap15_sub50_theme60_risk,inflation_2022,2021-11-01,2022-12-31,-0.2179837244461419,-0.2994008096260279,0.3293756803526122,18.0
main,main_N18_cap15_sub50_theme60_risk,ai_semis_2024,2024-01-01,2024-12-31,0.43591224416341023,-0.13124449603855748,0.06192021327741797,18.0
main,main_N18_cap15_sub50_theme60_risk,latest_12m,2025-06-18,2026-06-18,1.6661093688372102,-0.14114938324547954,0.056841695042961576,18.0
main,main_N18_cap15_sub50_theme70,covid_2020,2020-02-01,2020-05-31,0.10736658098670238,-0.41762652897675556,0.005054243394143848,18.0
main,main_N18_cap15_sub50_theme70,inflation_2022,2021-11-01,2022-12-31,-0.1626160391083099,-0.330559365207023,0.0042329278328400825,18.0
main,main_N18_cap15_sub50_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.4547340624298377,-0.13115731739697323,0.03157170468705581,18.0
main,main_N18_cap15_sub50_theme70,latest_12m,2025-06-18,2026-06-18,2.0163956390757853,-0.14412107413180186,0.006720897485666813,18.0
main,main_N18_cap15_sub50_theme70_risk,covid_2020,2020-02-01,2020-05-31,0.02777445385263322,-0.3312858141859357,0.2871509684147778,18.0
main,main_N18_cap15_sub50_theme70_risk,inflation_2022,2021-11-01,2022-12-31,-0.22132428366135581,-0.3016854124489766,0.3258210515931105,18.0
main,main_N18_cap15_sub50_theme70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.45601601353338195,-0.1311550372567144,0.03167033076842211,18.0
main,main_N18_cap15_sub50_theme70_risk,latest_12m,2025-06-18,2026-06-18,1.7465040969192929,-0.14416046005269711,0.045191898633096354,18.0
concentrated,concentrated_N3_cap40_sub70,covid_2020,2020-02-01,2020-05-31,0.10547330833041091,-0.5073661126933036,0.1703574130962101,3.0
concentrated,concentrated_N3_cap40_sub70,inflation_2022,2021-11-01,2022-12-31,-0.28744007619964873,-0.44631581193667624,0.018103625545527906,3.0
concentrated,concentrated_N3_cap40_sub70,ai_semis_2024,2024-01-01,2024-12-31,0.4534261604612131,-0.14812242794145247,0.028927096842996373,3.0
concentrated,concentrated_N3_cap40_sub70,latest_12m,2025-06-18,2026-06-18,3.3883400032262383,-0.2549205776751642,0.03357331035674163,3.0
