book,rebalance_date,top_tickers,top_weights,n_positions,cash_estimate,entered_top,left_top
concentrated_grid_presence,2022-06-30,"NOW,ORLY,THG,VICI,FDS,FCN,GPK,NOC","0.5000,0.5000,0.3142,0.3124,0.2043,0.1418,0.1206,0.1004",13,0.0,"FCN,FDS,GPK,NOC,NOW,VICI","AVGO,BLDR,ETR,NFG,VLO,WCC"
concentrated_grid_presence,2022-07-29,"NOW,ORLY,WCC,VICI,FANG,CTAS,FDS,CSL","1.0000,0.5475,0.5000,0.3393,0.2825,0.2184,0.2117,0.1588",18,0.0,"CSL,CTAS,FANG,WCC","FCN,GPK,NOC,THG"
concentrated_grid_presence,2022-08-31,"ORLY,WCC,DKS,FANG,CTAS,MCK,CSL,CHRW","1.0000,0.5066,0.5000,0.2931,0.2075,0.2019,0.1568,0.1358",13,0.0,"CHRW,DKS,MCK","FDS,NOW,VICI"
concentrated_grid_presence,2022-09-30,"WCC,ORLY,DKS,FANG,CTAS,MCK,LPX,CSL","1.0000,1.0000,0.5207,0.2907,0.2066,0.1941,0.1667,0.1569",14,0.0,LPX,CHRW
concentrated_grid_presence,2022-10-31,"ORLY,WCC,DKS,JBL,TSCO,SAIC,CACI,MCK","0.5000,0.5000,0.2542,0.1866,0.1535,0.1150,0.1059,0.0806",10,0.0,"CACI,JBL,SAIC,TSCO","CSL,CTAS,FANG,LPX"
concentrated_grid_presence,2022-11-30,"ORLY,V,JBL,WCC,DKS,CPRT,LRCX,TSCO","1.0000,0.5000,0.5000,0.4711,0.3000,0.2098,0.1644,0.1558",17,0.0,"CPRT,LRCX,V","CACI,MCK,SAIC"
concentrated_grid_presence,2022-12-30,"ORLY,V,AVGO,WCC,DKS,AEE,JBL,TSCO","1.0000,0.5000,0.5000,0.4731,0.2695,0.2500,0.1991,0.1574",17,0.0,"AEE,AVGO","CPRT,LRCX"
concentrated_grid_presence,2023-01-31,"V,NOW,AVGO,LRCX,AEE,DKS,CPRT,EXP","1.0000,0.5000,0.5000,0.2729,0.2315,0.1699,0.1667,0.1258",15,0.0,"CPRT,EXP,LRCX,NOW","JBL,ORLY,TSCO,WCC"
concentrated_grid_presence,2023-02-28,"NOW,AVGO,BKNG,ORLY,LRCX,CPRT,MLI,COR","1.0000,0.5181,0.5000,0.2815,0.2735,0.1794,0.1667,0.1190",16,0.0,"BKNG,COR,MLI,ORLY","AEE,DKS,EXP,V"
concentrated_grid_presence,2023-03-31,"BKNG,NOW,AVGO,ORLY,LRCX,CPRT,MLI,COR","1.0000,1.0000,0.5216,0.2764,0.2732,0.1779,0.1597,0.1159",19,0.0,,
concentrated_grid_presence,2023-04-28,"BKNG,AVGO,NOW,ORLY,DKS,AN,TSCO,SSD","0.5000,0.5000,0.3028,0.1667,0.1303,0.1030,0.0858,0.0696",10,0.0,"AN,DKS,SSD,TSCO","COR,CPRT,LRCX,MLI"
concentrated_grid_presence,2023-05-31,"BKNG,AVGO,NOW,ORLY,MPWR,FLEX,EXP,CXT","1.0000,0.5778,0.5000,0.3125,0.2208,0.1802,0.1132,0.0987",15,0.0,"CXT,EXP,FLEX,MPWR","AN,DKS,SSD,TSCO"
concentrated_grid_presence,2023-06-30,"BKNG,AVGO,NOW,ORLY,EXP,TER,EQT,AN","1.0000,0.5811,0.5000,0.5000,0.2500,0.1717,0.1425,0.1142",15,0.0,"AN,EQT,TER","CXT,FLEX,MPWR"
concentrated_grid_presence,2023-07-31,"NOW,MA,ORLY,BKNG,EXP,TER,DKS,EQT","1.0000,0.5000,0.4849,0.2525,0.2474,0.1715,0.1595,0.1442",14,0.0,"DKS,MA","AN,AVGO"
concentrated_grid_presence,2023-08-31,"MA,LRCX,NOW,EXE,BKNG,ORLY,EXP,ANET","1.0000,0.5000,0.4941,0.2812,0.2569,0.1858,0.1714,0.1286",15,0.0,"ANET,EXE,LRCX","DKS,EQT,TER"
concentrated_grid_presence,2023-09-29,"MA,EXE,NOW,BKNG,LRCX,ORLY,WSM,DTM","1.0000,0.5000,0.4897,0.2638,0.2550,0.1869,0.1777,0.1371",18,0.0,"DTM,WSM","ANET,EXP"
concentrated_grid_presence,2023-10-31,"CTRA,ORLY,STLD,DINO,CHRD,WSM,AIZ,DECK","0.5000,0.5000,0.2770,0.1867,0.1512,0.1051,0.0963,0.0771",10,0.0,"AIZ,CHRD,CTRA,DECK,DINO,STLD","BKNG,DTM,EXE,LRCX,MA,NOW"
concentrated_grid_presence,2023-11-30,"CTRA,ORLY,LRCX,CNM,STLD,DKS,EXPE,DINO","1.0000,0.5231,0.5000,0.5000,0.3001,0.2500,0.1919,0.1746",17,0.0,"CNM,DKS,EXPE,LRCX","AIZ,CHRD,DECK,WSM"
concentrated_grid_presence,2023-12-29,"CTRA,ORLY,MA,LRCX,STLD,DKS,DINO,CTAS","1.0000,0.5186,0.5000,0.5000,0.3027,0.2500,0.1875,0.1667",19,0.0,"CTAS,MA","CNM,EXPE"
concentrated_grid_presence,2024-01-31,"MA,LRCX,SMCI,DKS,FDS,CTAS,AVGO,PANW","1.0000,0.5017,0.5000,0.2500,0.1667,0.1591,0.1278,0.1250",13,0.0,"AVGO,FDS,PANW,SMCI","CTRA,DINO,ORLY,STLD"
concentrated_grid_presence,2024-02-29,"MA,SMCI,DKS,UAL,FDS,DAL,ORLY,AVGO","1.0000,0.6101,0.2500,0.1667,0.1403,0.1250,0.0954,0.0874",14,0.0,"DAL,ORLY,UAL","CTAS,LRCX,PANW"
concentrated_grid_presence,2024-03-28,"MA,SMCI,DKS,EXE,CNM,UAL,DAL,FDS","1.0000,0.6391,0.2836,0.2500,0.1667,0.1622,0.1329,0.1272",21,0.0,"CNM,EXE","AVGO,ORLY"
concentrated_grid_presence,2024-04-30,"CMG,UAL,DKS,CMS,TSCO,WFRD,AN,UTHR","0.5000,0.5000,0.2500,0.1667,0.1250,0.0879,0.0878,0.0705",10,0.0,"AN,CMG,CMS,TSCO,UTHR,WFRD","CNM,DAL,EXE,FDS,MA,SMCI"
concentrated_grid_presence,2024-05-31,"CMG,UAL,DKS,ETR,CHRD,CMS,TT,TSCO","1.0000,0.5111,0.5000,0.2515,0.1848,0.1688,0.1275,0.1249",17,0.0,"CHRD,ETR,TT","AN,UTHR,WFRD"
concentrated_grid_presence,2024-06-28,"CMG,TT,ANET,ETR,DKS,CMS,AVGO,TSCO","1.0000,0.5000,0.5000,0.3524,0.2684,0.1657,0.1459,0.1242",17,0.0,"ANET,AVGO","CHRD,UAL"
concentrated_grid_presence,2024-07-31,"ANET,TT,ETR,DKS,PEG,ALSN,CMS,AVGO","1.0000,0.5074,0.5000,0.5000,0.2500,0.1825,0.1441,0.1400",16,0.0,"ALSN,PEG","CMG,TSCO"
concentrated_grid_presence,2024-08-30,"ETR,DKS,BKNG,NRG,PEG,ALSN,GDDY,CMS","1.0000,0.5129,0.5000,0.2500,0.2422,0.1816,0.1667,0.1447",16,0.0,"BKNG,GDDY,NRG","ANET,AVGO,TT"
concentrated_grid_presence,2024-09-30,"BKNG,ETR,NRG,PFGC,PEG,CORT,ALSN,PSN","1.0000,1.0000,0.5000,0.3020,0.2559,0.2206,0.1829,0.1807",20,0.0,"CORT,PFGC,PSN","CMS,DKS,GDDY"
concentrated_grid_presence,2024-10-31,"TW,PFGC,EXP,WDAY,ORLY,PANW,TPL,CEG","0.5000,0.5000,0.2856,0.2193,0.1554,0.1159,0.1146,0.0803",10,0.0,"CEG,EXP,ORLY,PANW,TPL,TW,WDAY","ALSN,BKNG,CORT,ETR,NRG,PEG,PSN"
concentrated_grid_presence,2024-11-29,"TW,PFGC,WDAY,EXP,RYAN,AEE,ORLY,TPL","1.0000,0.5027,0.5000,0.2851,0.2500,0.1702,0.1572,0.1426",17,0.0,"AEE,RYAN","CEG,PANW"
concentrated_grid_presence,2024-12-31,"TW,PFGC,DKS,ACN,WDAY,ACI,ORLY,PLTR","1.0000,0.5024,0.5000,0.2500,0.2350,0.1835,0.1541,0.1250",15,0.0,"ACI,ACN,DKS,PLTR","AEE,EXP,RYAN,TPL"
concentrated_grid_presence,2025-01-31,"DKS,TW,ACN,JBL,ACI,PLTR,DASH,DBX","1.0000,0.5000,0.3044,0.1908,0.1839,0.1574,0.1090,0.1019",13,0.0,"DASH,DBX,JBL","ORLY,PFGC,WDAY"
concentrated_grid_presence,2025-02-28,"DKS,TW,MA,ORLY,DASH,JBL,PLTR,ETR","1.0000,0.5312,0.5000,0.5000,0.2500,0.1901,0.1720,0.1013",14,0.0,"ETR,MA,ORLY","ACI,ACN,DBX"
concentrated_grid_presence,2025-03-31,"MA,TW,ORLY,ETR,WSO,PLTR,THG,HALO","1.0000,0.5729,0.5213,0.2500,0.1801,0.1664,0.0885,0.0833",13,0.0,"HALO,THG,WSO","DASH,DKS,JBL"
concentrated_grid_presence,2025-04-30,"ORLY,MA,NRG,BKNG,MELI,UBER,TKO,ETR","0.5000,0.5000,0.2500,0.1667,0.1310,0.1007,0.0833,0.0682",10,0.0,"BKNG,MELI,NRG,TKO,UBER","HALO,PLTR,THG,TW,WSO"
concentrated_grid_presence,2025-05-30,"ORLY,MA,DASH,NRG,ETR,BKNG,MELI,PPL","1.0000,0.5221,0.5000,0.3201,0.2080,0.1702,0.1318,0.1110",13,0.0,"DASH,PPL","TKO,UBER"
concentrated_grid_presence,2025-06-30,"ORLY,MA,AXON,DASH,NRG,ETR,BKNG,MELI","1.0000,0.5135,0.5000,0.3945,0.3285,0.2632,0.1769,0.1356",15,0.0,AXON,PPL
concentrated_grid_presence,2025-07-31,"ORLY,ETR,DASH,AEE,NRG,DAL,BKNG,PR","0.5441,0.5000,0.3804,0.2696,0.2026,0.1287,0.1277,0.1017",12,0.0,"AEE,DAL,PR","AXON,MA,MELI"
concentrated_grid_presence,2025-08-29,"ORLY,MA,PPL,ETR,AEE,GTLS,DASH,NEU","1.0000,0.5000,0.5000,0.4833,0.2602,0.2500,0.1788,0.1667",18,0.0,"GTLS,MA,NEU,PPL","BKNG,DAL,NRG,PR"
concentrated_grid_presence,2025-09-30,"ORLY,MA,PPL,NVDA,WDC,ETR,LRCX,AEE","1.0000,1.0000,0.5202,0.5000,0.5000,0.4896,0.3586,0.2610",20,0.0,"LRCX,NVDA,WDC","DASH,GTLS,NEU"
concentrated_grid_presence,2025-10-31,"WEC,LRCX,MU,WDC,WBS,GOOGL,DKS,SSD","0.5000,0.5000,0.5000,0.2791,0.2500,0.1613,0.1482,0.0944",10,0.0,"DKS,GOOGL,MU,SSD,WBS,WEC","AEE,ETR,MA,NVDA,ORLY,PPL"
concentrated_grid_presence,2025-11-28,"MU,WEC,LRCX,EXPE,TPR,WDC,WBS,PLNT","1.0000,0.5050,0.5000,0.5000,0.3236,0.2939,0.2592,0.2335",16,0.0,"EXPE,PLNT,TPR","DKS,GOOGL,SSD"
concentrated_grid_presence,2025-12-31,"MU,EXPE,LRCX,WEC,WDC,WBS,TPR,GOOGL","1.0000,0.5000,0.4783,0.4773,0.2760,0.2574,0.2088,0.1716",16,0.0,GOOGL,PLNT
concentrated_grid_presence,2026-01-30,"MU,SYY,PBA,EXPE,LRCX,STE,WDC,TPR","1.0000,0.5000,0.5000,0.4054,0.3439,0.1892,0.1849,0.1757",12,0.0,"PBA,STE,SYY","GOOGL,WBS,WEC"
concentrated_grid_presence,2026-02-27,"SYY,PBA,ETR,PEG,BKNG,LRCX,PR,STE","1.0000,0.5015,0.5000,0.5000,0.2526,0.2422,0.2012,0.1744",20,0.0,"BKNG,ETR,PEG,PR","EXPE,MU,TPR,WDC"
lifecycle_review_overlay_main,2019-04-30,"CDNS,NOW,V","0.3300,0.3300,0.3300",3,0.010000000000000009,"CDNS,NOW,V",
lifecycle_review_overlay_main,2019-05-31,"CDNS,NOW,V,MKTX,SHOP,HEI","0.3300,0.1637,0.1210,0.0390,0.0353,0.0310",6,0.28000000000000014,"HEI,MKTX,SHOP",
lifecycle_review_overlay_main,2019-06-28,"CDNS,V,SHOP,NOW,MKTX,HD,FDS,HEI","0.3300,0.2142,0.1281,0.1072,0.0857,0.0641,0.0641,0.0034",9,5.551115123125783e-16,"FDS,HD",
lifecycle_review_overlay_main,2019-07-31,"CDNS,V,HD,NOW,SHOP,MKTX,ADBE,FDS","0.3300,0.1832,0.0906,0.0716,0.0678,0.0630,0.0515,0.0439",12,5.551115123125783e-16,ADBE,HEI
lifecycle_review_overlay_main,2019-08-30,"CDNS,V,MKTX,HD,MA,SHOP,NOW,ADBE","0.3186,0.1947,0.0858,0.0752,0.0743,0.0725,0.0670,0.0497",12,6.661338147750939e-16,MA,FDS
lifecycle_review_overlay_main,2019-09-30,"MKTX,MA,SHOP,DG,ADBE,NEE,DUK,MLM","0.2219,0.1973,0.1875,0.0964,0.0911,0.0660,0.0660,0.0369",10,7.771561172376096e-16,"DG,DUK,MLM,NEE","CDNS,HD,NOW,V"
lifecycle_review_overlay_main,2019-10-31,"ADBE,BKNG,DUK,CBRE,COST,DG,NEE,VICI","0.3300,0.1720,0.1405,0.1028,0.0976,0.0651,0.0563,0.0190",9,4.440892098500626e-16,"BKNG,CBRE,COST,VICI","MA,MKTX,MLM,SHOP"
lifecycle_review_overlay_main,2019-11-29,"ADBE,AAPL,COST,BAC,BKNG,UNH,DUK,DG","0.3300,0.2855,0.1684,0.0892,0.0526,0.0282,0.0211,0.0102",11,5.551115123125783e-16,"AAPL,BAC,UNH","CBRE,NEE,VICI"
lifecycle_review_overlay_main,2019-12-31,"ADBE,AAPL,BABA,BKNG,COST,UNH,BAC,TSLA","0.3300,0.2419,0.0868,0.0820,0.0729,0.0679,0.0564,0.0284",11,2.220446049250313e-16,"BABA,TSLA","DG,DUK"
lifecycle_review_overlay_main,2020-01-31,"ADBE,UNH,AAPL,BAC,BKNG,BABA,CPRT,COST","0.1946,0.1355,0.1229,0.1125,0.1060,0.0737,0.0719,0.0602",12,4.440892098500626e-16,CPRT,TSLA
lifecycle_review_overlay_main,2020-02-28,"AAPL,ADBE,NOW,NVDA,SHOP,BABA,AVGO,CPRT","0.2146,0.1889,0.0581,0.0486,0.0469,0.0442,0.0359,0.0332",10,0.28000000000000047,"AVGO,NOW,NVDA,SHOP","BAC,BKNG,COST,UNH"
lifecycle_review_overlay_main,2020-03-31,"ADBE,TSLA,NVDA,NOW,VRTX,BABA,JD,VEEV","0.2424,0.2153,0.1267,0.0987,0.0892,0.0599,0.0564,0.0564",9,3.3306690738754696e-16,"JD,TSLA,VEEV,VRTX","AAPL,AVGO,CPRT,SHOP"
lifecycle_review_overlay_main,2020-04-30,"ADBE,NOW,VEEV,VRTX,JD,BABA,NVDA,AMZN","0.3039,0.1357,0.1230,0.0817,0.0813,0.0574,0.0530,0.0501",11,4.440892098500626e-16,AMZN,TSLA
lifecycle_review_overlay_main,2020-05-29,"NOW,ADBE,VEEV,NVDA,JD,VRTX,SHOP,BABA","0.1689,0.1435,0.1290,0.0914,0.0842,0.0800,0.0719,0.0642",12,7.771561172376096e-16,SHOP,AMZN
lifecycle_review_overlay_main,2020-06-30,"VEEV,NOW,ADBE,JD,NVDA,AMZN,ZTO,VRTX","0.1873,0.1382,0.1092,0.0986,0.0981,0.0707,0.0695,0.0633",12,6.661338147750939e-16,"AMZN,ZTO","BABA,SHOP"
lifecycle_review_overlay_main,2020-07-31,"VEEV,ADBE,NOW,NVDA,JD,AMZN,ZTO,SHOP","0.2437,0.1610,0.1429,0.0962,0.0962,0.0761,0.0530,0.0511",12,4.440892098500626e-16,SHOP,VRTX
lifecycle_review_overlay_main,2020-08-31,"VEEV,NOW,JD,BABA,AMZN,SHOP,ZTO,MNST","0.3300,0.1875,0.1079,0.0942,0.0829,0.0713,0.0620,0.0423",12,6.661338147750939e-16,"BABA,MNST","ADBE,NVDA"
lifecycle_review_overlay_main,2020-09-30,"VEEV,NOW,AMZN,JD,NVDA,BABA,SHOP,MNST","0.3300,0.2137,0.1688,0.1008,0.0883,0.0876,0.0049,0.0029",12,5.551115123125783e-16,NVDA,ZTO
lifecycle_review_overlay_main,2020-10-30,"VEEV,NOW,AMZN,JD,NVDA,BABA,WDAY,CPRT","0.2025,0.1863,0.1472,0.0485,0.0395,0.0392,0.0203,0.0184",12,0.2800000000000006,"CPRT,WDAY","MNST,SHOP"
lifecycle_review_overlay_main,2020-11-30,"NOW,NVDA,BABA,CPRT,LRCX,JD,DLB,GOOGL","0.3300,0.1789,0.1388,0.1042,0.0747,0.0537,0.0438,0.0304",12,5.551115123125783e-16,"DLB,GOOGL,LRCX","AMZN,VEEV,WDAY"
lifecycle_review_overlay_main,2020-12-31,"NOW,CPRT,GOOGL,LRCX,AAPL,AMAT,NVDA,QCOM","0.3300,0.2019,0.1973,0.1081,0.0784,0.0314,0.0195,0.0159",11,7.771561172376096e-16,"AAPL,AMAT,QCOM","BABA,DLB,JD"
lifecycle_review_overlay_main,2021-01-29,"CPRT,GOOGL,QCOM,AMAT,AAPL,PDD,LRCX,MSFT","0.2411,0.0961,0.0751,0.0691,0.0605,0.0430,0.0406,0.0340",12,0.28000000000000036,"MSFT,PDD","NOW,NVDA"
lifecycle_review_overlay_main,2021-02-26,"AMAT,GOOGL,LRCX,NVDA,QCOM,GOOG,AAPL,PDD","0.1308,0.1225,0.1058,0.0722,0.0620,0.0511,0.0500,0.0355",12,0.28000000000000047,"GOOG,NVDA","CPRT,MSFT"
lifecycle_review_overlay_main,2021-03-31,"AMAT,LRCX,GOOGL,QCOM,MCO,HD,GOOG,NVDA","0.2773,0.2252,0.1403,0.0676,0.0607,0.0607,0.0330,0.0317",12,4.440892098500626e-16,"HD,MCO","AAPL,PDD"
lifecycle_review_overlay_main,2021-04-30,"GOOG,HD,AMAT,NVDA,NDAQ,DXCM,LRCX,MSFT","0.2711,0.1835,0.1509,0.1218,0.0839,0.0424,0.0370,0.0345",12,5.551115123125783e-16,"DXCM,MSFT,NDAQ","GOOGL,MCO,QCOM"
