ticker,trade_count,win_rate,compound_realized_return,avg_realized_return,best_trade_return,worst_trade_return,avg_alpha_vs_benchmark,avg_holding_days,max_holding_days,dominant_exit_reason,churn_tag
ADBE,5,0.6,0.2884817888198372,0.056900434801461876,0.1481630017009367,-0.0799999999999999,0.05962216324389308,30.4,90.0,single_period_hold,profitable_reentry_churn
HD,5,1.0,0.2815937488302569,0.05141640457823145,0.0993283130132653,0.0080264473380022,-0.01898943441670022,116.6,213.0,scheduled_rebalance,normal
COST,5,0.6,0.2712226777866231,0.06133842529361133,0.3529300811201967,-0.1505625714061922,-0.032902667930260365,60.2,121.0,scheduled_rebalance,profitable_reentry_churn
NDAQ,2,1.0,0.26994809420674515,0.12741874088716776,0.1609586141257706,0.0938788676485649,0.08748332962178534,47.5,95.0,single_period_hold,normal
VST,1,1.0,0.25993217653141354,0.2599321765314135,0.2599321765314135,0.2599321765314135,0.2319400591677176,60.0,60.0,scheduled_rebalance,normal
MU,1,1.0,0.25149052239025904,0.251490522390259,0.251490522390259,0.251490522390259,0.2927752404104587,58.0,58.0,scheduled_rebalance,normal
DXCM,2,0.5,0.24925611598159203,0.13894354129434344,0.3578870825886868,-0.0799999999999999,0.1014661379842104,60.5,121.0,single_period_hold,normal
EXP,4,0.5,0.23795040549108548,0.05829738551828547,0.194717797894955,-0.0216917000942596,0.029151191455943123,45.25,92.0,scheduled_rebalance,profitable_reentry_churn
CBRE,1,1.0,0.23116175050292487,0.2311617505029248,0.2311617505029248,0.2311617505029248,0.1132216615667751,31.0,31.0,scheduled_rebalance,normal
URI,1,1.0,0.22734118138361326,0.2273411813836132,0.2273411813836132,0.2273411813836132,0.1501813493690948,0.0,0.0,single_period_hold,normal
CEG,1,1.0,0.21130890498245192,0.2113089049824519,0.2113089049824519,0.2113089049824519,0.1498829147818166,91.0,91.0,scheduled_rebalance,normal
MCK,3,0.6666666666666666,0.20952649656913236,0.06840642896100246,0.1811160967937257,-0.0018973213664039,0.015108642836668204,141.33333333333334,212.0,scheduled_rebalance,normal
AAPL,5,0.6,0.20899026973523283,0.04259862848874481,0.1566830353745989,-0.0787220426893975,0.0213582587974745,85.0,212.0,scheduled_rebalance,normal
CNM,2,1.0,0.1991323181872071,0.0985736056636308,0.1865034008048878,0.0106438105223738,0.06089003825196965,31.0,33.0,scheduled_rebalance,normal
NOC,2,1.0,0.19323659973879814,0.09362937769463725,0.146436725838257,0.0408220295510175,0.08787844747330775,106.0,153.0,scheduled_rebalance,normal
MA,10,0.5,0.1890340497038172,0.026415440971187282,0.2773675783578997,-0.1445421360491726,-0.007244316940698989,122.0,517.0,scheduled_rebalance,normal
RNG,2,0.5,0.18095769209827717,0.10182483266210715,0.2836496653242142,-0.0799999999999999,0.17242411531520985,30.5,61.0,scheduled_rebalance,normal
WSM,3,0.3333333333333333,0.17887324489048928,0.06923305732798446,0.3081904316041624,-0.0799999999999999,-0.016327404386821,70.66666666666667,153.0,scheduled_rebalance,normal
PWR,1,1.0,0.1696129225574161,0.1696129225574161,0.1696129225574161,0.1696129225574161,0.1304063090948408,123.0,123.0,scheduled_rebalance,normal
COR,4,0.5,0.1669688020243496,0.04347305883037005,0.1936764243035649,-0.0517470080757893,0.035622441242630726,61.0,121.0,scheduled_rebalance,profitable_reentry_churn
LPX,3,1.0,0.16404128007912355,0.05395840186539294,0.147321412207938,0.0014641831462123,0.010938925094924867,30.0,61.0,scheduled_rebalance,normal
AMZN,6,0.3333333333333333,0.16056479483827224,0.03634087156275486,0.3610535982613025,-0.0799999999999999,0.02494564450751065,21.166666666666668,61.0,scheduled_rebalance,profitable_reentry_churn
Z,1,1.0,0.1593473961628593,0.1593473961628593,0.1593473961628593,0.1593473961628593,0.0730868743626349,57.0,57.0,scheduled_rebalance,normal
VRTX,4,0.5,0.15893730192781086,0.04097841176460147,0.1812856193995669,-0.0480992352726452,-0.08887305670137982,61.25,91.0,scheduled_rebalance,profitable_reentry_churn
TECH,2,1.0,0.1574799958843378,0.0766702003730842,0.118368215758466,0.0349721849877024,0.054501648020025946,0.0,0.0,single_period_hold,normal
MSFT,5,0.4,0.15687631250501743,0.03631453699438796,0.2525266456273904,-0.1020151424509365,0.01120737229093036,49.4,121.0,scheduled_rebalance,profitable_reentry_churn
TW,1,1.0,0.15495427251933735,0.1549542725193373,0.1549542725193373,0.1549542725193373,0.0730505579543328,211.0,211.0,scheduled_rebalance,patient_winner
CSCO,4,0.5,0.15475280859208862,0.04058248773951867,0.1864205513275851,-0.0530006232782069,-0.0019894737962244044,97.5,150.0,scheduled_rebalance,normal
FUTU,1,1.0,0.15450881326756338,0.1545088132675633,0.1545088132675633,0.1545088132675633,0.1335334288355689,0.0,0.0,single_period_hold,normal
CMS,2,1.0,0.1498316298448934,0.07255864990546855,0.0960198442942488,0.0490974555166883,0.033702187311351,91.0,182.0,single_period_hold,normal
CTAS,4,0.5,0.14564214485435012,0.03824971473250105,0.1436244376833368,-0.0688363855579687,0.001667138977448402,23.75,62.0,single_period_hold,profitable_reentry_churn
GDDY,1,1.0,0.14483250254556945,0.1448325025455694,0.1448325025455694,0.1448325025455694,0.086812234609459,154.0,154.0,scheduled_rebalance,normal
EL,1,1.0,0.14298977143489378,0.1429897714348937,0.1429897714348937,0.1429897714348937,0.0667959985477941,28.0,28.0,scheduled_rebalance,normal
PAYC,1,1.0,0.13876015692589783,0.1387601569258978,0.1387601569258978,0.1387601569258978,0.0625663840387982,28.0,28.0,scheduled_rebalance,normal
CIEN,1,1.0,0.13554381604981636,0.1355438160498163,0.1355438160498163,0.1355438160498163,0.1800536843657071,0.0,0.0,single_period_hold,normal
ETSY,4,0.25,0.13468137118974388,0.05358191406221252,0.4465753946797732,-0.106908654302079,0.016636112187614648,23.5,61.0,scheduled_rebalance,profitable_reentry_churn
DASH,2,0.5,0.1344614424539352,0.068342327101782,0.1513717521468567,-0.0146870979432927,0.05809663246286795,45.0,62.0,scheduled_rebalance,normal
CORT,1,1.0,0.1337054385558596,0.1337054385558596,0.1337054385558596,0.1337054385558596,0.1057133211921637,60.0,60.0,scheduled_rebalance,normal
NET,1,1.0,0.13207547169811318,0.1320754716981131,0.1320754716981131,0.1320754716981131,0.084817870898102,30.0,30.0,scheduled_rebalance,normal
CELH,3,0.6666666666666666,0.12871381219929234,0.04673528083617833,0.1840329992347598,-0.0799999999999999,0.03807259675298557,0.0,0.0,single_period_hold,normal
TLN,1,1.0,0.12786707045669288,0.1278670704566928,0.1278670704566928,0.1278670704566928,0.1411239130229292,151.0,151.0,scheduled_rebalance,normal
CRWD,1,1.0,0.12602430647288343,0.1260243064728834,0.1260243064728834,0.1260243064728834,0.0891374610359052,95.0,95.0,scheduled_rebalance,normal
PR,2,1.0,0.12337301740218565,0.06098550807725815,0.1091231331513324,0.0128478830031839,0.0690107439820748,0.0,0.0,single_period_hold,normal
CROX,1,1.0,0.12154031389000974,0.1215403138900097,0.1215403138900097,0.1215403138900097,0.0282225411167349,123.0,123.0,scheduled_rebalance,normal
THC,1,1.0,0.1214945783388246,0.1214945783388246,0.1214945783388246,0.1214945783388246,0.1266835341368114,0.0,0.0,single_period_hold,normal
AZO,2,1.0,0.12097966767600754,0.059346296159868854,0.0944875470144577,0.02420504530528,0.0441585795885115,45.0,62.0,scheduled_rebalance,normal
PYPL,2,0.5,0.1190982579477533,0.0605138896031146,0.1352899024238969,-0.0142621232176677,-0.005439791971922854,16.5,33.0,single_period_hold,normal
ZTO,2,1.0,0.11906451077007096,0.05891450860193845,0.1061947979159201,0.0116342192879568,-0.009515598134216749,0.0,0.0,single_period_hold,normal
NEE,2,1.0,0.11582262144342992,0.056359482898583904,0.0648880036574124,0.0478309621397554,0.010356063309719152,30.0,60.0,single_period_hold,normal
VICI,3,0.3333333333333333,0.11371834110664336,0.0392534378117755,0.1456735344068913,-0.0271332775207564,0.058050747769423594,50.666666666666664,92.0,scheduled_rebalance,normal
ACI,1,1.0,0.11331660379805997,0.1133166037980599,0.1133166037980599,0.1133166037980599,0.0571766714467976,150.0,150.0,scheduled_rebalance,normal
UTHR,2,0.5,0.11197953688830764,0.05700776998208634,0.1297118889451518,-0.0156963489809791,0.03319836137564685,0.0,0.0,single_period_hold,normal
TKO,1,1.0,0.10938314828815443,0.1093831482881544,0.1093831482881544,0.1093831482881544,0.0034132760151563,30.0,30.0,scheduled_rebalance,normal
WMB,1,1.0,0.1033482250337896,0.1033482250337896,0.1033482250337896,0.1033482250337896,0.2150298234509776,92.0,92.0,scheduled_rebalance,normal
ENPH,2,1.0,0.10186024588723153,0.04972241872270475,0.0572663223417866,0.0421785151036229,0.05993004216393355,45.5,91.0,single_period_hold,normal
PBA,1,1.0,0.09341969766473279,0.0934196976647327,0.0934196976647327,0.0934196976647327,0.1509160711732844,28.0,28.0,scheduled_rebalance,normal
AMT,2,1.0,0.08756603463203638,0.0435869056873533,0.0824146675346275,0.0047591438400791,-0.02200092003085495,75.0,91.0,scheduled_rebalance,normal
MDB,1,1.0,0.08647494649879328,0.0864749464987932,0.0864749464987932,0.0864749464987932,-0.0144008774550836,61.0,61.0,scheduled_rebalance,normal
CHPT,1,1.0,0.08484162749481827,0.0848416274948182,0.0848416274948182,0.0848416274948182,0.0544220995831745,31.0,31.0,scheduled_rebalance,normal
VLO,1,1.0,0.0842489944515874,0.0842489944515874,0.0842489944515874,0.0842489944515874,0.1636761467216565,32.0,32.0,scheduled_rebalance,normal
CSX,2,0.5,0.08071157871614676,0.04586202214635086,0.1603862145770658,-0.0686621702843641,-0.043379793789136145,107.0,153.0,scheduled_rebalance,normal
FRHC,1,1.0,0.07924905646551239,0.0792490564655123,0.0792490564655123,0.0792490564655123,0.045342128280577,0.0,0.0,single_period_hold,normal
AMD,1,1.0,0.07697177703117752,0.0769717770311775,0.0769717770311775,0.0769717770311775,0.1609525810490013,32.0,32.0,scheduled_rebalance,normal
PPL,1,1.0,0.07366673064187301,0.073666730641873,0.073666730641873,0.073666730641873,0.0487615784645036,182.0,182.0,scheduled_rebalance,normal
TT,1,1.0,0.07346558513597734,0.0734655851359773,0.0734655851359773,0.0734655851359773,-0.0118785192480979,59.0,59.0,scheduled_rebalance,normal
MS,2,0.5,0.07316672385492207,0.04157757029269676,0.1498231756626864,-0.0666680350772929,0.05886172226730195,45.5,91.0,single_period_hold,normal
LOW,1,1.0,0.07312692779300112,0.0731269277930011,0.0731269277930011,0.0731269277930011,-0.0107489189383609,153.0,153.0,scheduled_rebalance,normal
NUE,1,1.0,0.07238704871590285,0.0723870487159028,0.0723870487159028,0.0723870487159028,0.1199991297328411,60.0,60.0,scheduled_rebalance,normal
BIO,2,1.0,0.07030404292810566,0.03492570887462595,0.0626237225496426,0.0072276951996093,-0.007446831376576651,30.0,60.0,single_period_hold,normal
