ticker,buy_count,sell_count,first_buy_date,last_sell_date,gross_buy_usd,gross_sell_usd,fees_usd,net_cash_delta_usd,open_status
THC,2,2,2022-05-02,2026-05-15,61080.359130859375,51918.96081542969,282.49829986572263,-9443.896615295402,closed_or_flat
COO,3,5,2021-01-04,2022-05-02,58859.385192871094,57063.686347961426,289.80767885208127,-2085.5065237617455,closed_or_flat
JD,5,7,2020-01-02,2021-08-02,57627.49045562744,63831.5549697876,303.64761356353756,5900.416900596629,closed_or_flat
PTC,4,3,2020-12-01,2024-03-01,57564.60075378418,67345.39869689941,312.27499862670896,9468.522944488523,closed_or_flat
TPR,1,3,2025-12-01,2026-03-02,56485.68029022217,72830.13258361816,323.28953218460083,16021.162761211395,closed_or_flat
APP,1,1,2026-01-02,2026-02-02,54412.16064453125,42504.0,242.29040161132815,-12150.451046142582,closed_or_flat
FLEX,2,2,2022-12-01,2023-07-03,54344.86672973633,57040.30072021485,278.46291862487794,2416.971071853637,closed_or_flat
AIZ,3,5,2020-12-01,2024-03-01,53584.53610229492,54110.535064697266,269.2376779174805,256.76128448485724,closed_or_flat
PBA,1,1,2026-02-02,2026-03-02,53182.370193481445,58386.40690612793,278.92194274902346,4925.114769897467,closed_or_flat
LPX,3,3,2019-11-01,2023-08-01,52098.030084609985,54122.070039749146,265.55025031089787,1758.4897048282655,closed_or_flat
UTHR,2,3,2024-05-01,2024-10-01,51588.44073486328,55805.830017089844,268.4856768798828,3948.90360534669,closed_or_flat
BLD,2,2,2023-03-01,2025-09-02,51573.29850769043,55411.16889953613,267.4611685180664,3570.4092233276388,closed_or_flat
WEC,1,1,2025-11-03,2025-12-01,51245.27816772461,51064.98966217041,255.77566957473755,-436.06417512894404,closed_or_flat
BR,3,3,2023-11-01,2025-02-03,50285.952880859375,53633.24362182617,259.7979912567139,3087.492749710087,closed_or_flat
EDU,3,3,2020-03-02,2021-04-01,49722.15138244629,42893.60217285156,231.53938388824463,-7060.088593482973,closed_or_flat
CSX,4,3,2019-10-01,2021-06-01,49189.195167541504,51817.90897941589,252.51776036739352,2376.1960515069914,closed_or_flat
FICO,2,2,2022-02-01,2023-02-01,45662.3005065918,47874.01931762695,233.84079956054686,1977.8780114746041,closed_or_flat
HALO,2,4,2022-05-02,2024-10-01,45399.389545440674,49857.050411224365,238.1410998916626,4219.519765892026,closed_or_flat
INTU,2,2,2021-11-01,2025-02-03,43441.165771484375,44541.241271972656,219.95601760864258,880.119482879647,closed_or_flat
HEI,2,2,2024-07-01,2026-02-02,43100.83074951172,45332.8779296875,221.08427169799805,2010.9629084777807,closed_or_flat
VICI,2,2,2019-10-01,2022-08-01,43018.07611465454,47617.130361557,226.5880161905289,4372.466230711929,closed_or_flat
TTC,1,1,2026-01-02,2026-02-02,41991.23910522461,48831.77536010742,227.0575361633301,6613.478718719496,closed_or_flat
CBRE,3,4,2019-08-01,2020-12-01,41944.60973358154,43664.57974624634,214.02297369956975,1505.9470389652233,closed_or_flat
ALSN,2,2,2023-09-01,2024-09-03,41639.91074371338,41678.93988800049,208.29712657928468,-169.26798229217457,closed_or_flat
ABT,2,1,2021-07-01,2021-09-01,40159.98038482666,43773.38000488281,209.8334009742737,3403.5662190818766,closed_or_flat
STLD,3,1,2023-09-01,2023-12-01,39589.89279937744,44261.0774307251,209.62742557525638,4461.557205772406,closed_or_flat
COR,2,2,2022-12-01,2023-03-01,39300.305236816406,37959.529052734375,193.14958572387695,-1533.925769805901,closed_or_flat
GDDY,1,1,2024-12-02,2025-01-02,38931.13903808594,39185.27072143555,195.2910243988037,58.8406589508013,closed_or_flat
WRB,3,3,2019-06-03,2020-02-03,38701.37636947632,40978.747064590454,199.2003085851669,2078.1703865289746,closed_or_flat
UAL,1,1,2024-03-01,2024-04-01,38517.560131073,40673.64868927002,197.97802205085753,1958.1105361461596,closed_or_flat
UDR,1,1,2026-03-02,2026-05-15,37614.90560531616,37547.63813781738,187.90635935783382,-255.1738268566114,closed_or_flat
TER,3,3,2021-07-01,2023-09-01,37543.08476257324,38578.08112335205,190.30291471481323,844.6934460639895,closed_or_flat
CHRW,2,2,2020-03-02,2022-10-03,36657.13779449463,32408.535720825195,172.66418378829957,-4421.266257457733,closed_or_flat
MLM,2,2,2019-10-01,2025-10-01,36330.35842895508,36372.78828430176,181.7578667831421,-139.32801143646066,closed_or_flat
FAST,1,1,2024-04-01,2024-05-01,36263.79656219482,32469.40525817871,171.83300455093382,-3966.224308567049,closed_or_flat
MNST,2,2,2020-06-01,2020-09-01,35776.89324951172,36245.29391479492,180.05546791076662,288.34519737242954,closed_or_flat
LI,1,1,2022-08-01,2022-09-01,35634.49840545654,29155.499601364136,161.9749950170517,-6640.973799109459,closed_or_flat
NOC,2,2,2022-07-01,2022-11-01,35293.42742919922,36297.81134033203,178.9780969238281,825.4058142089834,closed_or_flat
CEG,1,1,2024-11-01,2024-12-02,35261.779541015625,34151.25814819336,173.53259422302244,-1284.0539870452922,closed_or_flat
UBER,1,1,2025-05-01,2025-06-02,34620.91973876953,35797.91973876953,176.04709869384766,1000.9529013061547,closed_or_flat
WBS,1,1,2025-11-03,2025-12-01,33749.94926452637,36142.74490356445,174.73173542022704,2218.063903617862,closed_or_flat
GEN,2,3,2021-01-04,2023-03-01,33661.95691871643,30713.008052825928,160.9374124288559,-3109.8862783193563,closed_or_flat
DAL,1,1,2024-03-01,2024-04-01,32956.750007629395,37693.88986206055,176.62659967422485,4560.513254756937,closed_or_flat
LNG,1,1,2022-12-01,2023-01-03,32039.001068115234,25650.549591064453,144.22387664794923,-6532.675353698731,closed_or_flat
AEP,3,2,2019-09-03,2020-12-01,32018.345329284668,31372.80921936035,158.47788637161256,-804.0139962959238,closed_or_flat
SEIC,1,1,2025-03-03,2025-04-01,31402.64318847656,30699.505096435547,155.2553707122803,-858.3934627532981,closed_or_flat
JKHY,3,3,2019-09-03,2020-03-02,31341.3221282959,31518.446029663086,157.14942039489748,19.974480972288802,closed_or_flat
ATO,1,1,2025-12-01,2026-01-02,30738.80126953125,30316.349487304688,152.63787689208985,-575.0896591186538,closed_or_flat
ROIV,1,1,2025-01-02,2025-02-03,30272.479808807373,26814.199522018436,142.71669832706453,-3600.9969851160095,closed_or_flat
QGEN,1,1,2021-02-01,2021-03-01,29525.024738311768,26829.309978485107,140.88583679199218,-2836.6005966186494,closed_or_flat
TTWO,1,1,2025-02-03,2025-03-03,29399.06115722656,32871.900482177734,155.67740409851075,3317.161920852657,closed_or_flat
SGI,1,1,2025-03-03,2025-04-01,28705.955505371094,28655.674560546875,143.4040751647949,-193.6850199890141,closed_or_flat
AN,1,1,2023-05-01,2023-06-01,28493.921142578125,27368.64038085937,139.65640380859375,-1264.9371655273426,closed_or_flat
AMZN,3,3,2020-05-01,2020-10-01,28192.88024902344,27080.427947998047,138.1832704925537,-1250.635571517938,closed_or_flat
TPL,2,3,2024-08-01,2024-12-02,27956.66778564453,46251.29428100586,185.51990516662602,18109.106590194704,closed_or_flat
MLI,1,1,2023-03-01,2023-04-03,27903.182510375977,28085.84634399414,139.9725721359253,42.6912614822395,closed_or_flat
ALNY,1,1,2024-09-03,2024-10-01,27154.45986938477,29538.41973876953,141.73219902038574,2242.227670364384,closed_or_flat
KEYS,1,1,2021-01-04,2021-02-01,26104.81854248047,28419.18951416016,136.31002014160157,2178.0609515380893,closed_or_flat
NXT,1,1,2025-02-03,2025-03-03,24591.599227905277,21459.459922790527,115.12764787673952,-3247.2669529914892,closed_or_flat
ELS,2,3,2019-06-03,2019-10-01,24492.75668334961,25040.15948867798,123.83229043006897,423.5705148982979,closed_or_flat
WCC,3,2,2022-08-01,2022-12-01,24388.977828979492,24750.31512451172,122.84823238372803,238.48906314849955,closed_or_flat
JBHT,1,1,2024-03-01,2024-04-01,23849.11193847656,23045.65795898437,117.23692474365234,-920.6909042358384,closed_or_flat
UI,1,1,2026-01-02,2026-02-02,23757.3369140625,22857.85656738281,116.53798370361329,-1016.0183303832964,closed_or_flat
ODFL,1,1,2023-07-03,2023-08-01,23720.63270568848,26606.8044128418,125.81859279632567,2760.3531143569926,closed_or_flat
VLO,1,1,2022-06-01,2022-07-01,23535.64430999756,19172.983184814453,106.77156873703004,-4469.432693920135,closed_or_flat
DINO,1,1,2023-11-01,2023-12-01,23324.627517700195,22914.51551437378,115.59785758018495,-525.7098609065979,closed_or_flat
MCO,2,2,2021-08-02,2021-11-01,22931.35678100586,23252.722229003906,115.46019752502443,205.90525047302435,closed_or_flat
EBAY,1,1,2025-03-03,2025-04-01,22920.60093688965,23935.34214782715,117.13985771179199,897.6013532257093,closed_or_flat
ENPH,1,1,2022-09-01,2022-10-03,22548.798828125,22928.798828125,113.693994140625,266.3060058593728,closed_or_flat
CXT,1,1,2023-06-01,2023-07-03,22181.904373168945,22953.915618896484,112.83954998016358,659.1716957473691,closed_or_flat
CPAY,1,1,2024-03-01,2024-04-01,22128.00048828125,24471.99951171875,116.5,2227.4990234375,closed_or_flat
AZO,1,1,2022-02-01,2022-03-01,22127.269409179688,19987.66064453125,105.28732513427735,-2244.8960897827164,closed_or_flat
PH,1,1,2026-02-02,2026-03-02,21805.979370117188,23209.967651367188,112.53986755371093,1291.4484136962892,closed_or_flat
GLPI,1,1,2025-04-01,2025-05-01,21596.819801330566,20069.98779296875,104.1670189857483,-1630.9990273475596,closed_or_flat
VVV,1,2,2021-12-01,2022-02-01,20807.03881454468,20768.442352294922,103.938702917099,-142.53516516685704,closed_or_flat
OGE,1,1,2023-02-01,2023-03-01,20351.07172012329,17954.722324371338,95.76448511123657,-2492.1138808631913,closed_or_flat
HII,1,1,2023-11-01,2023-12-01,20123.431640625,21858.51123046875,104.95485717773438,1630.124732666016,closed_or_flat
RMD,1,1,2025-12-01,2026-01-02,19765.703125,19481.6064453125,98.11827392578124,-382.214953613282,closed_or_flat
EXC,1,1,2021-09-01,2021-10-01,18951.15602874756,18259.59757232666,93.02688400268555,-784.5853404235822,closed_or_flat
CHH,1,1,2022-11-01,2022-12-01,18779.63274383545,17790.094360351562,91.42431776046753,-1080.9627012443561,closed_or_flat
AVT,1,1,2023-02-01,2023-03-01,18724.950065612797,18166.54988861084,92.22874988555908,-650.6289268875116,closed_or_flat
ELV,2,1,2022-09-01,2022-11-01,18457.805419921875,20638.47900390625,97.74071105957032,2082.9328729248045,closed_or_flat
GRMN,1,1,2025-01-02,2025-02-03,18247.077392578125,19222.99046325684,93.67516963958741,882.2379010391196,closed_or_flat
CRS,1,1,2025-12-01,2026-01-02,17708.354248046875,18927.3232421875,91.58919372558594,1127.3798004150376,closed_or_flat
AAPL,1,1,2020-01-02,2020-02-03,17649.467987060547,18137.78259277344,89.46812644958496,398.8464792633058,closed_or_flat
WU,2,2,2019-11-01,2020-11-02,17256.85336971283,17016.495007514954,85.68337094306946,-326.0417331409444,closed_or_flat
NDAQ,1,1,2021-05-03,2021-06-01,17158.05493927002,17365.021018981934,86.30768989562989,120.65838981628258,closed_or_flat
VRTX,1,1,2020-04-01,2020-05-01,17136.47967529297,19372.39953613281,91.27219802856445,2144.6476628112796,closed_or_flat
VST,1,1,2022-09-01,2022-10-03,16947.41106414795,14683.21434211731,79.07656351566315,-2343.273285546302,closed_or_flat
AFG,1,1,2022-07-01,2022-08-01,16935.734298706055,15629.02417755127,81.41189619064332,-1388.1220173454276,closed_or_flat
SHW,1,1,2020-08-03,2020-09-01,16863.412536621094,18080.813415527344,87.3605648803711,1130.0403140258786,closed_or_flat
WAT,1,1,2022-08-01,2022-09-01,16815.299438476562,13816.10028076172,76.5784992980957,-3075.777657012941,closed_or_flat
LSCC,1,1,2021-11-01,2021-12-01,16540.670768737793,17067.369720458984,84.02010122299194,442.6788504981996,closed_or_flat
SAIC,1,1,2021-06-01,2021-07-01,16050.28450012207,15623.670196533203,79.1848867416382,-505.79919033050646,closed_or_flat
TGT,1,1,2021-04-01,2021-05-03,15990.05126953125,16831.30421447754,82.05338871002198,759.1995562362681,closed_or_flat
BYD,1,1,2023-05-01,2023-06-01,15699.587539672852,14168.837341308594,74.67106220245361,-1605.4212605667108,closed_or_flat
MRVL,1,0,2026-05-15,,15566.319946289062,0.0,38.915799865722654,-15605.235746154784,open_or_partial
KNSL,1,1,2020-12-01,2021-01-04,15408.8515625,12812.82421875,70.554189453125,-2666.581533203127,closed_or_flat
SCCO,1,1,2026-03-02,2026-05-15,14873.173416137695,12197.819915771484,67.67748332977294,-2743.030983695984,closed_or_flat
IDXX,1,2,2021-06-01,2021-08-02,14865.930725097656,18166.359375,82.58072525024414,3217.8479246521,closed_or_flat
MAS,1,1,2023-03-01,2023-04-03,14377.028869628906,13903.458778381348,70.70121912002564,-544.2713103675815,closed_or_flat
VRSN,1,1,2021-06-01,2021-07-01,14365.126739501951,15166.498306274414,73.82906261444093,727.5425041580202,closed_or_flat
FSLR,1,1,2023-04-03,2023-05-01,14177.320373535156,12297.800415039062,66.18780197143555,-1945.707760467527,closed_or_flat
AMT,2,2,2019-06-03,2020-05-01,14049.760757446289,14530.1826171875,71.44985843658448,408.97200130462625,closed_or_flat
CP,2,2,2019-12-02,2020-03-02,13664.553817749025,14405.217163085938,70.1744274520874,670.4889178848262,closed_or_flat
CBOE,1,1,2019-08-01,2019-09-03,12745.819221496582,13230.80330657959,64.94155632019043,420.0425287628168,closed_or_flat
DGX,1,1,2021-08-02,2021-09-01,12640.94302368164,13568.86962890625,65.52453163146973,862.4020735931408,closed_or_flat
LEA,1,1,2020-11-02,2020-12-01,12437.981689453123,14855.158813476562,68.23285125732423,2348.9442727661153,closed_or_flat
NTAP,1,1,2020-12-01,2021-01-04,12355.705947875977,14796.73583984375,67.88110446929932,2373.148787498474,closed_or_flat
APH,1,1,2019-07-01,2019-08-01,11871.732606887816,11014.132942199709,57.214663872718816,-914.8143285608276,closed_or_flat
GGG,1,1,2020-10-01,2020-11-02,11648.095302581787,11889.994136810305,58.84522359848023,183.0536106300333,closed_or_flat
MCHP,1,1,2020-01-02,2020-02-03,11447.741088867188,10378.505859375,54.56561737060548,-1123.8008468627904,closed_or_flat
EXR,1,1,2019-07-01,2019-08-01,11061.72420501709,11944.900360107422,57.516561412811285,825.6595936775193,closed_or_flat
GL,1,1,2019-08-01,2019-09-03,10623.788551330566,10567.43830871582,52.97806715011597,-109.32830976486002,closed_or_flat
XPO,1,1,2019-08-01,2019-09-03,10541.45559310913,10941.331386566162,53.706967449188234,346.1688260078445,closed_or_flat
CIEN,1,0,2026-05-15,,9980.280395507812,0.0,24.950700988769533,-10005.231096496582,open_or_partial
POST,1,1,2020-01-02,2020-02-03,9120.837890625,8777.3818359375,44.745549316406255,-388.20160400390705,closed_or_flat
WEX,1,1,2020-03-02,2020-04-01,7930.219924926758,3819.969924926758,29.37547462463379,-4139.625474624634,closed_or_flat
MTD,1,1,2020-04-01,2020-05-01,6562.39990234375,6891.5997314453125,33.63499908447265,295.56483001708966,closed_or_flat
RVTY,1,1,2020-04-01,2020-05-01,6001.321350097656,7555.179916381836,33.89125316619873,1519.9673131179807,closed_or_flat
MU,1,0,2026-05-15,,5797.27978515625,0.0,14.493199462890626,-5811.7729846191405,open_or_partial
AXON,1,1,2025-07-01,2025-08-01,3101.52001953125,2969.8798828125,15.178499755859375,-146.81863647460932,closed_or_flat
SE,2,3,2020-05-01,2020-10-01,2982.4200134277344,4062.749984741211,17.612924995422365,1062.7170463180544,closed_or_flat
WMB,1,1,2022-03-01,2022-04-01,2382.797807693481,2579.03825378418,12.404590153694153,183.835855937004,closed_or_flat
HPQ,1,1,2021-01-04,2021-02-01,2341.9225215911865,2377.862405776977,11.79946231842041,24.140421867370605,closed_or_flat
