rebalance_date,ticker,Name,sector,weight,raw_score,concentrated_score,portfolio_sleeve_label,concentrated_selection_source,period_forward_return,raw_period_forward_return,risk_adjusted_forward_return,weighted_forward_return,raw_weighted_forward_return,position_risk_action,position_risk_reason,position_risk_hard_stop,position_risk_enabled,target_n,weighting_mode,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,portfolio_monster_early_score,portfolio_risk_entry_block_score,portfolio_defensive_rotation_action,target_stock_names,portfolio_mode
2021-06-30,GOOGL,ALPHABET INC CLASS A,Communication,0.05555555555555555,6.659140015186674,0.6217264639948592,future_winner,preferred_final_label,0.11001851031504883,0.11001851031504883,0.11001851031504883,0.006112139461947157,0.006112139461947157,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-08-31,0.5517870028708602,0.0,neutral,10,concentrated_alpha
2021-06-30,FTNT,FORTINET INC,Information Technology,0.05555555555555555,3.0955464926375083,0.6190647295736044,early_scout,preferred_final_label,0.15307327230822554,0.15307327230822554,0.15307327230822554,0.008504070683790308,0.008504070683790308,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-08-31,0.5100803290650288,0.10833333333333334,neutral,10,concentrated_alpha
2021-06-30,NVDA,NVIDIA CORP,Information Technology,0.05555555555555555,7.060822041243607,0.6170421971159374,future_winner,preferred_final_label,-0.021117775345912637,-0.021117775345912637,-0.021117775345912637,-0.0011732097414395909,-0.0011732097414395909,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-08-31,0.5754194925438597,0.10833333333333334,neutral,10,concentrated_alpha
2021-06-30,NOW,SERVICENOW INC,Information Technology,0.05555555555555555,5.903183099361921,0.6024901984804576,future_winner,preferred_final_label,0.0786972745842891,0.0786972745842891,0.0786972745842891,0.004372070810238283,0.004372070810238283,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-08-31,0.4521292274148978,0.0,neutral,10,concentrated_alpha
2021-06-30,DXCM,DEXCOM INC,Health Care,0.05555555555555555,3.1302517559693412,0.6000108085057395,early_scout,preferred_final_label,0.21694631479716597,0.21694631479716597,0.21694631479716597,0.012052573044286998,0.012052573044286998,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-08-31,0.48975628804453475,0.0,neutral,10,concentrated_alpha
2021-06-30,CROX,CROCS INC,Consumer Discretionary,0.05555555555555555,2.106955791291174,0.5764549125263283,early_scout,preferred_final_label,0.17884372490631684,0.17884372490631684,0.17884372490631684,0.009935762494795379,0.009935762494795379,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-08-31,0.5325480591176183,0.2416666666666667,neutral,10,concentrated_alpha
2021-06-30,CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,0.05555555555555555,2.5667335142415753,0.5742312124096038,early_scout,preferred_final_label,0.10575725570662708,0.10575725570662708,0.10575725570662708,0.005875403094812616,0.005875403094812616,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-08-31,0.5331268495562965,0.10833333333333334,neutral,10,concentrated_alpha
2021-06-30,NRG,NRG ENERGY INC,Utilities,0.05555555555555555,2.2947362510903924,0.547334302332746,early_scout,preferred_final_label,0.041285065191262627,0.041285065191262627,0.041285065191262627,0.0022936147328479236,0.0022936147328479236,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-08-31,0.413661176093102,0.013541666666666667,neutral,10,concentrated_alpha
2021-07-30,NET,CLOUDFLARE INC CLASS A,Information Technology,0.5051944236104088,4.837411705630253,0.6319161397906914,early_scout,preferred_final_label,0.006120595099186943,0.006120595099186943,0.006120595099186943,0.0030920905132864403,0.0030920905132864403,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.496131527288552,0.2416666666666667,neutral,10,concentrated_alpha
2021-07-30,ABT,ABBOTT LABORATORIES,Health Care,0.05262860124966376,4.039038881329153,0.6316723673804301,early_scout,preferred_final_label,0.034732631662451,0.034732631662451,0.034732631662451,0.0018279298221145796,0.0018279298221145796,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.39348873764445386,0.16041666666666668,neutral,10,concentrated_alpha
2021-07-30,GOOGL,ALPHABET INC CLASS A,Communication,0.055375915330931655,6.659140015186674,0.6217264639948592,future_winner,preferred_final_label,0.07314398901266972,0.07314398901266972,0.07314398901266972,0.0040504153425321935,0.0040504153425321935,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.5517870028708602,0.0,neutral,10,concentrated_alpha
2021-07-30,FTNT,FORTINET INC,Information Technology,0.057523804607166225,3.0955464926375083,0.6190647295736044,early_scout,preferred_final_label,0.15776423440714504,0.15776423440714504,0.15776423440714504,0.009075198994035782,0.009075198994035782,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.5100803290650288,0.10833333333333334,neutral,10,concentrated_alpha
2021-07-30,NVDA,NVIDIA CORP,Information Technology,0.04883386960458318,7.060822041243607,0.6170421971159374,future_winner,preferred_final_label,0.14157134265390492,0.14157134265390492,0.14157134265390492,0.006913476486906558,0.006913476486906558,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.5754194925438597,0.10833333333333334,neutral,10,concentrated_alpha
2021-07-30,NOW,SERVICENOW INC,Information Technology,0.05381338093914532,5.903183099361921,0.6024901984804576,future_winner,preferred_final_label,0.09476260876516696,0.09476260876516696,0.09476260876516696,0.00509949636426712,0.00509949636426712,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.4521292274148978,0.0,neutral,10,concentrated_alpha
2021-07-30,DXCM,DEXCOM INC,Health Care,0.0607102633553115,3.1302517559693412,0.6000108085057395,early_scout,preferred_final_label,0.02844220093817995,0.02844220093817995,0.02844220093817995,0.0017267335093615927,0.0017267335093615927,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.48975628804453475,0.0,neutral,10,concentrated_alpha
2021-07-30,CROX,CROCS INC,Consumer Discretionary,0.05880942497101644,2.106955791291174,0.5764549125263283,early_scout,preferred_final_label,0.040180182976855106,0.040180182976855106,0.040180182976855106,0.002362973456099072,0.002362973456099072,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.5325480591176183,0.2416666666666667,neutral,10,concentrated_alpha
2021-07-30,CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,0.055163332502621405,2.5667335142415753,0.5742312124096038,early_scout,preferred_final_label,0.08384923355859941,0.08384923355859941,0.08384923355859941,0.004625403150882981,0.004625403150882981,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.5331268495562965,0.10833333333333334,neutral,10,concentrated_alpha
2021-07-30,NRG,NRG ENERGY INC,Utilities,0.0519469838291518,2.2947362510903924,0.547334302332746,early_scout,preferred_final_label,0.10502191281095863,0.10502191281095863,0.10502191281095863,0.0054555716064974575,0.0054555716064974575,hold,hold,-0.08,True,10,winner_take_all,scheduled_hold,2,2021-08-31,0.413661176093102,0.013541666666666667,neutral,10,concentrated_alpha
2021-08-31,DXCM,DEXCOM INC,Health Care,0.5,3.2726390106576937,0.6500409741940294,early_scout,preferred_final_label,0.03699942051602756,0.03699942051602756,0.03699942051602756,0.01849971025801378,0.01849971025801378,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.5827218876838115,0.10833333333333334,promote_monster_early,10,concentrated_alpha
2021-08-31,BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,0.05555555555555555,2.4363429816542364,0.6477246733359752,early_scout,preferred_final_label,-0.06740453941696167,-0.06740453941696167,-0.06740453941696167,-0.003744696634275648,-0.003744696634275648,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.5802014509566056,0.10833333333333334,promote_monster_early,10,concentrated_alpha
2021-08-31,HUBS,HUBSPOT INC,Information Technology,0.05555555555555555,4.42445743184869,0.642008946550372,early_scout,preferred_final_label,-0.014073014085310254,-0.014073014085310254,-0.014073014085310254,-0.0007818341158505696,-0.0007818341158505696,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.5406592469518221,0.10833333333333334,neutral,10,concentrated_alpha
2021-08-31,GOOGL,ALPHABET INC CLASS A,Communication,0.05555555555555555,6.02033254511511,0.6264810168162107,future_winner,preferred_final_label,-0.07277594931040055,-0.07277594931040055,-0.07277594931040055,-0.004043108295022252,-0.004043108295022252,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.553453349235213,0.10833333333333334,neutral,10,concentrated_alpha
2021-08-31,DKS,DICKS SPORTING INC,Consumer Discretionary,0.05555555555555555,2.3951597174131325,0.6148122375175443,early_scout,preferred_final_label,-0.08,-0.10830683970768762,-0.08,-0.0044444444444444444,-0.00601704665042709,risk_exit,hard_stop,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.5976997306441962,0.2416666666666667,promote_monster_early,10,concentrated_alpha
2021-08-31,LRCX,LAM RESEARCH CORP,Information Technology,0.05555555555555555,4.24780293315464,0.6004277613373064,early_scout,preferred_final_label,-0.05825874899596506,-0.05825874899596506,-0.05825874899596506,-0.003236597166442503,-0.003236597166442503,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.3563694761627081,0.17395833333333335,neutral,10,concentrated_alpha
2021-08-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.05555555555555555,2.419734264502492,0.5996360284014733,early_scout,preferred_final_label,0.02822149501889193,0.02822149501889193,0.02822149501889193,0.0015678608343828847,0.0015678608343828847,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.459776502206493,0.0,neutral,10,concentrated_alpha
2021-08-31,MA,MASTERCARD INC CLASS A,Financials,0.05555555555555555,3.644416918256029,0.5963586402298288,early_scout,preferred_final_label,0.007052714460153764,0.007052714460153764,0.007052714460153764,0.00039181747000854243,0.00039181747000854243,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.26322370906020165,0.1729166666666667,neutral,10,concentrated_alpha
2021-08-31,SITE,SITEONE LANDSCAPE SUPPLY INC,Industrials,0.05555555555555555,1.972238768747363,0.5887665541797295,early_scout,preferred_final_label,0.004162287828152644,0.004162287828152644,0.004162287828152644,0.0002312382126751469,0.0002312382126751469,hold,hold,-0.08,True,10,winner_take_all,rebalance,2,2021-10-29,0.5341144919195835,0.0,neutral,10,concentrated_alpha
