rebalance_date,next_rebalance_date,gross_return,cost,net_return,turnover,missing_tickers,cash_weight,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,target_n,weighting_mode,portfolio_mode,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,equity,equity_value_usd,bench_return,benchmark_equity,benchmark_value_usd,target_stock_names
2024-02-29,2024-03-28,0.05205953465512865,0.0015979755375423906,0.05046155911758626,0.3195951075084781,0,0.0,rebalance,2,2024-04-30,2,conviction_curve,concentrated_alpha,0.05205953465512865,0.0,0,True,-0.08,3.968754606099665,396875.4606099665,0.020768607847259535,1.79352060552787,179352.060552787,2
2024-03-28,2024-04-30,-0.07410137765098884,0.0,-0.07410137765098884,0.0,0,0.3245018599678714,scheduled_hold,2,2024-04-30,2,conviction_curve,concentrated_alpha,-0.12319867887664612,0.04909730122565728,1,True,-0.08,3.6746644222289717,367466.4422228972,-0.042980527368667976,1.7164341440557096,171643.41440557095,2
2024-04-30,2024-05-31,0.009121985246410724,0.005,0.004121985246410724,1.0,0,0.0,rebalance,2,2024-06-28,2,conviction_curve,concentrated_alpha,0.009121985246410724,0.0,0,True,-0.08,3.68981133476291,368981.133476291,0.05280777301086581,1.8070752087231032,180707.52087231033,2
2024-05-31,2024-06-28,-0.025718356605284987,0.0,-0.025718356605284987,0.0,0,0.29219416846550433,scheduled_hold,2,2024-06-28,2,conviction_curve,concentrated_alpha,-0.0286102574547854,0.002891900849500414,1,True,-0.08,3.5949154510492547,359491.54510492546,0.03628156111594816,1.8726387183495052,187263.87183495052,2
2024-06-28,2024-07-31,0.009039271485113076,0.005,0.004039271485113076,1.0,0,0.0,rebalance,2,2024-08-30,2,conviction_curve,concentrated_alpha,0.009039271485113076,0.0,0,True,-0.08,3.609436290522071,360943.6290522071,-0.005188955797986838,1.862921678814391,186292.1678814391,2
2024-07-31,2024-08-30,0.04944210214473416,0.0,0.04944210214473416,0.0,0,0.0,scheduled_hold,2,2024-08-30,2,conviction_curve,concentrated_alpha,0.04944210214473416,0.0,0,True,-0.08,3.7878944082829737,378789.4408282974,0.01510094222535563,1.8910535514565296,189105.35514565295,2
2024-08-30,2024-09-30,0.04133945059789922,0.005,0.036339450597899225,1.0,0,0.2650432573562164,rebalance,2,2024-10-31,2,conviction_curve,concentrated_alpha,0.028253954942504787,0.013085495655394436,1,True,-0.08,3.925544410002832,392554.44100028323,0.032523471991868114,1.9525571786724487,195255.71786724488,2
2024-09-30,2024-10-31,0.07665930576287946,0.0,0.07665930576287946,0.0,0,0.24617189108714102,scheduled_hold,2,2024-10-31,2,conviction_curve,concentrated_alpha,0.07665930576287946,0.0,0,True,-0.08,4.226473919215001,422647.39192150015,0.0035121523976351376,1.9594148570490428,195941.48570490428,2
2024-10-31,2024-11-29,0.15077525644477055,0.004999999999999999,0.14577525644477055,0.9999999999999999,0,0.0,rebalance,2,2024-12-31,2,conviction_curve,concentrated_alpha,0.15077525644477055,0.0,0,True,-0.08,4.842589238645703,484258.9238645703,0.05557010194106948,2.0682997404001044,206829.97404001045,2
2024-11-29,2024-12-31,-0.05148369450115355,0.0,-0.05148369450115355,0.0,0,0.0,scheduled_hold,2,2024-12-31,2,conviction_curve,concentrated_alpha,-0.05148369450115355,0.0,0,True,-0.08,4.593274853688693,459327.4853688693,-0.02953457413823035,2.007213388377175,200721.3388377175,2
2024-12-31,2025-01-31,-0.006567430251200379,0.0035821249133581802,-0.010149555164558559,0.716424982671636,0,0.0,rebalance,2,2025-02-28,2,conviction_curve,concentrated_alpha,-0.006567430251200379,0.0,0,True,-0.08,4.5466551571752,454665.51571752003,0.021473788244114722,2.0503158636399386,205031.58636399385,2
2025-01-31,2025-02-28,0.0068780882990617,0.0,0.0068780882990617,0.0,0,0.0,scheduled_hold,2,2025-02-28,2,conviction_curve,concentrated_alpha,0.0068780882990617,0.0,0,True,-0.08,4.577927452811636,457792.7452811636,-0.02416353466553889,2.0007729851935707,200077.29851935708,2
2025-02-28,2025-03-31,-0.027607743942428865,0.004999999999999999,-0.032607743942428866,0.9999999999999999,0,0.0,rebalance,2,2025-04-30,2,conviction_curve,concentrated_alpha,-0.027607743942428865,0.0,0,True,-0.08,4.428651566643339,442865.1566643339,-0.037035960695554704,1.9266724355532139,192667.2435553214,2
2025-03-31,2025-04-30,0.0005019417511027786,0.0,0.0005019417511027786,0.0,0,0.0,scheduled_hold,2,2025-04-30,2,conviction_curve,concentrated_alpha,0.0005019417511027786,0.0,0,True,-0.08,4.4308744917657235,443087.4491765723,-0.005135743031774775,1.916777541017809,191677.75410178088,2
2025-04-30,2025-05-30,-0.0072034619087575115,0.0019326969976013986,-0.00913615890635891,0.3865393995202797,0,0.0,rebalance,2,2025-06-30,2,conviction_curve,concentrated_alpha,-0.0072034619087575115,0.0,0,True,-0.08,4.390393318314819,439039.33183148195,0.059206229680200506,2.0302627123571595,203026.27123571595,2
2025-05-30,2025-06-30,-0.01326751647109934,0.0,-0.01326751647109934,0.0,0,0.0,scheduled_hold,2,2025-06-30,2,conviction_curve,concentrated_alpha,-0.01326751647109934,0.0,0,True,-0.08,4.332143702649473,433214.3702649473,0.04414970501723414,2.119898212215218,211989.8212215218,2
2025-06-30,2025-07-31,0.044557470530344374,0.0015571456458684635,0.04300032488447591,0.3114291291736927,0,0.2642267254666887,rebalance,2,2025-08-29,2,conviction_curve,concentrated_alpha,0.037162251623657695,0.007395218906686679,1,True,-0.08,4.518427289309637,451842.72893096367,0.006453684327711651,2.133579366083735,213357.9366083735,2
2025-07-31,2025-08-29,0.03452418669990452,0.0,0.03452418669990452,0.0,0,0.2554089395527451,scheduled_hold,2,2025-08-29,2,conviction_curve,concentrated_alpha,0.03452418669990452,0.0,0,True,-0.08,4.674422316635706,467442.2316635706,0.028459396506257617,2.1942997472406818,219429.9747240682,2
2025-08-29,2025-09-30,-0.026303325192037506,0.005,-0.031303325192037504,1.0,0,0.0,rebalance,2,2025-10-31,2,conviction_curve,concentrated_alpha,-0.026303325192037506,0.0,0,True,-0.08,4.528097354773141,452809.73547731416,0.04608497492027164,2.295423996059827,229542.3996059827,2
