rebalance_date,market_style_regime_label,style_breakout_preference,style_turnaround_preference,style_quality_compounder_preference,style_cash_defense_preference,style_liquidity_tailwind_score,style_rate_pressure_score,style_inflation_pressure_score,style_overheat_risk_score,n_candidates,top_breakout,top_turnaround,top_compounder
2022-02-28,balanced,0.0130574901978445,0.3117262583101336,0.2743197285604329,0.4020971287082295,0.2023262732377665,0.1325443071879119,0.12146756618389448,0.3087951406049703,582,"FCX,NXST,FANG,ATO,RGLD","V,AMGN,MA,HALO,GILD","LPX,OLN,COO,DVA,MA"
2022-03-31,quality_compounder,0.2617342364983869,0.4297475039389445,0.5231004002800711,0.0513782796946743,0.1579157918179899,0.6025569387204737,0.2720180979949559,0.2037839285366752,566,"VRTX,ATO,RGLD,SCCO,JKHY","EEFT,FTNT,HALO,LHX,MDB","LPX,BLDR,RH,LOW,OLN"
2022-04-29,cash_defense,0.0,0.3165992434381214,0.5886541039754676,0.6298019998102973,0.1302271588791863,0.5957956782372495,0.2332730851795992,0.3438743658714098,570,"MA,BMY,V,AVGO,GOOG","NOC,HII,OGE,BMY,NRG","LPX,TROW,BLDR,RH,LOW"
2022-05-31,balanced,0.1869255893415495,0.4497873702704837,0.2014942473384693,0.1766270007605353,0.3324171637139814,0.0,0.0,0.0800172038796176,546,"AMGN,CHRD,UTHR,NFG,FANG","LAD,ORLY,HPQ,EXP,VVV","TROW,FANG,HD,LPX,LAD"
2022-06-30,balanced,0.0046481348498836,0.3646072687508953,0.3141856161352117,0.284009136116233,0.1068136536317049,0.0514285714285714,0.0,0.1128013898006372,537,"UTHR,MNST,GIS,ADC,RBA","VEEV,QGEN,DVA,DGX,MO","TROW,FANG,HD,LPX,LAD"
2022-07-29,turnaround_accumulation,0.3634411618920857,0.4786395369548804,0.1842150819605501,0.1762691302508665,0.4553050798671367,0.082472211377886,0.1319555382046176,0.1619251056658641,554,"CDNS,ADC,GLPI,MNST,VICI","NVDA,BEN,HDB,ON,JHG","FANG,LPX,HD,COO,LOW"
2022-08-31,balanced,0.0,0.3880873570216587,0.4427585646141664,0.3228584915034906,0.1093579718108949,0.5038160146832469,0.1076320293664937,0.2554026061919789,543,"PANW,ON,LOW,PG,TSLA","DKS,BBY,GTM,BYD,INTU","LPX,COO,LOW,AM,LAD"
2022-09-30,quality_compounder,0.0,0.3430185151002831,0.47128878223279114,0.5347733195080209,0.1037929280056983,0.45,0.0,0.3897592484877094,545,"TSLA,LOW,ON,UNH,PG","NVDA,INTC,LRCX,QRVO,ON","LPX,LOW,AM,LAD,TROW"
2022-10-31,turnaround_accumulation,0.0292184269986305,0.4650542252453334,0.3295400553130456,0.1884103834220207,0.2910829303372174,0.4276580927411692,0.1610304711966252,0.2139352188384777,551,"FANG,GILD,WING,VRTX,CHRD","DKS,BBY,TSCO,LOW,SCCO","LOW,DLTR,BLDR,MA,BWA"
2022-11-30,turnaround_accumulation,0.49928345291896914,0.5148570230394034,0.3383666242576433,0.0367043085196597,0.4336804298185457,0.0371561421091549,0.0743122842183098,0.1584732044581224,548,"MCHP,ORLY,FICO,AZO,ADI","LRCX,RGLD,ACLS,AMKR,MCHP","CPRT,MA,V,CTAS,LRCX"
2022-12-30,balanced,0.0765521830455231,0.310397169457527,0.3767323249626685,0.2835952553308863,0.1092094783163857,0.4568583217614411,0.0137166435228821,0.209454355110538,541,"PG,EXC,AGCO,WFRD,EHC","RGLD,MASI,GMED,PEN,ALL","CPRT,MA,V,CTAS,UI"
2023-01-31,breakout_growth,0.7012938026829532,0.4241627864047829,0.3717207207451931,0.0415557301147853,0.3402087822971332,0.0638239044499328,0.1276478088998656,0.1059309567548775,549,"URI,FICO,AVGO,ORCL,BEN","DV,FWONK,MASI,BLDR,AVB","CPRT,NOC,MA,LRCX,CTAS"
2023-02-28,quality_compounder,0.3240894460703134,0.3788599294802922,0.5025604660980194,0.0944533438592101,0.1903468862102601,0.46281994152093214,0.0256398830418643,0.1714998522191627,568,"BKNG,URI,MGM,CPRT,CDNS","MLI,NOW,BKNG,MMM,DV","MAS,QSR,BLD,MMM,BLDR"
2023-03-31,breakout_growth,0.7195783340907241,0.4466310953738124,0.2659317807240106,0.0322425566148502,0.7257453139724374,0.0,0.0,0.1088157332699838,563,"MSFT,AVGO,AAPL,ADI,CDNS","FTNT,MSFT,GOOG,GOOGL,JD","CHH,MAS,QSR,BLD,MMM"
2023-04-28,balanced,0.2182959668279768,0.3102669752142489,0.4307903039298781,0.0686432028931521,0.0588080937783222,0.0992301603017546,0.1947280715564404,0.12000952017779479,552,"AAPL,ISRG,ORLY,CPRT,WING","BRBR,ETR,USFD,AEE,LW","CHH,QSR,BLD,EFX,RGEN"
2023-05-31,breakout_growth,0.5426364183251798,0.4213989888355746,0.3869616962361633,0.0388115635845888,0.2569986333206435,0.2571428571428574,0.0,0.1574358942800457,545,"ADBE,AKAM,AAPL,CDNS,ENTG","ETR,NOW,PEG,QGEN,OGE","CHH,EXP,TER,STLD,WMS"
2023-06-30,quality_compounder,0.2383695377203081,0.3746200197376822,0.557691937323076,0.0452272676017542,0.11667302546674178,0.46764996169237355,0.4210142090990325,0.20797737755696,553,"AAPL,ON,SPGI,URI,ISRG","OMF,CACC,AIZ,WU,AXP","CHH,EXP,TER,STLD,WMS"
