rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,cash_weight_start,cash_weight_end,stock_weight_start,stock_weight_end,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month
2022-02-28,2022-03-31,balanced,0.25,0.35,0.4,0.0,0.040091150507137865,0.0,0.040091150507137865,1.0,0.9599088494928621,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,-0.07331184970545436,-0.038536076667825686,2.4059021799172164
2022-03-31,2022-04-29,growth_reentry_alert,0.25,0.35,0.4,0.0,0.6455643038714697,0.0,0.6455643038714697,1.0,0.3544356961285304,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.038536076667825686,-0.08777325351383586,2.2826944045321187
2022-04-29,2022-05-31,risk_off_alert,0.18,0.36,0.18,0.28,0.3703857063548066,0.28,0.3703857063548066,0.72,0.6296142936451934,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,-0.08777325351383586,-0.08922523472949023,2.279061065113792
2022-05-31,2022-06-30,balanced,0.25,0.35,0.4,0.0,0.507713174322055,0.0,0.507713174322055,1.0,0.49228682567794496,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.08922523472949023,-0.13761638980397045,2.1579703172894655
2022-06-30,2022-07-29,balanced,0.25,0.41666666666666663,0.33333333333333337,0.0,0.12298704420103058,0.0,0.12298704420103058,1.0,0.8770129557989695,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,14,-0.13761638980397045,-0.10418526950037504,2.241626087686694
2022-07-29,2022-08-31,balanced,0.25,0.4833333333333333,0.2666666666666667,0.0,0.1996753684174702,0.0,0.1996753684174702,1.0,0.8003246315825298,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,14,-0.10418526950037504,-0.12313314486408357,2.194212208147299
2022-08-31,2022-09-30,balanced,0.25,0.5499999999999999,0.20000000000000004,0.0,0.14844595445414088,0.0,0.14844595445414088,1.0,0.8515540455458591,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,14,-0.12313314486408357,-0.1552456565389112,2.113856034643332
2022-09-30,2022-10-31,balanced,0.25,0.6,0.15000000000000002,0.0,0.0466768807275198,0.0,0.0466768807275198,1.0000000000000002,0.9533231192724803,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,14,-0.1552456565389112,-0.0670080943401408,2.3346557319516403
2022-10-31,2022-11-30,balanced,0.25,0.35,0.4,0.0,0.035125290806143565,0.0,0.035125290806143565,1.0,0.9648747091938564,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,14,-0.0670080943401408,-0.0644044584840804,2.3411708939143447
2022-11-30,2022-12-30,balanced,0.25,0.35,0.4,0.0,0.19319723744270598,0.0,0.19319723744270598,1.0,0.806802762557294,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,-0.0644044584840804,-0.09358350380494519,2.2681552278641086
2022-12-30,2023-01-31,balanced,0.25,0.35,0.4,0.0,0.07075759994212076,0.0,0.07075759994212076,0.9999999999999999,0.9292424000578794,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.09358350380494519,-0.06702017508956844,2.3346255019027766
2023-01-31,2023-02-28,balanced,0.25,0.35,0.4,0.0,0.14499972315287213,0.0,0.14499972315287213,1.0,0.8550002768471279,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,-0.06702017508956844,-0.08754566055066294,2.2832639177431124
2023-02-28,2023-03-31,balanced,0.25,0.35,0.4,0.0,0.03934688337109878,0.0,0.03934688337109878,1.0,0.9606531166289013,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.08754566055066294,-0.05219566263291517,2.371721357472752
2023-03-31,2023-04-28,balanced,0.25,0.35,0.4,0.0,0.17040590615431642,0.0,0.17040590615431642,1.0,0.8295940938456836,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,-0.05219566263291517,-0.05216675036374452,2.3717937055762386
2023-04-28,2023-05-31,balanced,0.25,0.35,0.4,0.0,0.055327173633956665,0.0,0.055327173633956665,1.0,0.9446728263660433,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.05216675036374452,0.0,2.5092728103101276
