ticker,first_rebalance_date,last_rebalance_date,target_row_count,linked_mdd_position_pnl_usd,sector,industry_group,primary_lane,crisis_state,market_style_regime_label,regime_state,regime_capacity_regime,avg_weight,max_weight,min_weight,avg_target_weight,max_target_weight,min_target_weight,avg_selection_confirmation_score,max_selection_confirmation_score,min_selection_confirmation_score,avg_breakout_setup_quality_score,max_breakout_setup_quality_score,min_breakout_setup_quality_score,avg_rs_benchmark_1m,max_rs_benchmark_1m,min_rs_benchmark_1m,avg_ticker_ret_1m,max_ticker_ret_1m,min_ticker_ret_1m,avg_atr14_pct,max_atr14_pct,min_atr14_pct
ON,2023-07-31,2023-07-31,1,-3774.5394897460938,Information Technology,Semiconductors,MARKET_LEADER,GREEN,quality_compounder,bull,bull,0.12,0.12,0.12,0.12,0.12,0.12,1.0,1.0,1.0,0.6474014272672214,0.6474014272672214,0.6474014272672214,0.1035799584175689,0.1035799584175689,0.1035799584175689,0.1392471760834861,0.1392471760834861,0.1392471760834861,0.0344050391288557,0.0344050391288557,0.0344050391288557
RKLB,2021-11-30,2021-11-30,1,-2889.6298484802264,Industrials,Aerospace & Defense,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.076,0.076,0.076,0.076,0.076,0.076,0.2451249999999999,0.2451249999999999,0.2451249999999999,0.6319045395960782,0.6319045395960782,0.6319045395960782,0.1228585921501741,0.1228585921501741,0.1228585921501741,0.128825583015719,0.128825583015719,0.128825583015719,0.0684561432428818,0.0684561432428818,0.0684561432428818
FANG,2022-06-30,2022-07-29,2,-2711.271125793457,Energy,Oil Gas & Consumable Fuels,QUALITY_COMPOUNDER,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,0.028749999999999998,0.0375,0.02,0.028749999999999998,0.0375,0.02,1.0,1.0,1.0,-0.40134550746071845,-0.2062314155934416,-0.5964595993279953,-0.0837779015529411,-0.0507014606711883,-0.1168543424346939,-0.0798608785433539,0.0466847295023686,-0.2064064865890764,0.21523029654004677,0.2348994841287501,0.1955611089513434
ONTO,2023-07-31,2023-07-31,1,-2461.3494415283203,Information Technology,Semiconductors,MARKET_LEADER,GREEN,quality_compounder,bull,bull,0.12,0.12,0.12,0.12,0.12,0.12,1.0,1.0,1.0,0.5873274080543446,0.5873274080543446,0.5873274080543446,0.0317320988262828,0.0317320988262828,0.0317320988262828,0.0673993164921999,0.0673993164921999,0.0673993164921999,0.036357803279677,0.036357803279677,0.036357803279677
DKS,2021-08-31,2021-08-31,1,-2385.2166748046857,Consumer Discretionary,Specialty Retail,MARKET_LEADER,GREEN,balanced,bull,bull,0.08,0.08,0.08,0.08,0.08,0.08,1.0,1.0,1.0,0.2416920784172012,0.2416920784172012,0.2416920784172012,0.3161488414466414,0.3161488414466414,0.3161488414466414,0.3521221581909526,0.3521221581909526,0.3521221581909526,0.1730614884326582,0.1730614884326582,0.1730614884326582
CTAS,2022-07-29,2022-08-31,2,-1835.2136840820312,Industrials,Commercial Services,QUALITY_COMPOUNDER,DEFENSE_REVIEW,balanced,bear,bear,0.01757170114707665,0.0226008152269743,0.012542587067179,0.01757170114707665,0.0226008152269743,0.012542587067179,1.0,1.0,1.0,0.47859067198324595,0.4908362922031574,0.4663450517633345,0.02490919278746715,0.0450221535891114,0.0047962319858229,0.050571328059014195,0.1424083437626684,-0.04126568764464,0.0460287545042173,0.0502327787978359,0.0418247302105987
NET,2021-10-29,2021-10-29,1,-1830.0766601562427,Information Technology,Software - Infrastructure,MARKET_LEADER,GREEN,balanced,bull,bull,0.2730293863939033,0.2730293863939033,0.2730293863939033,0.2730293863939033,0.2730293863939033,0.2730293863939033,1.0,1.0,1.0,0.5607142857142857,0.5607142857142857,0.5607142857142857,0.6674294304689123,0.6674294304689123,0.6674294304689123,0.7333096632390306,0.7333096632390306,0.7333096632390306,0.0497586204310195,0.0497586204310195,0.0497586204310195
MSI,2023-04-28,2023-04-28,1,-878.7612304687536,Information Technology,Communication Equipment,QUALITY_COMPOUNDER,DEFENSE_REVIEW,balanced,neutral,neutral,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,1.0,1.0,1.0,0.6146719986048329,0.6146719986048329,0.6146719986048329,0.017036865309073,0.017036865309073,0.017036865309073,0.0678688628341186,0.0678688628341186,0.0678688628341186,0.0431654817379244,0.0431654817379244,0.0431654817379244
TXRH,2023-04-28,2023-04-28,1,-792.4335784912109,Consumer Discretionary,Hotels Restaurants & Leisure,QUALITY_COMPOUNDER,DEFENSE_REVIEW,balanced,neutral,neutral,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,1.0,1.0,1.0,0.6152845497757695,0.6152845497757695,0.6152845497757695,-0.00950638231384,-0.00950638231384,-0.00950638231384,0.0413256152112055,0.0413256152112055,0.0413256152112055,0.0653490761333303,0.0653490761333303,0.0653490761333303
BRKR,2022-07-29,2022-07-29,1,-730.1626853942871,Health Care,Medical Devices,QUALITY_COMPOUNDER,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,0.0215305103246101,0.0215305103246101,0.0215305103246101,0.0215305103246101,0.0215305103246101,0.0215305103246101,1.0,1.0,1.0,0.2220186817012265,0.2220186817012265,0.2220186817012265,-0.0084267740739661,-0.0084267740739661,-0.0084267740739661,0.0889594160995908,0.0889594160995908,0.0889594160995908,0.0393997052941347,0.0393997052941347,0.0393997052941347
JBL,2022-10-31,2023-03-31,6,-692.3742141723633,Information Technology,Tech Hardware & Storage,MARKET_LEADER,DEFENSE_REVIEW,breakout_growth,bull,bull,0.11826893645655363,0.285,0.02,0.11826893645655363,0.285,0.02,1.0,1.0,1.0,0.5836730551624019,0.7296382235813573,0.4562263989765468,0.048084089632664535,0.092710338031813,-0.0042176368316083,0.07588682013768829,0.1529325988023735,-0.0552708509645702,0.029182488047052067,0.0360551101045223,0.0216065678625338
DAL,2023-06-30,2023-06-30,1,-575.4021148681641,Industrials,Transportation & Logistics,MARKET_LEADER,WATCH,quality_compounder,bull,bull,0.0965053503335048,0.0965053503335048,0.0965053503335048,0.0965053503335048,0.0965053503335048,0.0965053503335048,1.0,1.0,1.0,0.6026535978304912,0.6026535978304912,0.6026535978304912,0.252419124889409,0.252419124889409,0.252419124889409,0.3103637648820438,0.3103637648820438,0.3103637648820438,0.0484925823959853,0.0484925823959853,0.0484925823959853
RGLD,2022-04-29,2022-04-29,1,-493.45664978027344,Materials,Metals & Mining,MARKET_LEADER,CRISIS_DEFENSE,cash_defense,bear,bear,0.02,0.02,0.02,0.02,0.02,0.02,1.0,1.0,1.0,0.4332238771082458,0.4332238771082458,0.4332238771082458,0.0593940270795546,0.0593940270795546,0.0593940270795546,-0.0723298712778488,-0.0723298712778488,-0.0723298712778488,0.0605786464400396,0.0605786464400396,0.0605786464400396
CHE,2023-04-28,2023-04-28,1,-390.14959716796875,Health Care,Diagnostics & Research,QUALITY_COMPOUNDER,DEFENSE_REVIEW,balanced,neutral,neutral,0.0639744523973604,0.0639744523973604,0.0639744523973604,0.0639744523973604,0.0639744523973604,0.0639744523973604,1.0,1.0,1.0,0.6173107528198482,0.6173107528198482,0.6173107528198482,-0.0087517320210842,-0.0087517320210842,-0.0087517320210842,0.0420802655039613,0.0420802655039613,0.0420802655039613,0.0217729478533226,0.0217729478533226,0.0217729478533226
PLNT,2022-01-31,2022-01-31,1,-387.24005126953125,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER,DEFENSE_REVIEW,quality_compounder,neutral,neutral,0.0395891022802455,0.0395891022802455,0.0395891022802455,0.0395891022802455,0.0395891022802455,0.0395891022802455,1.0,1.0,1.0,0.6139687616758807,0.6139687616758807,0.6139687616758807,0.0486880226672823,0.0486880226672823,0.0486880226672823,-0.0214175579839868,-0.0214175579839868,-0.0214175579839868,0.0491490497796109,0.0491490497796109,0.0491490497796109
