ticker,months_held_main,first_held_main,last_held_main,avg_weight_main,max_weight_main,months_held_concentrated,first_held_concentrated,last_held_concentrated,avg_weight_concentrated,max_weight_concentrated
AMGN,5.0,2019-08-30,2020-09-30,0.06394451349774022,0.1112868735314381,,,,,
AMKR,2.0,2021-08-31,2022-11-30,0.0288728922971822,0.0382812142888023,,,,,
AMP,5.0,2022-01-31,2024-12-31,0.01187441016026872,0.0265494982513948,,,,,
AMT,8.0,2019-05-31,2020-04-30,0.03744475331806215,0.068157772935536,7.0,2019-05-31,2020-04-30,0.06070527837058269,0.0883912938474375
AMZN,24.0,2020-04-30,2024-08-30,0.03593601587013214,0.0969126413537636,3.0,2020-04-30,2020-08-31,0.25771872914021937,0.5
AN,3.0,2021-09-30,2021-11-30,0.010585061119359166,0.0288,3.0,2023-04-28,2024-09-30,0.12334626227455954,0.2619117157250449
APH,15.0,2024-02-29,2026-02-27,0.027805870915219667,0.0558615889686453,5.0,2019-06-28,2020-10-30,0.06278413447831538,0.1161656622398927
APO,2.0,2024-11-29,2024-12-31,0.040136861738784,0.0431444211965391,,,,,
APP,6.0,2025-01-31,2025-12-31,0.03709783635140269,0.0547701611227734,1.0,2025-12-31,2025-12-31,0.1791788279441336,0.3123080769551418
ARES,1.0,2024-12-31,2024-12-31,0.0288219134869316,0.0288219134869316,,,,,
ATI,3.0,2025-06-30,2026-02-27,0.0249377121782538,0.0277388657120858,,,,,
ATO,2.0,2022-01-31,2022-02-28,0.01252677522507555,0.0218959696350593,6.0,2024-01-31,2026-02-27,0.07711736940387318,0.125
AVT,,,,,,3.0,2022-12-30,2023-02-28,0.06993858222181679,0.1016759984183062
AXON,6.0,2022-11-30,2025-06-30,0.023678954480936983,0.0384578885651776,1.0,2025-06-30,2025-06-30,0.2036387305223921,0.5
AXP,8.0,2019-07-31,2026-01-30,0.033918626604314876,0.0550634569965017,,,,,
AZO,12.0,2019-05-31,2025-04-30,0.026735121188784575,0.0687649977808791,7.0,2021-10-29,2022-04-29,0.06201747838146821,0.1189062068685858
BABA,8.0,2019-11-29,2020-10-30,0.050155660571116326,0.0642405168512553,,,,,
BAC,30.0,2019-10-31,2026-01-30,0.03228376959387368,0.08,,,,,
BC,,,,,,2.0,2021-01-29,2021-02-26,0.04485691731946227,0.058650489100454
BE,1.0,2026-02-27,2026-02-27,0.0270903619867533,0.0270903619867533,,,,,
BEN,,,,,,1.0,2024-12-31,2024-12-31,0.04491001310163146,0.0581662389439599
BJ,2.0,2025-03-31,2025-04-30,0.034832739337782054,0.0408427475855999,,,,,
BKNG,32.0,2019-08-30,2026-01-30,0.04133215580114948,0.12,24.0,2019-08-30,2026-02-27,0.30911380579428377,1.0
BLD,11.0,2021-10-29,2026-01-30,0.02209398518929234,0.0421146136900429,5.0,2023-02-28,2025-08-29,0.18929848130011304,0.5141011607276348
BLK,1.0,2024-12-31,2024-12-31,0.0239943151645646,0.0239943151645646,,,,,
BR,5.0,2023-08-31,2024-11-29,0.01485589701823008,0.0340725672505019,10.0,2023-10-31,2025-10-31,0.05425026322925152,0.125
BRO,3.0,2022-02-28,2025-03-31,0.0320054523216663,0.0413685342135967,,,,,
BSX,2.0,2024-04-30,2024-05-31,0.0162564354634042,0.0298438096634474,,,,,
BYD,,,,,,2.0,2023-04-28,2025-02-28,0.05635846963366236,0.0876315689579052
C,10.0,2024-12-31,2026-02-27,0.03669119948688388,0.08,,,,,
CARR,2.0,2023-07-31,2023-08-31,0.021185708685621953,0.0362201033956991,,,,,
CB,3.0,2022-04-29,2022-06-30,0.014551506286583268,0.0348643548337177,,,,,
CBOE,5.0,2023-10-31,2025-04-30,0.01923686510463844,0.0406049182704679,2.0,2019-07-31,2019-08-30,0.10276537783305903,0.1685538130142976
CBRE,5.0,2019-07-31,2020-11-30,0.02397934581953524,0.0421636128045025,5.0,2019-07-31,2020-10-30,0.17222016058263245,0.5
CCJ,2.0,2025-09-30,2025-10-31,0.04507548680046845,0.0549813438292173,,,,,
CDNS,2.0,2023-04-28,2023-05-31,0.01303360471881015,0.0247808916791178,,,,,
CEG,4.0,2024-09-30,2025-06-30,0.043993429554289254,0.1023006256919628,1.0,2024-10-31,2024-10-31,0.1313462683140325,0.2180608727992504
CHDN,,,,,,2.0,2022-09-30,2022-10-31,0.04315884009457897,0.0588821993916948
CHH,,,,,,1.0,2022-10-31,2022-10-31,0.06834357493598359,0.1018923801646668
CHPT,1.0,2020-11-30,2020-11-30,0.031549959162597,0.031549959162597,,,,,
CHRD,5.0,2022-10-31,2024-05-31,0.02345154181639702,0.0399185558864051,10.0,2022-10-31,2024-05-31,0.15386153069278727,0.5166138091717405
CHRW,3.0,2020-03-31,2022-08-31,0.016754134190069502,0.024515751002219,9.0,2020-02-28,2022-08-31,0.13864017981588608,0.5
CIB,1.0,2026-01-30,2026-01-30,0.0324485550143464,0.0324485550143464,,,,,
CLX,3.0,2020-09-30,2020-11-30,0.014342742800848332,0.04,3.0,2019-12-31,2020-02-28,0.04550051397403118,0.0649059767489122
CMG,3.0,2024-04-30,2024-06-28,0.09203577502813826,0.1252272982178139,3.0,2024-04-30,2024-06-28,0.4560581629608939,1.0
CMS,4.0,2019-05-31,2024-05-31,0.024812605880528724,0.035664665770309,8.0,2024-03-28,2025-10-31,0.13269746465762178,0.5
CNQ,2.0,2026-01-30,2026-02-27,0.03350146360110205,0.0414028498338467,,,,,
COO,4.0,2021-12-31,2022-03-31,0.0547944058618224,0.067050667959865,8.0,2020-12-31,2022-06-30,0.2741930599185774,1.0
COR,19.0,2021-12-31,2025-04-30,0.03360644427071255,0.08,4.0,2022-11-30,2023-02-28,0.10176490135550763,0.1666666666666666
COST,35.0,2019-10-31,2026-02-27,0.07679125757881096,0.18,,,,,
CP,3.0,2019-12-31,2020-02-28,0.018289574176898568,0.028708076985764,4.0,2019-11-29,2020-02-28,0.1004774125196248,0.25
CPAY,,,,,,3.0,2024-02-29,2024-04-30,0.06808664235652119,0.1074666729510365
CPRT,17.0,2019-11-29,2024-05-31,0.03948901551104322,0.1127886861299458,17.0,2019-10-31,2023-02-28,0.35818864572136516,1.0
CRH,1.0,2024-03-28,2024-03-28,0.0367170014105239,0.0367170014105239,,,,,
CRM,7.0,2020-08-31,2023-05-31,0.03342265112843283,0.0885813043102791,3.0,2023-05-31,2023-07-31,0.062156426656636315,0.0953785186509207
CROX,5.0,2021-06-30,2021-11-30,0.02069568631894212,0.0402407753034828,12.0,2021-07-30,2025-07-31,0.12960921339542011,0.2535425428807347
CRS,3.0,2024-11-29,2025-06-30,0.0355488842761619,0.04,4.0,2025-11-28,2026-02-27,0.05754226198217183,0.0870190404866479
CRUS,1.0,2021-01-29,2021-01-29,0.0276451314912416,0.0276451314912416,1.0,2025-10-31,2025-10-31,0.04809117987320224,0.0735920478041784
CRWD,7.0,2021-04-30,2025-06-30,0.031327761357463416,0.0518493879252502,,,,,
CSCO,25.0,2021-12-31,2026-02-27,0.06346493300129097,0.1176772613646535,,,,,
CSL,4.0,2022-04-29,2022-08-31,0.0126234317034884,0.0288,2.0,2021-03-31,2021-04-30,0.0515539502814987,0.0809476521545353
CSX,5.0,2019-05-31,2021-05-28,0.02451438063557946,0.0488901626561877,6.0,2019-09-30,2021-04-30,0.10888685908581354,0.1921380929923914
CTAS,19.0,2020-07-31,2024-11-29,0.0196349526337474,0.0435716978925728,16.0,2019-10-31,2024-01-31,0.19748313446991478,0.5209506631984181
CVS,,,,,,3.0,2021-05-28,2021-07-30,0.04999810687611995,0.0723012083342718
CW,8.0,2024-05-31,2026-02-27,0.011794808093101957,0.0280165044582616,,,,,
CXT,,,,,,5.0,2023-03-31,2023-07-31,0.0807980133241267,0.136628796947469
DAL,2.0,2024-04-30,2024-05-31,0.01820932698511575,0.0334870299626805,3.0,2024-02-29,2024-04-30,0.17418046902798173,0.2928470665708865
DECK,6.0,2023-07-31,2024-05-31,0.023357836316464417,0.0477570641117884,8.0,2023-07-31,2024-12-31,0.08928387493801593,0.1854001024832968
DG,7.0,2019-05-31,2020-11-30,0.020805114693948128,0.0382380644241253,,,,,
DGX,,,,,,5.0,2019-05-31,2021-08-31,0.053721822771726574,0.0859508026073228
DHR,15.0,2019-05-31,2023-09-29,0.05112505952969735,0.1073969397444261,,,,,
DINO,4.0,2023-09-29,2023-12-29,0.01437964406081785,0.0385588780349843,1.0,2023-10-31,2023-10-31,0.1547984263183447,0.25
DIS,10.0,2019-11-29,2025-06-30,0.05620661807937664,0.1052573874360991,,,,,
DKS,16.0,2021-08-31,2025-01-31,0.04271633163910544,0.0780753644447584,38.0,2022-09-30,2026-02-27,0.2535160526179826,1.0
DLTR,1.0,2020-11-30,2020-11-30,0.0267728796288755,0.0267728796288755,,,,,
DPZ,4.0,2020-02-28,2020-09-30,0.033147112700134054,0.0431420103386156,,,,,
DTM,13.0,2022-10-31,2024-12-31,0.008741979876081642,0.0339294589705233,7.0,2022-10-31,2024-06-28,0.11988423367865661,0.2469759734280161
DUK,5.0,2019-08-30,2020-02-28,0.029087451218912718,0.0474635647753879,8.0,2019-08-30,2021-08-31,0.15542658895629785,0.5
EBAY,7.0,2021-05-28,2025-08-29,0.02774838147479084,0.0490279839367643,5.0,2021-07-30,2025-04-30,0.060231472145847766,0.1022631018654218
EDU,1.0,2020-02-28,2020-02-28,0.0355108244717587,0.0355108244717587,5.0,2020-02-28,2021-02-26,0.22065812051795577,0.5000000000000001
EFX,,,,,,2.0,2024-08-30,2024-09-30,0.04822338090616761,0.0713202355815598
EG,2.0,2023-10-31,2023-11-30,0.016447686059088952,0.0262307181675006,,,,,
EHC,,,,,,3.0,2019-11-29,2020-01-31,0.03874944097376519,0.0555804025996306
ELS,3.0,2019-05-31,2019-08-30,0.02364298671388493,0.0288,8.0,2019-05-31,2021-04-30,0.13911183115436312,0.2803318489705885
ELV,6.0,2022-08-31,2023-02-28,0.01986738670518629,0.0702710981563171,6.0,2022-08-31,2023-04-28,0.07414271848629429,0.133613815734825
ENPH,6.0,2021-06-30,2022-11-30,0.026887021667020897,0.0666289361681234,3.0,2022-08-31,2022-10-31,0.10194043118840379,0.1554174498634583
EQIX,,,,,,2.0,2020-09-30,2020-10-30,0.03942121002617153,0.0555555555555555
EQT,4.0,2023-09-29,2025-06-30,0.018446741858144898,0.0333508859858655,,,,,
ETR,9.0,2022-05-31,2026-02-27,0.04239323501292105,0.08,16.0,2022-05-31,2026-02-27,0.2402816782762361,1.0
EXC,2.0,2022-05-31,2022-06-30,0.02838421459861685,0.0303456781011918,4.0,2021-08-31,2022-06-30,0.06548055633796537,0.1035602518253769
EXE,4.0,2022-05-31,2023-10-31,0.029605857128886626,0.0439624399518726,6.0,2023-08-31,2024-05-31,0.2820026113811873,1.0
EXP,9.0,2021-12-31,2024-11-29,0.045715719076041876,0.0774475947414544,18.0,2021-08-31,2024-11-29,0.1488769641942329,0.5
EXPD,1.0,2021-05-28,2021-05-28,0.0135130914252007,0.0135130914252007,,,,,
EXPE,8.0,2023-11-30,2026-01-30,0.04722143692010924,0.081362623832092,9.0,2021-09-30,2026-01-30,0.3318071476383342,1.0
EXR,,,,,,1.0,2019-06-28,2019-06-28,0.06948587288885978,0.1084360357554605
FANG,19.0,2022-05-31,2024-08-30,0.040497778610989084,0.087248159994571,11.0,2022-07-29,2025-10-31,0.21565262032600446,1.0
FAST,1.0,2024-03-28,2024-03-28,0.0317947289180579,0.0317947289180579,2.0,2020-02-28,2024-03-28,0.3573375132084782,0.5000000000000001
FCN,1.0,2022-06-30,2022-06-30,0.0367507939396863,0.0367507939396863,,,,,
FCX,4.0,2022-02-28,2022-05-31,0.0383417714114667,0.0760207851126264,,,,,
FDS,14.0,2019-05-31,2024-03-28,0.03255445322181843,0.0721023073049759,12.0,2019-05-31,2024-10-31,0.17059937127201,0.5000000000000001
FFIV,1.0,2021-01-29,2021-01-29,0.0285575042535506,0.0285575042535506,,,,,
FICO,13.0,2020-01-31,2024-11-29,0.02237694907872849,0.0426432374654627,6.0,2020-03-31,2024-11-29,0.0954117643063804,0.1721692725500944
FLEX,4.0,2023-05-31,2023-12-29,0.0263640797671865,0.0567806104068017,7.0,2022-11-30,2023-10-31,0.31781499344066866,0.5079840663178602
FSLR,6.0,2022-08-31,2025-12-31,0.0211088449718352,0.0435374924132327,1.0,2023-03-31,2023-03-31,0.06703878817081031,0.0833333333333333
FTAI,1.0,2024-11-29,2024-11-29,0.0332957668426202,0.0332957668426202,,,,,
FTI,1.0,2026-02-27,2026-02-27,0.0306183175286123,0.0306183175286123,,,,,
FTNT,17.0,2019-11-29,2025-04-30,0.03615162736484685,0.0757724126777431,11.0,2019-07-31,2022-03-31,0.2010739954867938,0.526898879473067
FUTU,3.0,2021-03-31,2025-10-31,0.024706791665032837,0.0320109389763155,,,,,
G,,,,,,1.0,2020-01-31,2020-01-31,0.04290740957641483,0.0580407369138162
GDDY,1.0,2024-08-30,2024-08-30,0.0338572447701694,0.0338572447701694,6.0,2021-12-31,2025-01-31,0.15052309974275552,0.2575318505124966
GEN,,,,,,4.0,2020-12-31,2023-01-31,0.06604334430261771,0.1348080179990678
GEV,3.0,2025-07-31,2026-02-27,0.03336105256176273,0.0601743221486923,,,,,
GGG,,,,,,4.0,2020-09-30,2024-03-28,0.0636843406631927,0.0903672145819644
GILD,7.0,2020-04-30,2025-04-30,0.012698116240353398,0.0394279560602855,1.0,2022-10-31,2022-10-31,0.04683734579012566,0.0639482370094425
GL,,,,,,4.0,2019-05-31,2019-08-30,0.06248169174623863,0.1051528102313362
GLPI,,,,,,5.0,2019-06-28,2025-10-31,0.057180473638578165,0.0868312440877794
GOOG,41.0,2020-01-31,2026-02-27,0.050034724675773974,0.1623148758009762,16.0,2020-01-31,2022-03-31,0.39756610114992846,1.0
GOOGL,33.0,2020-06-30,2026-01-30,0.05994777257030705,0.1478403770912199,17.0,2020-05-29,2025-10-31,0.36357829825331384,1.0
GRMN,1.0,2025-01-31,2025-01-31,0.0279868430745451,0.0279868430745451,3.0,2024-12-31,2025-02-28,0.05747010370800883,0.0900769286111576
GS,11.0,2024-07-31,2026-01-30,0.026415156868102353,0.0457895045061682,,,,,
GTLS,4.0,2022-10-31,2025-09-30,0.053307581903594095,0.0753885576583067,4.0,2025-08-29,2026-02-27,0.3517407691148565,1.0
HALO,7.0,2020-11-30,2025-03-31,0.03063676520498288,0.0576,9.0,2022-04-29,2025-04-30,0.07952493306727809,0.1719067036527454
HD,42.0,2019-05-31,2026-02-27,0.06995950244172235,0.1632045325333471,,,,,
HEI,2.0,2019-05-31,2019-06-28,0.025236649019384202,0.0287552961423055,5.0,2023-12-29,2025-12-31,0.05821883604902598,0.1038311896214291
HII,6.0,2023-10-31,2026-02-27,0.015955060115188182,0.0383766183410153,2.0,2023-09-29,2023-10-31,0.0678272271458878,0.1273298802421064
HIW,,,,,,1.0,2022-03-31,2022-03-31,0.04776130354473343,0.0667201102732658
HLI,1.0,2021-11-30,2021-11-30,0.0556247513210928,0.0556247513210928,5.0,2023-02-28,2025-09-30,0.09923010906074677,0.1702463301757513
HLT,,,,,,1.0,2020-10-30,2020-10-30,0.044261069790347864,0.0621017175556153
HPQ,1.0,2020-12-31,2020-12-31,0.0096076326119842,0.0096076326119842,1.0,2020-12-31,2020-12-31,0.2045348812864829,0.5
HUBB,7.0,2022-09-30,2023-08-31,0.008957756722776917,0.0214656402116408,1.0,2025-04-30,2025-04-30,0.0402285979234356,0.0555555555555555
HWM,3.0,2025-02-28,2025-04-30,0.023740268607532367,0.0363667051414675,,,,,
IDXX,3.0,2021-06-30,2021-08-31,0.03334839070152303,0.0459320129385538,6.0,2021-05-28,2021-10-29,0.06775707418218684,0.1009498351760344
IFF,2.0,2021-02-26,2021-03-31,0.0198503632541643,0.0288,,,,,
INSM,2.0,2025-08-29,2025-11-28,0.0256843608084245,0.0323405332500195,,,,,
INTU,8.0,2021-09-30,2024-05-31,0.053574853872668825,0.1120161375792488,2.0,2021-10-29,2024-12-31,0.09847048710608114,0.1666666666666666
ISRG,10.0,2021-12-31,2025-04-30,0.029173674872470252,0.12,,,,,
JBHT,,,,,,2.0,2024-02-29,2024-03-28,0.09190417491404844,0.1465184029840705
JBL,5.0,2022-11-30,2025-01-31,0.0378684386474231,0.0557656712287168,7.0,2022-10-31,2025-02-28,0.16538813380175912,0.5053257308425798
JCI,1.0,2021-01-29,2021-01-29,0.0211204018162467,0.0211204018162467,,,,,
JD,13.0,2019-12-31,2023-01-31,0.0440348732083177,0.0841200407787535,11.0,2019-12-31,2021-06-30,0.22289637572436588,1.0
JEF,,,,,,3.0,2019-11-29,2020-01-31,0.042317586492282296,0.0555579282885964
JKHY,1.0,2019-11-29,2019-11-29,0.0388238644509363,0.0388238644509363,7.0,2019-08-30,2020-02-28,0.08388033289593118,0.1417357536245206
JLL,,,,,,1.0,2020-12-31,2020-12-31,0.055281923470023635,0.0892819700491364
JNJ,2.0,2021-04-30,2021-05-28,0.045815444491458454,0.0723771975241171,,,,,
JPM,2.0,2019-10-31,2019-11-29,0.012240489122692102,0.0237523674811387,,,,,
KEYS,,,,,,2.0,2020-06-30,2020-12-31,0.14632966713159104,0.316398120119273
KNSL,,,,,,1.0,2020-11-30,2020-11-30,0.11639719318174552,0.1666666666666666
KO,23.0,2019-05-31,2026-02-27,0.056405190088544235,0.1199999999999999,,,,,
LAD,1.0,2021-01-29,2021-01-29,0.0285683469772717,0.0285683469772717,2.0,2022-07-29,2022-08-31,0.048043253175979274,0.0651413499526982
LEA,2.0,2020-10-30,2020-11-30,0.0190637024584078,0.0272061433912255,1.0,2020-10-30,2020-10-30,0.06657443998380706,0.0956171063207828
LHX,1.0,2019-09-30,2019-09-30,0.0245013959251639,0.0245013959251639,,,,,
LI,3.0,2022-06-30,2025-05-30,0.03442767650144657,0.04,4.0,2022-07-29,2025-07-31,0.1876496845250809,0.5
LIN,1.0,2023-02-28,2023-02-28,0.0809065408683078,0.0809065408683078,,,,,
LNG,7.0,2021-11-30,2022-11-30,0.029175404710407072,0.0467235851228762,3.0,2022-01-31,2022-11-30,0.22368848542257658,0.5
LOW,4.0,2021-03-31,2022-05-31,0.04966589234189575,0.082726093564496,,,,,
LPX,5.0,2019-10-31,2023-07-31,0.024419792875976738,0.0448064381193364,9.0,2019-06-28,2023-07-31,0.1501400509545463,0.5046445864151616
LSCC,4.0,2021-08-31,2023-02-28,0.028169472469675775,0.0367798663185276,1.0,2021-10-29,2021-10-29,0.0640190362783069,0.0845030562251806
LUV,,,,,,1.0,2026-02-27,2026-02-27,0.06102947317293026,0.0870077003726122
LYB,2.0,2022-04-29,2022-05-31,0.02128379221034115,0.0349300337548175,3.0,2022-02-28,2022-04-29,0.06462323524410349,0.1023482802949854
LYV,2.0,2025-02-28,2025-06-30,0.02698648819605,0.0327923718097463,,,,,
MAS,,,,,,3.0,2023-02-28,2023-04-28,0.061543331793988104,0.0833333333333333
MCHP,1.0,2019-12-31,2019-12-31,0.0210714449679986,0.0210714449679986,1.0,2019-12-31,2019-12-31,0.11620881741211066,0.1666666666666666
MCK,18.0,2022-08-31,2025-01-31,0.036956014999041206,0.0997341346861295,2.0,2023-12-29,2024-12-31,0.03684636071643105,0.0594155788004789
MCO,4.0,2021-02-26,2021-08-31,0.051187641539019724,0.0737216364528468,7.0,2021-02-26,2021-10-29,0.0835359857491376,0.1565008902470271
MDT,8.0,2019-06-28,2020-01-31,0.05310167854741399,0.0732564238381104,,,,,
MEDP,6.0,2020-02-28,2022-11-30,0.017127398653731207,0.04,,,,,
MELI,19.0,2020-02-28,2025-10-31,0.04601905179284321,0.083894594194736,12.0,2020-02-28,2025-10-31,0.16647470077563056,1.0
MKC,1.0,2022-04-29,2022-04-29,0.0288,0.0288,,,,,
MLI,4.0,2023-02-28,2026-01-30,0.0303532878663034,0.061025848627467,6.0,2023-02-28,2024-04-30,0.14504471471496078,0.25
MLM,4.0,2019-09-30,2024-05-31,0.012943724210815175,0.0296068366099371,5.0,2019-09-30,2025-10-31,0.06480637247096584,0.1052847655189354
MNST,2.0,2020-07-31,2020-08-31,0.046598100331136205,0.0580143339421849,4.0,2020-05-29,2020-08-31,0.09299217055759636,0.177795201496838
MORN,1.0,2021-04-30,2021-04-30,0.025707164658814,0.025707164658814,,,,,
MP,,,,,,1.0,2023-02-28,2023-02-28,0.04429901781921136,0.0563332530966996
MPWR,7.0,2023-12-29,2024-08-30,0.010811152008116623,0.0331993039110235,,,,,
MRK,2.0,2024-04-30,2024-05-31,0.01747225540110585,0.0322632018651374,,,,,
MRSH,,,,,,3.0,2022-02-28,2022-04-29,0.05791481396877365,0.089355586616181
MS,9.0,2020-12-31,2025-01-31,0.041321561009985054,0.0650645220947674,,,,,
MSCI,5.0,2019-11-29,2020-12-31,0.027370672223256443,0.0320745877674446,,,,,
MSFT,41.0,2019-11-29,2025-12-31,0.07332931095627601,0.1728685189934609,,,,,
MTD,,,,,,2.0,2020-03-31,2020-04-30,0.1050478377243454,0.1666666666666666
MTDR,2.0,2022-02-28,2022-05-31,0.0359005199801749,0.0369608018977756,2.0,2026-01-30,2026-02-27,0.0478468068517,0.0624609142030765
NDAQ,6.0,2021-03-31,2026-01-30,0.031887709692689135,0.0512080208712692,3.0,2021-02-26,2021-04-30,0.05734311275399959,0.106361471673237
NEE,5.0,2019-07-31,2022-08-31,0.04256685792352418,0.0641064995126662,,,,,
NEU,1.0,2025-08-29,2025-08-29,0.0363595032280788,0.0363595032280788,,,,,
NFG,2.0,2022-04-29,2022-05-31,0.0350299117959147,0.0412598235918294,14.0,2021-11-30,2026-02-27,0.10157347295292678,0.5
NI,1.0,2022-03-31,2022-03-31,0.04,0.04,,,,,
NOC,9.0,2022-03-31,2026-02-27,0.015457918123160793,0.0343359175332187,5.0,2022-03-31,2022-10-31,0.0724980762377799,0.1483323572848627
NOW,42.0,2019-05-31,2024-12-31,0.046842222585047506,0.1391122782909379,30.0,2019-08-30,2024-02-29,0.24874849543204233,1.0
NRG,11.0,2024-05-31,2025-07-31,0.025395271912343434,0.04,15.0,2020-03-31,2025-10-31,0.13725779137827457,0.5
NTAP,3.0,2024-06-28,2024-08-30,0.006801088163031499,0.0173662761364864,3.0,2020-11-30,2021-01-29,0.07011569864007401,0.1045442185663653
NTLA,1.0,2021-06-30,2021-06-30,0.0258192640256086,0.0258192640256086,,,,,
NUE,1.0,2022-02-28,2022-02-28,0.0301438902230788,0.0301438902230788,,,,,
NXST,1.0,2022-02-28,2022-02-28,0.0266758169012665,0.0266758169012665,,,,,
NXT,1.0,2025-10-31,2025-10-31,0.0288208065633537,0.0288208065633537,1.0,2025-01-31,2025-01-31,0.0724093820671327,0.0955896596974738
O,2.0,2019-10-31,2019-11-29,0.01160525372116945,0.0225906023990467,,,,,
OC,4.0,2023-06-30,2023-09-29,0.04187985987402853,0.0619040783811505,,,,,
ODFL,6.0,2021-03-31,2023-08-31,0.03418349320271637,0.0613970922303465,1.0,2023-06-30,2023-06-30,0.16016650368245586,0.25
OGE,1.0,2022-08-31,2022-08-31,0.0145871780246586,0.0145871780246586,8.0,2022-11-30,2024-01-31,0.08356044980944431,0.25
OKE,1.0,2022-03-31,2022-03-31,0.0189218803757204,0.0189218803757204,,,,,
ON,7.0,2022-07-29,2023-07-31,0.03284672168600008,0.0788990740352877,1.0,2019-07-31,2019-07-31,0.04709338457113366,0.0705986618979727
ORCL,35.0,2019-06-28,2025-07-31,0.07365168685119126,0.1309622389747723,,,,,
ORLY,42.0,2019-05-31,2025-09-30,0.04274836626456949,0.0841123210248771,57.0,2019-05-31,2025-08-29,0.2978478475151414,1.0
P,1.0,2025-10-31,2025-10-31,0.0278873488439983,0.0278873488439983,,,,,
PANW,20.0,2019-11-29,2025-04-30,0.040069580495240974,0.1385776436503715,14.0,2019-11-29,2024-10-31,0.27316199535173935,1.0
PBA,,,,,,2.0,2026-01-30,2026-02-27,0.2535477202139668,0.5014636207016714
PDD,8.0,2020-06-30,2025-10-31,0.04869481388807755,0.0775432424731166,,,,,
PEG,5.0,2019-05-31,2024-11-29,0.013680188503653521,0.0434849839167636,16.0,2019-05-31,2026-02-27,0.28200134547268413,1.0
PEN,2.0,2026-01-30,2026-02-27,0.01698024214065705,0.0324485550143464,,,,,
PEP,18.0,2021-04-30,2023-08-31,0.05153300858572578,0.12,,,,,
PFGC,3.0,2024-10-31,2024-12-31,0.0138433137160094,0.0340404368606786,10.0,2019-11-29,2025-02-28,0.1363778428453025,0.5000000000000001
PG,42.0,2019-08-30,2026-02-27,0.05808152956586115,0.1764019253172336,,,,,
PGR,3.0,2023-10-31,2023-12-29,0.011332774966463835,0.0266928464251793,,,,,
PH,2.0,2026-01-30,2026-02-27,0.01218315046086195,0.0231537608380216,2.0,2026-01-30,2026-02-27,0.06275344685732279,0.0833333333333333
PLD,5.0,2020-01-31,2022-04-29,0.02237761569015828,0.0361034571459761,1.0,2022-04-29,2022-04-29,0.05082457695877743,0.0759099305153978
PLTR,14.0,2024-07-31,2025-12-31,0.09858371789900504,0.1921016660735072,,,,,
PODD,2.0,2020-02-28,2023-03-31,0.030079950354530552,0.0304616474844785,1.0,2025-08-29,2025-08-29,0.05504820717629483,0.0804109481880804
