rebalance_date,policy,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,monster_count,winner_count,scout_count,equity,drawdown
2021-01-29,concentrated,0.08131307490657455,0.0008524193548387097,0.17048387096774195,0.08046065555173584,0.0,8,"MELI,PWR,MLM,ALGN,ROKU,LRCX,MU,HPQ",0,3,0,1.3461561021143977,0.0
2021-02-26,concentrated,-0.020268059270838745,0.002419354838709678,0.48387096774193555,-0.022687414109548422,0.0,7,"MLM,LRCX,MU,HPQ,AMAT,INTC,FTNT",1,3,3,1.3156153011696328,-0.022687414109548443
2021-03-31,concentrated,0.020816922354381873,0.0006405079506530394,0.12810159013060787,0.020176414403728832,1.1102230246251565e-16,8,"MLM,LRCX,MU,HPQ,AMAT,INTC,FTNT,ASML",4,0,1,1.342159700681918,-0.0029687503746428368
2021-04-30,concentrated,-0.011285023071324615,0.0006126259632483697,0.12252519264967394,-0.011897649034572985,0.0,8,"MLM,LRCX,MU,HPQ,AMAT,INTC,FTNT,ASML",4,2,0,1.326191155614857,-0.014831078259187058
2021-05-28,concentrated,0.015075741012565612,0.001107142857142857,0.22142857142857142,0.013968598155422755,0.0,8,"MLM,LRCX,HPQ,AMAT,FTNT,ASML,NEM,TRU",4,2,2,1.3447161869449165,-0.0010696494761786024
2021-06-30,concentrated,0.0639214733395629,0.0009398496240601506,0.18796992481203012,0.06298162371550274,0.0,8,"MLM,LRCX,AMAT,FTNT,ASML,NEM,TRU,NVDA",4,1,2,1.429408595835227,0.0
2021-07-30,concentrated,0.05067430000425823,0.0004841758241758244,0.09683516483516488,0.05019012418008241,1.1102230246251565e-16,8,"MLM,LRCX,AMAT,FTNT,ASML,TRU,NVDA,DXCM",4,2,1,1.5011507907642743,0.0
2021-08-31,concentrated,-0.08165123235045231,0.0007859936673495994,0.1571987334699199,-0.08243722601780192,0.0,8,"MLM,LRCX,FTNT,ASML,TRU,NVDA,DXCM,DOCU",5,1,1,1.3774000837392377,-0.0824372260178019
2021-09-30,concentrated,0.12084148746012643,0.000847457627118644,0.1694915254237288,0.11999402983300779,0.0,8,"MLM,FTNT,ASML,TRU,NVDA,DXCM,DOCU,PAYC",4,2,2,1.5426798704794311,0.0
2021-10-29,concentrated,0.04525135570850135,0.0018796992481203009,0.3759398496240602,0.04337165646038105,0.0,8,"MLM,FTNT,NVDA,DXCM,DOCU,PAYC,DDOG,SNOW",4,0,2,1.6095884518502102,0.0
2021-11-30,concentrated,-0.015666548910160567,0.00050125313283208,0.10025062656641599,-0.016167802042992646,1.1102230246251565e-16,8,"MLM,FTNT,NVDA,DXCM,DOCU,PAYC,DDOG,SNOW",4,0,1,1.583564944390009,-0.01616780204299262
2021-12-31,concentrated,-0.13397019317696612,0.0028095238095238095,0.5619047619047619,-0.13677971698648994,0.0,7,"MLM,NVDA,DDOG,SNOW,QCOM,TER,AVGO",2,0,4,1.366965379466617,-0.1507360916417484
