ticker,Name,sector,portfolio_sleeve_label,portfolio_candidate_gate_label,governance_catalyst_score,governance_catalyst_label,event_regime_label,live_event_alert_label,portfolio_monster_early_score,rs_acceleration_score,market_cap_live,ownership_flow_pillar_score,insider_cluster_boost_score,event_revision_pillar_score,selection_flow_confirmation_score,event_reaction_score,live_event_growth_reentry_score,live_event_defensive_score,live_event_risk_score,focus_live_event_growth_score,focus_event_stress_penalty
AMD,ADVANCED MICRO DEVICES INC,Information Technology,core_compounder,core_strict,0.4999744827077501,growth_reentry,balanced,growth_reentry_alert,0.0,0.0,742233108847.3687,0.0666666666666666,0.0,0.2425000503991367,0.2,2.4221880554737463,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3642480526780305,0.0
LYV,LIVE NATION ENTERTAINMENT INC,Communication,future_winner,future_relaxed,0.497131716972477,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.1093588439657458,38460124485.66696,0.0666666666666666,0.0,1.0055459807151306,0.2,1.3858417101506006,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1583690020883033,0.0
SOLV,SOLVENTUM CORP,Health Care,unassigned,rejected,0.49564624244954425,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.1966906246011196,12707559890.921448,0.0666666666666666,0.0,1.1294580093052315,0.2,1.2113045560004,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0557402688724032,0.0003492284736916
CART,MAPLEBEAR INC,Consumer Staples,unassigned,rejected,0.49030586710133917,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,2.1117649844761543,9483452636.272964,0.0666666666666666,0.0,1.0375453048873071,0.2,1.2976702787801129,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0701544980224069,0.0
R,RYDER SYSTEM INC,Industrials,early_scout,early_relaxed,0.4886251288454398,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.7522757805671277,9252570020.904877,0.0666666666666666,0.0,0.9809543982893524,0.2,1.3619198992047237,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2012018470017594,0.0
HXL,HEXCEL CORP,Industrials,early_scout,early_relaxed,0.48842158974630645,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.1973338018163011,7189719155.86145,0.0666666666666666,0.0,0.6987006824686226,0.2,1.7369012596381412,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1615232510863942,0.0
ZTO,ZTO Express,Industrials,future_winner,adr_global_alpha_fallback,0.4875198275415662,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.0049773445847608,19213010944.0,0.0666666666666666,0.0,1.7594719955271074,0.2,0.316527760861893,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.228056575015964,0.0
EMR,EMERSON ELECTRIC,Industrials,unassigned,rejected,0.4864636245792342,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.0082581326487832,79147729632.56836,0.0666666666666666,0.0,1.0043416941799008,0.2,1.3163268095759553,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1039344022340498,0.0
GOOG,ALPHABET INC CLASS C,Communication,core_compounder,core_strict,0.4485674525979845,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-2.378941601356532,4810657652099.609,0.0666666666666666,0.0,0.6638623329385575,0.2,1.5176581446894146,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2360566551510457,0.0
INTU,INTUIT INC,Information Technology,core_compounder,core_strict,0.4477567088638268,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.919266024588664,110621613308.53271,0.0666666666666666,0.0,1.007275611399921,0.2,1.062673875371439,0.7164084448521353,0.0653792703096163,0.0139783207134109,-0.0461484418799899,0.0049830361149363
UDR,UDR REIT INC,Real Estate,early_scout,early_relaxed,0.4473774159323132,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.8245761131250133,11992636702.651806,0.0666666666666666,0.0,1.4524680911546586,0.2,0.4595245615002107,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1260679535385156,0.0007646033220435
GOOGL,ALPHABET INC CLASS A,Communication,core_compounder,core_strict,0.4446893911177435,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-2.430474936270365,4856092652099.609,0.0666666666666666,0.0,0.6460680200226144,0.2,1.5155301520423992,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2407672025486176,0.0
ON,ON SEMICONDUCTOR CORP,Information Technology,early_scout,early_relaxed,0.4417533717719231,growth_reentry,balanced,growth_reentry_alert,0.0,0.0134554378177647,40444408115.206375,0.0666666666666666,0.0,-0.464035635191874,0.0,2.976094896689581,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2706509194625047,0.0
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,future_winner,future_relaxed,0.4414779977812482,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.9843626988213896,35192668735.19173,0.0666666666666666,0.0,1.3463375123002492,0.2,0.5625716896647307,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0322882744364441,0.0012860897414883
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,future_winner,future_relaxed,0.4387993024950826,growth_reentry,balanced,growth_reentry_alert,0.0,2.27910079260755,133049998602.59766,0.0666666666666666,0.0,0.2217467001494747,0.0,2.042024654388846,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.068310732133246,0.0
CACC,CREDIT ACCEPTANCE CORP,Financials,early_scout,early_relaxed,0.4366944390366095,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.6424166708774978,5576787109.022827,0.0666666666666666,0.0,0.7342410942618967,0.2,1.344666372515796,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0585563924649263,0.0
