date,base_equity_usd,overlay_equity_usd,base_cash_weight,overlay_cash_weight,crisis_state,policy_cash_floor,equity_drawdown_cash_floor,target_cash_weight_next,cash_action,turnover_from_cash_action,cash_action_cost_usd,base_equity_usd_peak,overlay_equity_usd_peak,base_drawdown,overlay_drawdown
2021-09-02,250482.6230397391,147846.2951134057,0.1485003278447465,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,252998.5945324683,163910.20756966504,-0.009944606599015415,-0.09800434453987172
2021-09-03,255853.741753118,149894.03975982039,0.1453828714246662,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,0.0,-0.08551125654506608
2021-09-07,251972.0477070975,148430.49843532877,0.1476225318613608,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.01517153518812353,-0.09444017772814484
2021-09-08,250760.07038165804,147969.82199352572,0.1483360232919048,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.019908527960380673,-0.09725071923519069
2021-09-09,253181.06507159944,148892.39982892608,0.1469175889211703,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.010446111372869882,-0.09162216291109326
2021-09-10,248349.4013142752,147060.46629490235,0.1497758860861616,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.029330587027662114,-0.10279860860771117
2021-09-13,243536.5009694266,145216.85669056448,0.1527358383353096,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.048141726203780655,-0.11404628885699819
2021-09-14,246485.03432513948,146358.1647077372,0.1509087630519057,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.036617433709524194,-0.10708328128050171
2021-09-15,247434.77152301543,146723.45503980512,0.1503295248758253,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.032905402017635255,-0.10485468101524564
2021-09-16,252245.79329730745,148570.12081208194,0.1474623269414514,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.014101605202600398,-0.09358835538697774
