rebalance_date,target_n,single_name_cap,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,equity,drawdown
2021-06-30,3,0.5,0.06637165955446106,0.004077374836745479,0.8154749673490959,0.06229428471771558,0.0,3,"AAPL,NOW,HD",1.187137330407876,0.0
2021-07-30,3,0.5,0.03457138483037393,0.003422625163254521,0.6845250326509041,0.031148759667119413,0.0,3,"NOW,TWLO,AVGO",1.2241151858046166,0.0
2021-08-31,3,0.5,-0.0007364016104790768,0.005,1.0,-0.005736401610479077,0.0,3,"TSLA,PYPL,HD",1.2170931694813552,-0.005736401610479058
2021-09-30,3,0.5,0.265037673621206,0.0025,0.5,0.262537673621206,0.0,3,"TSLA,LOW,MTCH",1.5366259787772503,0.0
2021-10-29,3,0.5,-0.003808918374343672,0.005,1.0,-0.008808918374343673,0.0,3,"DOCU,AAPL,ABT",1.5230899659583055,-0.008808918374343722
2021-11-30,3,0.5,0.04422626494491174,0.005,1.0,0.03922626494491174,0.0,3,"MU,ADI,PG",1.5828350964979225,0.0
2021-12-31,3,0.5,-0.14457120586877703,0.005,1.0,-0.14957120586877704,0.0,3,"DG,SBUX,BIO",1.3460885424233062,-0.14957120586877704
2022-01-31,3,0.5,-0.08461700690815696,0.005,1.0,-0.08961700690815697,0.0,3,"MA,V,SJM",1.2254561162179658,-0.2257840889873305
2022-02-28,3,0.5,-0.001030356704626612,0.005,1.0,-0.006030356704626612,0.0,3,"LAD,KO,UNP",1.2180661787113052,-0.2304528870971343
2022-03-31,3,0.5,-0.1332256148292642,0.005,1.0,-0.1382256148292642,0.0,3,"FCX,AM,URI",1.0496982322562025,-0.33682400991821815
2022-04-29,3,0.5,-0.02268192757323062,0.005,1.0,-0.02768192757323062,0.0,3,"KO,DG,AN",1.0206405618171381,-0.35518199964396746
2022-05-31,3,0.5,-0.2002037601168369,0.004487292481816149,0.8974584963632298,-0.20469105259865306,0.0,3,"DAR,VLO,AN",0.8117245708939075,-0.4871704748714024
2022-06-30,3,0.5,0.1254976434702994,0.005,1.0,0.1204976434702994,0.0,3,"VICI,AMGN,ENPH",0.9095354688335633,-0.4253757255914138
