rebalance_date,portfolio_kind,variant_id,avg_name_overlap,monthly_turnover_proxy,median_holding_months,leader_exit_count,warning_hold_count,shakeout_guard_count,benchmark_risk_score,gross_exposure_cap,market_regime,residual_cash_reason
2019-08-30,main,main_N15_cap15_sub50_theme60_risk,0.8666666666666667,0.20682245566028576,3.0,0,2,1,1.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N15_cap15_sub50_theme70,0.8666666666666667,0.181924285718558,3.0,0,2,1,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N15_cap15_sub50_theme70_risk,0.8666666666666667,0.181924285718558,3.0,0,2,1,1.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap12_sub40_theme60,0.8333333333333334,0.23071270854079184,3.0,0,3,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap12_sub40_theme60_risk,0.8333333333333334,0.23071270854079184,3.0,0,3,2,1.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap12_sub40_theme70,0.8333333333333334,0.23997087908498627,3.0,0,3,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap12_sub40_theme70_risk,0.8333333333333334,0.23997087908498627,3.0,0,3,2,1.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap12_sub50_theme60,0.8333333333333334,0.23071270854079184,3.0,0,3,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap12_sub50_theme60_risk,0.8333333333333334,0.23071270854079184,3.0,0,3,2,1.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap12_sub50_theme70,0.8333333333333334,0.23997087908498627,3.0,0,3,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap12_sub50_theme70_risk,0.8333333333333334,0.23997087908498627,3.0,0,3,2,1.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap15_sub40_theme60,0.8333333333333334,0.2353987456030491,3.0,0,3,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap15_sub40_theme60_risk,0.8333333333333334,0.2353987456030491,3.0,0,3,2,1.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap15_sub40_theme70,0.8333333333333334,0.23997087908498627,3.0,0,3,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-08-30,main,main_N18_cap15_sub40_theme70_risk,0.8333333333333334,0.23997087908498627,3.0,0,3,2,1.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
