date,equity_usd,portfolio_return,spy_return,qqq_minus_spy,semis_minus_qqq,cash_weight
2021-01-07,214399.2728228807,0.05046929613824025,0.014857552507073324,0.009334573236938981,0.017067423099961454,0.0266993233062067
2021-01-08,218473.46372559067,0.01900282052764113,0.005697952347141211,0.007160033506315333,-0.016448519807537254,0.0262014223791665
2021-01-11,210176.3012805223,-0.037977895821205254,-0.006741064139717978,-0.007709209876703316,0.02942818099427702,0.0272357799944032
2021-01-12,213797.515712285,0.017229413638455204,0.0002111576830630124,-0.001801340231092463,0.006252473213297471,0.0267744715491322
2021-01-13,211666.27065613263,-0.00996852114512159,0.0026931888821053462,0.004060228725347281,-0.012160439705900306,0.0270440608414804
2021-01-14,213917.31129028797,0.010634857538602827,-0.0035020049904522788,-0.0018453578974424456,0.030217913410267028,0.0267594776092981
2021-01-15,205855.7736621141,-0.03768529802262832,-0.00729288371767467,-0.0006284458861436359,-0.011542375263733584,0.0278074080696393
2021-01-19,214872.91410400864,0.043803194253346556,0.007851918504929278,0.006737943740350305,0.019743078329942598,0.0266404703709788
2021-01-20,214745.07813599103,-0.0005949375636787879,0.013838758105216176,0.009422320828623487,-0.027420589802718554,0.0266563292225431
2021-01-21,217829.03966858384,0.014361034764390768,0.000911697292869551,0.007087841344904033,0.007467109402526484,0.0262789365018685
2021-01-22,216838.0343890428,-0.004549463565779899,-0.0035393708064648255,0.0006592516653176617,-0.015934820320686383,0.026399037963254
2021-01-25,220107.42235901352,0.015077557676550946,0.003943712798340826,0.00432237571624694,-0.004322901478214902,0.0260069171696395
2021-01-26,212894.06759216785,-0.032771974200307086,-0.0015607545556565183,0.0030236504619375326,-0.018744188035505593,0.0268880930617548
2021-01-27,205895.1397204637,-0.032875166278055756,-0.024440432696708925,-0.0034364522683306697,-0.02096619571596592,0.027802091440747
2021-01-28,209080.36176636216,0.015470117702743869,0.008600179898632154,-0.0026832318633072116,0.015003916981454868,0.0273785421708347
2021-01-29,201530.27656128403,-0.03611092472431732,-0.020019418719534277,-0.0010188532358811342,0.0027988617779221014,0.028404245751
2021-02-01,210322.0846122789,0.043625246791746175,0.016645319567933026,0.008342037905852084,0.014199014040890079,0.4557290768064731
2021-02-02,213213.72903671736,0.013748648553807863,0.014140044850566635,0.0021742716179142807,-0.0026407147986200474,0.4495483939303953
2021-02-03,214426.7931999254,0.0056894280152059995,0.0007864443524294717,-0.004753860953850109,-0.014842074157910057,0.4470051900790173
2021-02-04,215655.7568992662,0.005731390564587491,0.011365648268432116,0.0004609099511359016,-0.0002561504725253627,0.4444578286734015
2021-02-05,216323.6833824205,0.0030971882817218965,0.0039357832542281646,-0.0005440254554640589,-0.010651337608541867,0.4430855094258071
2021-02-08,217529.2626518297,0.005573034124414011,0.007222310759673833,-0.0005228259328862173,0.02671749844396043,0.4406298641566263
2021-02-09,218964.9140495348,0.006599808137091712,-0.0006659743495934789,0.00045595274143772624,-0.002752030967080543,0.4377408584769129
2021-02-10,217607.96850815293,-0.006197091197336246,-0.0004357446728234793,-0.0018428783874083754,0.0048368318325979764,0.4404704942998246
2021-02-11,217772.8385337877,0.0007576470051398054,0.0016152498594628195,0.003884292712738713,0.031542066016639225,0.4401370258003758
2021-02-12,218809.08157577988,0.004758366787010582,0.004939719074559923,0.0006495455020323337,0.004689724427409114,0.4380526108061526
2021-02-16,216436.06501999372,-0.010845146548290385,-0.0008660171231322789,-0.0018387275367494071,0.008832950915945381,0.4428554429850332
2021-02-17,214984.84720077988,-0.006705064699267127,0.00022930053701730735,-0.005027451806921324,-0.014567637284035762,0.4458448616280854
2021-02-18,212285.15779343125,-0.012557579952727216,-0.004256038405777596,-0.00011612956928008789,-0.006258492857471043,0.4515147947631631
2021-02-19,214463.55473556992,0.01026165448767924,-0.001765865111559184,-0.002595669999541861,0.025971933913846668,0.4469285682154628
2021-02-22,204913.7132591295,-0.044528971312702614,-0.007691769040309437,-0.018228429147735592,-0.010635292327824453,0.4677573205223073
2021-02-23,201870.602907567,-0.014850691557739992,0.0012145940484975526,-0.004191152757580641,-0.006631861763092162,0.474808555935481
2021-02-24,203824.9187645006,0.00968103244744567,0.011019185846208313,-0.0027761801579859746,0.023916620248947362,0.4702559924143122
2021-02-25,197202.8217338609,-0.03248914348049292,-0.024095623444391312,-0.01076711444596612,-0.02089283099592565,0.4860472513001003
2021-02-26,199362.7940544176,0.010953049766558198,-0.005152777683457566,0.00934063594427903,0.01644058626101441,0.4807812305550044
2021-03-01,204814.0322037172,0.027343307336531453,0.024240113222086634,0.005841705950215603,7.467247114423259e-06,0.5800530302765793
2021-03-02,202528.68529133315,-0.011158155951497162,-0.007803071116826099,-0.00823575235443108,-0.014702428669738588,0.5865983865546527
2021-03-03,202044.44336323257,-0.0023909794674468188,-0.013245762876152867,-0.01577417739904563,-0.0024885587278220545,0.5880042927453776
2021-03-04,199597.8190079164,-0.012109337503123818,-0.012374905861652352,-0.003992301832808187,-0.03217572931610169,0.5952119147064383
2021-03-05,202010.18148045056,0.012086116394079749,0.018396834102187398,-0.003336199241146698,0.01701262826817862,0.5881040210561276
2021-03-08,201619.87963871477,-0.0019320899514837508,-0.0049788802813860444,-0.023334919077139138,-0.02662729072951764,0.5892424905511088
2021-03-09,202285.1305733156,0.0032995304619409804,0.01427746343586933,0.025163938562098975,0.019803676955879146,0.5873046609319239
2021-03-10,202104.13577274795,-0.0008947508897697576,0.006224505976632599,-0.009079430696525725,-0.017448085420522452,0.5878306229048017
2021-03-11,204138.5854721498,0.010066343727322069,0.010139335614396394,0.012891957421846456,0.01899565645802137,0.5819722897959391
2021-03-12,204855.130668683,0.0035100919058290714,0.0013467822252473116,-0.009458765934749258,-0.004376787830560169,0.5799366588239078
2021-03-15,206341.9023132753,0.007257673458014979,0.005963627070928679,0.004718922200052766,0.010886167660595802,0.5757579953031561
2021-03-16,207047.0944900941,0.0034175907506570624,-0.0012614669961598102,0.006750568442074445,0.005449105402907772,0.5737969920105062
2021-03-17,207924.48607639785,0.004237642592689106,0.0034099722741036675,0.0007075838450569805,0.005276471211604905,0.5713757059824074
2021-03-18,206821.4497833681,-0.005304985063781631,-0.014549752399560023,-0.016080860077702486,-0.009420976445349893,0.5744230114785939
2021-03-19,207897.5882645082,0.005203224724840139,-0.0018503360240442746,0.0053757431834957625,0.007857500088531477,0.5714496306314912
2021-03-22,206602.44747166152,-0.006229705710673605,0.007985156413618633,0.01076798964030723,0.005082837430660625,0.575031910206323
2021-03-23,201984.48105625625,-0.022351944383614764,-0.007870831778514553,0.0035079034139232634,-0.020673700841358555,0.5881788511754144
2021-03-24,198052.415195508,-0.01946716817146521,-0.0050835489080583995,-0.011781626542842982,-0.00028304909915566334,0.5998563557311551
2021-03-25,198350.3472443056,0.001504309091628686,0.005625437941941591,-0.007356879297545915,0.005395447580861634,0.5989553417650584
