rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,shadow_drawdown_state,shadow_drawdown_multiplier,shadow_drawdown,shadow_source_rebalance_date,shadow_drawdown_target_book
2024-09-30,PEG,0.33,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,future_winner,normal,1.0,-0.07195971798716305,2024-09-30,True
2024-10-31,KIM,0.33,KIMCO REALTY REIT CORP,Real Estate,early_scout,normal,1.0,-0.08429240808628213,2024-10-31,True
2024-10-31,PANW,0.33,PALO ALTO NETWORKS INC,Information Technology,future_winner,normal,1.0,-0.08429240808628213,2024-10-31,True
2024-11-29,AEE,0.33,AMEREN CORP,Utilities,early_scout,normal,1.0,-0.05615870947186308,2024-11-29,True
2024-11-29,APO,0.33,APOLLO GLOBAL MANAGEMENT INC,Financials,future_winner,normal,1.0,-0.05615870947186308,2024-11-29,True
2024-12-31,BR,0.33,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,future_winner,normal,1.0,-0.08493284358484166,2024-12-31,True
2024-12-31,TPR,0.33,TAPESTRY INC,Consumer Discretionary,future_winner,normal,1.0,-0.08493284358484166,2024-12-31,True
2025-01-31,GRMN,0.33,GARMIN LTD,Consumer Discretionary,future_winner,normal,1.0,-0.03846254597545262,2025-01-31,True
2025-01-31,TPR,0.33,TAPESTRY INC,Consumer Discretionary,future_winner,normal,1.0,-0.03846254597545262,2025-01-31,True
2025-02-28,ORLY,0.33,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,normal,1.0,-0.033255346558478616,2025-02-28,True
2025-02-28,WH,0.33,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,early_scout,normal,1.0,-0.033255346558478616,2025-02-28,True
2025-03-31,AM,0.33,ANTERO MIDSTREAM CORP,Energy,early_scout,normal,1.0,-0.07794887965674235,2025-03-31,True
2025-03-31,ORLY,0.33,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,normal,1.0,-0.07794887965674235,2025-03-31,True
2025-04-30,RGLD,0.33,ROYAL GOLD INC,Materials,early_scout,normal,1.0,-0.10659640399848147,2025-04-30,True
2025-04-30,RSG,0.33,REPUBLIC SERVICES INC,Industrials,future_winner,normal,1.0,-0.10659640399848147,2025-04-30,True
2025-05-30,CEG,0.33,CONSTELLATION ENERGY CORP,Utilities,future_winner,normal,1.0,-0.09635033582857677,2025-05-30,True
2025-05-30,MELI,0.33,MercadoLibre,Internet,future_winner,normal,1.0,-0.09635033582857677,2025-05-30,True
2025-06-30,BKNG,0.33,BOOKING HOLDINGS INC,Consumer Discretionary,future_winner,normal,1.0,-0.07289230665677693,2025-06-30,True
2025-06-30,CEG,0.33,CONSTELLATION ENERGY CORP,Utilities,future_winner,normal,1.0,-0.07289230665677693,2025-06-30,True
2025-07-31,HEI,0.33,HEICO CORP,Industrials,future_winner,normal,1.0,-0.07490963174327003,2025-07-31,True
2025-07-31,TNL,0.33,TRAVEL LEISURE,Consumer Discretionary,early_scout,normal,1.0,-0.07490963174327003,2025-07-31,True
2025-08-29,PDD,0.33,PDD Holdings (Pinduoduo / Temu),Internet,future_winner,normal,1.0,-0.07818864854399177,2025-08-29,True
2025-08-29,TNL,0.33,TRAVEL LEISURE,Consumer Discretionary,early_scout,normal,1.0,-0.07818864854399177,2025-08-29,True
2025-09-30,PDD,0.33,PDD Holdings (Pinduoduo / Temu),Internet,future_winner,normal,1.0,-0.06576835715145224,2025-09-30,True
2025-09-30,PPL,0.33,PPL CORP,Utilities,early_scout,normal,1.0,-0.06576835715145224,2025-09-30,True
2025-10-31,GOOG,0.33,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,-0.05853852815834859,2025-10-31,True
2025-10-31,GOOGL,0.33,ALPHABET INC CLASS A,Communication,future_winner,normal,1.0,-0.05853852815834859,2025-10-31,True
2025-11-28,GOOG,0.33,ALPHABET INC CLASS C,Communication,core_compounder,normal,1.0,-0.007213808379035402,2025-11-28,True
2025-11-28,GOOGL,0.33,ALPHABET INC CLASS A,Communication,core_compounder,normal,1.0,-0.007213808379035402,2025-11-28,True
2025-12-31,GOOG,0.33,ALPHABET INC CLASS C,Communication,core_compounder,normal,1.0,-0.0211021813562835,2025-12-31,True
2025-12-31,GOOGL,0.33,ALPHABET INC CLASS A,Communication,core_compounder,normal,1.0,-0.0211021813562835,2025-12-31,True
2026-01-30,CNQ,0.33,Canadian Natural Resources,Energy,future_winner,normal,1.0,-0.00037961260522378915,2026-01-30,True
2026-01-30,PBA,0.33,Pembina Pipeline,Energy,early_scout,normal,1.0,-0.00037961260522378915,2026-01-30,True
2026-02-27,PR,0.33,PERMIAN RESOURCES CORP CLASS A,Energy,early_scout,normal,1.0,0.0,2026-02-27,True
2026-02-27,TRGP,0.33,TARGA RESOURCES CORP,Energy,future_winner,normal,1.0,0.0,2026-02-27,True
2026-03-31,CNQ,0.33,Canadian Natural Resources,Energy,future_winner,normal,1.0,-0.004834791209157863,2026-03-31,True
2026-03-31,LNG,0.33,CHENIERE ENERGY INC,Energy,future_winner,normal,1.0,-0.004834791209157863,2026-03-31,True
