ticker,months_held_main,first_held_main,last_held_main,avg_weight_main,max_weight_main,months_held_concentrated,first_held_concentrated,last_held_concentrated,avg_weight_concentrated,max_weight_concentrated
ANET,11.0,2023-08-31,2025-01-31,0.04256901927225718,0.0674348027610284,7.0,2023-08-31,2024-10-31,0.14712353651191046,0.5
APH,8.0,2024-02-29,2025-11-28,0.026183293027240265,0.0666747826222682,4.0,2020-07-31,2023-08-31,0.05150141571854464,0.0769536201499697
APO,3.0,2024-11-29,2025-01-31,0.03387784931943764,0.0532793009525799,,,,,
APP,3.0,2025-01-31,2025-12-31,0.045773523552847896,0.0540122409558198,3.0,2025-01-31,2025-12-31,0.07214141477151845,0.1051846894173296
ARES,3.0,2023-09-29,2023-11-30,0.011424994669457867,0.0243629968978681,,,,,
ATI,2.0,2025-12-31,2026-02-27,0.0344,0.04,,,,,
ATO,,,,,,3.0,2020-01-31,2022-02-28,0.04672876124791444,0.0682280591072759
AVGO,32.0,2021-12-31,2025-05-30,0.07238843254019768,0.1465315055935984,24.0,2019-06-28,2024-10-31,0.2336342652000483,1.0
AXON,7.0,2022-11-30,2025-06-30,0.03555443830086662,0.0561568216217069,1.0,2025-06-30,2025-06-30,0.22573967929156535,0.5
AXP,4.0,2023-01-31,2023-04-28,0.013575986401587276,0.0380694212115937,,,,,
AZO,6.0,2019-05-31,2023-04-28,0.059760799406226334,0.1466763288991626,2.0,2022-01-31,2022-02-28,0.04310278458207437,0.0599963482571634
BABA,7.0,2019-11-29,2020-10-30,0.05853255685862716,0.0763103459072256,,,,,
BAC,10.0,2019-11-29,2025-11-28,0.03180631116711835,0.0756273002109972,,,,,
BAH,,,,,,1.0,2022-06-30,2022-06-30,0.052715134659851094,0.0734117306387492
BBY,,,,,,3.0,2019-11-29,2020-01-31,0.06661600779221527,0.0965812804898421
BE,1.0,2026-02-27,2026-02-27,0.0564569948967233,0.0564569948967233,,,,,
BEN,,,,,,2.0,2023-01-31,2023-02-28,0.042392150871945256,0.0555555555555555
BJ,3.0,2025-03-31,2025-05-30,0.02468597048923107,0.0381289468057006,3.0,2024-05-31,2024-07-31,0.04960739114393871,0.0726662118000762
BKNG,30.0,2019-08-30,2025-10-31,0.05964538724366332,0.16,21.0,2019-08-30,2025-07-31,0.34770645731595123,1.0
BLD,8.0,2023-02-28,2025-11-28,0.025807664023966437,0.0647699654601779,3.0,2020-09-30,2025-08-29,0.08822049709991521,0.1497911113667172
BR,1.0,2023-08-31,2023-08-31,0.0379272001379794,0.0379272001379794,4.0,2023-08-31,2024-12-31,0.06467568670731356,0.1121633755009338
BRO,1.0,2025-03-31,2025-03-31,0.0211027110093607,0.0211027110093607,,,,,
BROS,1.0,2025-02-28,2025-02-28,0.0196509378334868,0.0196509378334868,,,,,
BYD,1.0,2022-02-28,2022-02-28,0.0329332687708251,0.0329332687708251,3.0,2022-02-28,2023-04-28,0.1027999408495861,0.1680459565651047
C,3.0,2024-12-31,2025-02-28,0.02382979247356923,0.0532286711417205,,,,,
CACI,,,,,,2.0,2020-01-31,2025-11-28,0.06040011464791038,0.0955565055549498
CARR,2.0,2023-07-31,2023-08-31,0.0300898559557842,0.0597135296085803,,,,,
CASY,,,,,,1.0,2019-06-28,2019-06-28,0.052613352178880496,0.081276256175707
CBOE,5.0,2019-05-31,2024-04-30,0.015273438709450832,0.0357937486420752,4.0,2019-05-31,2019-08-30,0.12310688305853328,0.2282123995712076
CBRE,5.0,2019-07-31,2020-11-30,0.02251981841858474,0.04,5.0,2019-07-31,2020-10-30,0.09915768371444644,0.2299584374369439
CCJ,1.0,2025-06-30,2025-06-30,0.04,0.04,,,,,
CDW,,,,,,2.0,2019-07-31,2019-08-30,0.05081154331747595,0.0829486736110869
CEG,3.0,2024-09-30,2024-11-29,0.04670319873986147,0.0801553641227943,1.0,2024-10-31,2024-10-31,0.06573655735148527,0.0952050280792062
CHH,,,,,,2.0,2020-08-31,2022-10-31,0.0500849810646053,0.081630667218464
CHRD,1.0,2024-05-31,2024-05-31,0.04,0.04,9.0,2022-10-31,2024-05-31,0.09308575220925225,0.1935675363947571
CHRW,1.0,2022-08-31,2022-08-31,0.0333182791742277,0.0333182791742277,3.0,2020-03-31,2022-08-31,0.12828180062793418,0.25
CIEN,,,,,,4.0,2020-12-31,2026-02-27,0.18194070206463778,0.5
CLH,,,,,,3.0,2022-08-31,2022-10-31,0.0524954484122031,0.0741321966676952
CMG,3.0,2024-04-30,2024-06-28,0.06463985063679341,0.08,3.0,2024-04-30,2024-06-28,0.45529638972429426,1.0
CMS,2.0,2019-05-31,2024-04-30,0.03227133165150885,0.0357426633030178,6.0,2019-05-31,2025-10-31,0.10028820284401943,0.187349546106273
COO,4.0,2021-12-31,2022-03-31,0.04537155894783218,0.0702302439692639,6.0,2021-01-29,2022-03-31,0.18525966001621896,0.5000000000000001
COR,18.0,2021-12-31,2024-04-30,0.042494182228493306,0.0844700660540304,4.0,2021-12-31,2022-12-30,0.22595787680930401,0.5263800775275074
COST,20.0,2019-12-31,2025-02-28,0.08303827407732664,0.1799083702732739,,,,,
CP,2.0,2019-06-28,2019-12-31,0.04,0.04,7.0,2019-05-31,2020-02-28,0.09424857646522211,0.2104468698491324
CPRT,15.0,2019-11-29,2023-04-28,0.05488101912122071,0.16,16.0,2019-10-31,2023-02-28,0.3257957138429733,1.0
CRH,1.0,2024-03-28,2024-03-28,0.0333639281524285,0.0333639281524285,,,,,
CROX,6.0,2021-06-30,2021-11-30,0.02255142996288523,0.0603106596096556,10.0,2021-07-30,2025-07-31,0.14193651996278672,0.5013126991064996
CRS,3.0,2024-09-30,2025-06-30,0.03517822910249303,0.04,2.0,2025-01-31,2025-02-28,0.12749784542692888,0.1921776114963411
CRUS,3.0,2024-06-28,2024-08-30,0.005853237370972466,0.0155927319104512,1.0,2024-06-28,2024-06-28,0.07311188401527428,0.1225480696562718
CRWD,5.0,2021-04-30,2021-08-31,0.04728601762511449,0.08,4.0,2021-04-30,2021-07-30,0.40982548465696195,1.0
CSCO,8.0,2022-10-31,2023-10-31,0.07930552876662667,0.1421624462576179,,,,,
CSL,,,,,,2.0,2019-07-31,2019-08-30,0.07294829245865257,0.123266430118344
CSX,5.0,2020-09-30,2021-04-30,0.03072666126928758,0.0717054453887128,4.0,2020-09-30,2021-04-30,0.0658502524313689,0.114225941723719
CTAS,21.0,2019-07-31,2024-11-29,0.023100082547460092,0.0799999999999999,16.0,2019-07-31,2024-01-31,0.15846111102917432,0.5
CW,7.0,2024-07-31,2025-01-31,0.006647468944870392,0.0362748913151637,,,,,
CXT,,,,,,3.0,2023-05-31,2023-07-31,0.1159274073586052,0.1841384613778052
DAL,2.0,2024-04-30,2025-07-31,0.033486586623106496,0.0357426633030178,5.0,2024-02-29,2025-08-29,0.1201463272220172,0.2259548056816269
DECK,3.0,2023-10-31,2024-05-31,0.0403286070991844,0.0721687457960335,5.0,2023-10-31,2024-05-31,0.07188510546759189,0.1144799585525718
DHR,11.0,2019-05-31,2023-08-31,0.05417774737018648,0.1941290441053154,,,,,
DINO,3.0,2023-09-29,2023-11-30,0.017408971919741566,0.0373401357606213,1.0,2023-10-31,2023-10-31,0.16088166088185046,0.25
DIS,3.0,2019-11-29,2020-01-31,0.0599353212968474,0.0656143370794529,,,,,
DKS,25.0,2021-08-31,2025-11-28,0.055667274522375784,0.132814015074,31.0,2021-08-31,2026-01-30,0.29928294286418733,1.0
DLTR,1.0,2020-11-30,2020-11-30,0.0314219934965015,0.0314219934965015,,,,,
DPZ,6.0,2020-02-28,2020-09-30,0.02661452790624888,0.0494946204865942,1.0,2020-09-30,2020-09-30,0.1258125609070406,0.191904761938084
DTM,7.0,2022-10-31,2023-11-30,0.009651315699727164,0.0321270487505426,6.0,2022-10-31,2024-06-28,0.19428331050926953,0.5213264058571544
DUK,5.0,2019-08-30,2020-02-28,0.04770316456930508,0.0896507875141898,8.0,2019-08-30,2021-08-31,0.14119518209081733,0.2868776786147806
EBAY,5.0,2025-03-31,2025-08-29,0.04243887156900092,0.1012278423601472,1.0,2024-09-30,2024-09-30,0.04567832937276476,0.066353496302866
ED,,,,,,2.0,2022-03-31,2022-04-29,0.05426283617926478,0.0880523022129422
EDU,1.0,2020-12-31,2020-12-31,0.04,0.04,2.0,2020-02-28,2020-10-30,0.09214294834764421,0.1609668789987202
EFX,,,,,,2.0,2024-07-31,2024-08-30,0.047389297497484786,0.0724780076816286
ELS,3.0,2019-05-31,2019-08-30,0.04502109997171466,0.0646717845597444,6.0,2019-05-31,2019-10-31,0.2104018641933254,0.5123887565888515
ELV,5.0,2022-08-31,2023-04-28,0.02405810687720208,0.0408261953574471,,,,,
ENPH,4.0,2021-06-30,2022-09-30,0.08233854632203347,0.1022689522404381,,,,,
EQT,4.0,2023-09-29,2025-06-30,0.02110240598743225,0.04,5.0,2023-06-30,2025-06-30,0.07831219621579208,0.1839041927839911
ETR,14.0,2022-05-31,2026-02-27,0.021246327758643567,0.0575999999999999,13.0,2022-05-31,2026-02-27,0.20607574449914914,0.5
EXC,6.0,2021-10-29,2022-05-31,0.015066071896286353,0.0411927637902186,3.0,2021-08-31,2021-10-29,0.117944795565992,0.2869067041828182
EXE,4.0,2022-05-31,2023-10-31,0.03623560500345933,0.048,4.0,2022-05-31,2023-10-31,0.21218889658791562,0.5168092439780236
EXP,16.0,2021-12-31,2024-11-29,0.03867775604794802,0.0898521613390293,13.0,2021-11-30,2024-11-29,0.17201632972128125,0.5000000000000001
EXPD,7.0,2021-05-28,2021-11-30,0.016317907018403622,0.0571638103877789,3.0,2021-05-28,2021-07-30,0.06447214233635924,0.0986560831692386
EXPE,7.0,2023-11-30,2026-01-30,0.04714785714586801,0.0845014111028387,7.0,2023-11-30,2026-01-30,0.22315722703128968,0.5073460487310896
EXR,,,,,,1.0,2020-10-30,2020-10-30,0.04452661147788456,0.0570160340727192
FANG,10.0,2022-05-31,2024-04-30,0.06432597614756683,0.1022575827642423,8.0,2022-07-29,2025-10-31,0.17437468809981413,0.5253596232016605
FAST,,,,,,1.0,2024-03-28,2024-03-28,0.1708801408985557,0.315649168907358
FBIN,,,,,,1.0,2019-10-31,2019-10-31,0.04256917492373047,0.0570260329557631
FCN,1.0,2022-06-30,2022-06-30,0.0337922591143056,0.0337922591143056,4.0,2020-03-31,2022-06-30,0.07557687308037943,0.1707608185657442
FCX,2.0,2022-02-28,2022-03-31,0.0736673389154561,0.0969827923468528,1.0,2022-03-31,2022-03-31,0.23475338780752367,0.5
FDS,12.0,2019-05-31,2024-03-28,0.044823652921989254,0.127311320410616,4.0,2022-04-29,2024-02-29,0.18995682478375409,0.5
FE,,,,,,2.0,2025-03-31,2025-04-30,0.07563461667951857,0.1113739262503425
FFIV,,,,,,2.0,2021-01-29,2021-02-26,0.07049797172156912,0.0993124619190834
FICO,9.0,2022-01-31,2024-11-29,0.025128762001809534,0.0494609368794278,6.0,2020-11-30,2024-11-29,0.09683592918822843,0.272906644114523
FLEX,2.0,2023-10-31,2023-11-30,0.04072173373670905,0.0657129323660293,4.0,2023-05-31,2023-08-31,0.19320285119847466,0.3476437708738357
FSLR,3.0,2022-08-31,2023-03-31,0.031126477252179634,0.0554964372884015,,,,,
FTAI,2.0,2024-03-28,2024-11-29,0.03300563687487175,0.0398835240528456,,,,,
FTI,1.0,2026-02-27,2026-02-27,0.0596147488942077,0.0596147488942077,,,,,
FTNT,12.0,2020-04-30,2023-04-28,0.03400009572907101,0.0759496976597585,11.0,2020-04-30,2022-03-31,0.18818080999889017,0.5224313026561249
FTV,,,,,,1.0,2025-02-28,2025-02-28,0.04642612773136556,0.0685968913786684
FUTU,3.0,2021-03-31,2025-10-31,0.04081385359502727,0.0626768855347894,,,,,
GDDY,,,,,,10.0,2020-05-29,2025-01-31,0.10837265432187147,0.2117849781568167
GEN,,,,,,2.0,2021-01-29,2021-02-26,0.0436229027199435,0.0656717804483709
GEV,1.0,2025-07-31,2025-07-31,0.0737072902902472,0.0737072902902472,,,,,
GGG,,,,,,2.0,2020-09-30,2020-10-30,0.05720299761652656,0.0879885164794466
GILD,11.0,2022-10-31,2025-05-30,0.01246178830564821,0.0393830662802108,,,,,
GLPI,,,,,,3.0,2019-12-31,2025-04-30,0.04964231806240679,0.0752578987445991
GOOG,22.0,2020-01-31,2026-01-30,0.08296027098025208,0.2332136047949211,15.0,2020-01-31,2021-12-31,0.18026111693689648,0.5164141043898638
GOOGL,41.0,2020-06-30,2026-01-30,0.0791619121534682,0.2800000000000001,16.0,2020-05-29,2022-03-31,0.14946087781540696,0.5000000000000001
GRMN,,,,,,1.0,2024-12-31,2024-12-31,0.04645710786070164,0.0555555555555555
GS,7.0,2024-12-31,2025-11-28,0.029004945670322312,0.055712787142035,,,,,
GTLS,4.0,2022-10-31,2025-09-30,0.05880452824271978,0.0858834508531243,3.0,2025-08-29,2025-10-31,0.21985606598765198,0.5
GWRE,,,,,,2.0,2019-11-29,2024-11-29,0.04853386530027334,0.0755160843573777
HALO,7.0,2022-05-31,2025-04-30,0.0253825891194174,0.0488149600326007,9.0,2022-04-29,2025-04-30,0.10769820898830335,0.215949833136395
HD,26.0,2019-05-31,2023-04-28,0.08829620015597837,0.1711770570494064,,,,,
HII,5.0,2023-10-31,2024-04-30,0.02027977923704307,0.058594894562484,2.0,2022-04-29,2023-10-31,0.09155399513555972,0.1533780208765801
HLI,,,,,,4.0,2022-11-30,2024-11-29,0.0791960656622136,0.1554379983369881
HLNE,2.0,2024-10-31,2024-11-29,0.01917844685121265,0.029295464111017,,,,,
HPQ,,,,,,1.0,2020-12-31,2020-12-31,0.22311230984630687,0.5
HSIC,,,,,,3.0,2019-05-31,2019-07-31,0.05481916708299511,0.112638473668765
HUBB,3.0,2022-09-30,2023-06-30,0.02626702275453083,0.0367680121173396,,,,,
HWM,5.0,2025-02-28,2025-07-31,0.023045386334120798,0.0537813217954563,,,,,
IDXX,5.0,2021-06-30,2021-10-29,0.006750044590457055,0.025496945401021,1.0,2021-06-30,2021-06-30,0.0691488881792071,0.0882942974478159
IFF,2.0,2021-02-26,2021-03-31,0.01960632702985525,0.0288,3.0,2021-02-26,2021-04-30,0.10004874873783703,0.1655835450281706
INSM,1.0,2025-11-28,2025-11-28,0.0340896623613924,0.0340896623613924,,,,,
INTU,4.0,2021-10-29,2023-12-29,0.028780469997512225,0.0755352221685025,1.0,2021-10-29,2021-10-29,0.047205316329951334,0.0709344571744257
IONS,,,,,,1.0,2020-06-30,2020-06-30,0.05646428472675133,0.0733121350340754
IRM,1.0,2021-01-29,2021-01-29,0.0289543502966675,0.0289543502966675,,,,,
ISRG,4.0,2025-01-31,2025-05-30,0.034071583046195474,0.0504806769229252,2.0,2025-01-31,2025-02-28,0.0990412478226149,0.1495575053810983
JBHT,,,,,,2.0,2023-07-31,2023-08-31,0.048864667786501136,0.0740350729826917
JBL,7.0,2022-11-30,2025-02-28,0.019278038530238958,0.0639969096939882,15.0,2021-05-28,2025-06-30,0.12562109001830224,0.5053257308425798
JD,13.0,2020-01-31,2023-01-31,0.043721925710495144,0.0796540764486866,15.0,2019-06-28,2020-10-30,0.24273077537841573,1.0
JKHY,1.0,2019-11-29,2019-11-29,0.0371292090088421,0.0371292090088421,12.0,2019-08-30,2026-01-30,0.11406465690605058,0.25
JNJ,1.0,2021-04-30,2021-04-30,0.0336828314543618,0.0336828314543618,,,,,
KEYS,,,,,,1.0,2020-12-31,2020-12-31,0.0519403144145792,0.0710872699029335
KIM,,,,,,1.0,2024-10-31,2024-10-31,0.052661843642577304,0.0732518575869278
KLAC,3.0,2022-01-31,2022-07-29,0.05136472197612004,0.0735796073976509,1.0,2022-01-31,2022-01-31,0.06864319788197148,0.1033245994136354
KNSL,1.0,2020-11-30,2020-11-30,0.0314219934965015,0.0314219934965015,3.0,2020-11-30,2021-12-31,0.052363754942508785,0.0841390401874908
KNX,,,,,,2.0,2022-09-30,2022-10-31,0.043422977262155917,0.0603417584434885
KO,10.0,2019-05-31,2026-02-27,0.08202283538299142,0.1284286962902006,,,,,
LAD,,,,,,1.0,2022-02-28,2022-02-28,0.08667413922104804,0.1252710805030427
LDOS,,,,,,3.0,2019-05-31,2019-07-31,0.052318938711467027,0.0806915537358783
LEA,2.0,2025-10-31,2025-11-28,0.0196198229662478,0.0287866513156346,2.0,2020-10-30,2025-10-31,0.08051597760752828,0.1356372586309387
LI,3.0,2022-06-30,2025-05-30,0.03834156940480483,0.04,4.0,2022-07-29,2025-07-31,0.11895971553331035,0.270807770410563
LIN,3.0,2023-02-28,2023-04-28,0.0627762248382268,0.152913321691012,,,,,
LITE,7.0,2025-08-29,2026-02-27,0.038368090195323855,0.079581626913629,7.0,2019-11-29,2026-01-30,0.3636887116785832,1.0
LNG,5.0,2022-01-31,2022-08-31,0.053585120535339405,0.0809505657836102,,,,,
LOW,2.0,2021-03-31,2021-04-30,0.052388734711867,0.0774173561121874,,,,,
LPX,4.0,2019-10-31,2023-06-30,0.030717113733424374,0.04,5.0,2019-06-28,2023-06-30,0.12105929282055755,0.25
LRCX,38.0,2019-09-30,2026-02-27,0.03596288803547252,0.0853450011667839,43.0,2019-08-30,2026-02-27,0.30825232496528326,1.0
LSCC,1.0,2022-07-29,2022-07-29,0.04,0.04,5.0,2021-02-26,2023-03-31,0.080945278244372,0.1635198421822019
LUV,,,,,,1.0,2026-02-27,2026-02-27,0.06099788637945574,0.0869129399921886
LYB,2.0,2022-04-29,2022-05-31,0.021388167999420848,0.0362309364615335,,,,,
LYV,1.0,2025-06-30,2025-06-30,0.0275997320071402,0.0275997320071402,,,,,
MCHP,2.0,2020-06-30,2020-07-31,0.0196732619244414,0.0367274153708903,2.0,2019-12-31,2020-06-30,0.18696840323042135,0.5
MCK,16.0,2022-08-31,2025-02-28,0.052757402878157125,0.1025330863499545,4.0,2022-08-31,2024-12-31,0.08805433493961301,0.1279667061780873
MCO,4.0,2021-02-26,2021-08-31,0.0887977747410974,0.1305818735483389,4.0,2021-03-31,2021-08-31,0.06261103348825824,0.1001417586235475
MDT,6.0,2019-07-31,2020-01-31,0.06073308052660409,0.0908352745705559,,,,,
MEDP,2.0,2021-02-26,2021-03-31,0.01949026897118035,0.0288,7.0,2021-02-26,2022-10-31,0.0589105666541661,0.0988249859790551
MELI,16.0,2020-10-30,2025-10-31,0.06521806288931611,0.1193197159152897,8.0,2020-05-29,2025-04-30,0.16399210098666234,1.0
MKC,1.0,2022-04-29,2022-04-29,0.0351017824765389,0.0351017824765389,1.0,2022-04-29,2022-04-29,0.403166712429704,0.5000000000000001
MLI,7.0,2023-02-28,2025-11-28,0.02391882567265674,0.0644177029659699,6.0,2023-02-28,2025-10-31,0.11332166505845843,0.2061365006875179
MLM,3.0,2019-09-30,2022-02-28,0.024225254222584966,0.0378136501054986,5.0,2019-09-30,2025-10-31,0.05669568214751826,0.0861441449284113
MNST,2.0,2020-07-31,2020-08-31,0.0445177687935944,0.0519517408938718,5.0,2020-05-29,2022-07-29,0.15066725477215137,0.3386741294512224
MORN,1.0,2021-04-30,2021-04-30,0.0255274219700076,0.0255274219700076,,,,,
MPWR,8.0,2021-07-30,2024-09-30,0.004138406516758719,0.0172579583093164,8.0,2021-07-30,2023-07-31,0.07381396324520616,0.1294629879525532
MRK,1.0,2024-04-30,2024-04-30,0.0536139949545268,0.0536139949545268,,,,,
MS,14.0,2021-01-29,2025-02-28,0.029484210778326598,0.0759952214952187,,,,,
MSCI,6.0,2019-11-29,2020-12-31,0.03295285894717292,0.0537363169589621,2.0,2020-03-31,2020-04-30,0.042803550929146277,0.0594391912150047
MSFT,26.0,2019-10-31,2024-04-30,0.06408895603457242,0.1385549020885341,,,,,
MTDR,1.0,2022-02-28,2022-02-28,0.0329332687708251,0.0329332687708251,3.0,2023-08-31,2023-10-31,0.09592565712376347,0.1455460403296907
MTSI,,,,,,2.0,2026-01-30,2026-02-27,0.05504460486344073,0.0824375318534564
MU,6.0,2021-02-26,2026-02-27,0.0652942319459613,0.1055546470696345,6.0,2021-01-29,2026-02-27,0.214682107306558,0.5000000000000001
NBIX,1.0,2022-09-30,2022-09-30,0.038249461163426,0.038249461163426,2.0,2022-09-30,2022-10-31,0.041513320123238176,0.0563157643308333
NDAQ,9.0,2021-03-31,2021-11-30,0.023818276494983495,0.0653917802102514,5.0,2021-03-31,2021-07-30,0.1516555963125782,0.3102834790235692
NEE,4.0,2019-07-31,2022-08-31,0.07849778618142762,0.0994390571096812,,,,,
NEU,1.0,2025-08-29,2025-08-29,0.04,0.04,3.0,2025-08-29,2025-10-31,0.16561080052930158,0.2783538151360925
NFG,2.0,2022-04-29,2022-05-31,0.05202929231494355,0.0775118765877861,8.0,2021-11-30,2024-08-30,0.13928364141310653,0.5
NI,4.0,2022-03-31,2022-06-30,0.010972250296355025,0.0399999999999999,2.0,2022-03-31,2022-04-29,0.11816207148780228,0.1944567369099642
NOC,5.0,2022-06-30,2026-01-30,0.03704748650339818,0.0598330613706149,1.0,2022-06-30,2022-06-30,0.04541621397619686,0.0655671501131623
NOW,40.0,2019-05-31,2025-02-28,0.052376071301387904,0.1302261915043131,27.0,2019-05-31,2024-10-31,0.29491615560368223,1.0
NRG,11.0,2024-06-28,2025-10-31,0.04035140970523709,0.0787873357993622,9.0,2021-08-31,2025-07-31,0.2816031430575385,1.0
NTAP,,,,,,1.0,2024-06-28,2024-06-28,0.05779303326724117,0.0886454264609194
NTLA,1.0,2021-06-30,2021-06-30,0.0311236604155631,0.0311236604155631,,,,,
NVDA,39.0,2019-11-29,2025-10-31,0.07117095206351302,0.1700598124664987,25.0,2020-02-28,2025-10-31,0.2477327169267843,1.0
NXST,1.0,2022-02-28,2022-02-28,0.0329332687708251,0.0329332687708251,2.0,2022-02-28,2022-03-31,0.2027055569554793,0.3530963777258437
NXT,1.0,2025-10-31,2025-10-31,0.0647699654601779,0.0647699654601779,1.0,2025-01-31,2025-01-31,0.05134548181593457,0.0693027721069996
OC,4.0,2023-06-30,2023-09-29,0.060385959368438276,0.0963837148819271,4.0,2023-04-28,2024-04-30,0.07498373086887387,0.1316093655110454
ODFL,4.0,2021-11-30,2023-08-31,0.03819417687852643,0.0640374925650304,3.0,2023-08-31,2023-10-31,0.04783390849715971,0.0763531474841769
OGE,,,,,,8.0,2022-05-31,2023-10-31,0.04872178870067701,0.0726427526301367
OKE,1.0,2022-03-31,2022-03-31,0.0437137102011988,0.0437137102011988,,,,,
OMC,,,,,,2.0,2022-02-28,2022-03-31,0.05169327744640051,0.0797198627495116
ON,5.0,2022-07-29,2023-08-31,0.05035734775606924,0.0894820687201854,4.0,2022-07-29,2022-10-31,0.07238122929347532,0.1266902685032344
ORCL,28.0,2019-06-28,2024-11-29,0.05974010806454372,0.1260700555705443,,,,,
ORLY,39.0,2019-08-30,2025-07-31,0.06179092157369624,0.12,51.0,2019-07-31,2025-08-29,0.25883969150233765,1.0
P,1.0,2024-04-30,2024-04-30,0.034561083130528,0.034561083130528,,,,,
PAG,,,,,,1.0,2022-04-29,2022-04-29,0.07207762095089147,0.1190282552895549
PANW,13.0,2019-11-29,2024-12-31,0.03699418044411323,0.1042790107973887,16.0,2019-10-31,2024-10-31,0.21785295997436566,1.0
PDD,6.0,2020-12-31,2025-10-31,0.06786985763682832,0.0997672014721737,3.0,2025-08-29,2025-10-31,0.052335808681730205,0.0866541343829842
PEG,4.0,2019-05-31,2024-11-29,0.030297264925828276,0.051685983078571,9.0,2019-05-31,2026-02-27,0.35334059166851167,1.0
PEN,1.0,2026-01-30,2026-01-30,0.0344544568487418,0.0344544568487418,,,,,
PEP,3.0,2022-04-29,2022-06-30,0.10866265808952913,0.1719076513669186,,,,,
PFGC,5.0,2024-10-31,2025-02-28,0.008551063142103,0.029295464111017,9.0,2019-12-31,2025-01-31,0.06864418599257216,0.1779480351785549
PG,17.0,2019-08-30,2025-05-30,0.0731494257737881,0.2162710774240461,,,,,
PH,1.0,2026-01-30,2026-01-30,0.0409608689995724,0.0409608689995724,,,,,
PLD,1.0,2022-04-29,2022-04-29,0.0370746801055093,0.0370746801055093,,,,,
PLTR,12.0,2024-11-29,2025-12-31,0.11289090298507265,0.2065343073779173,7.0,2024-11-29,2025-07-31,0.1653304218642295,0.3276216047866244
PODD,3.0,2020-09-30,2020-11-30,0.0155512319978582,0.04,4.0,2025-05-30,2025-08-29,0.06580390451661941,0.1114828753687581
POST,,,,,,1.0,2019-12-31,2019-12-31,0.0499362348931373,0.0650750313386078
PPC,2.0,2025-04-30,2025-05-30,0.01862345755682685,0.0349672498139177,1.0,2025-04-30,2025-04-30,0.06562645687103263,0.0926589624936945
