as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,risk_state,account_source,approval_status
2026-05-27,current_broker_ledger_mark_to_market,main,equity,FTI,269.0,67.41000366210938,18133.290985107426,0.0386148470101572,2.3868331909179688,0.0,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,VRT,56.0,319.7799987792969,17907.679931640625,0.038134408223807,3477.114990234375,3120.2391862869267,,,,0.0,,,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,CIEN,27.0,582.0800170898438,15716.16046142578,0.0334675670457975,6165.450164794922,0.0,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,SCCO,78.0,187.75,14644.5,0.0311854658652243,-2168.652557373047,0.0,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,KO,174.0,81.62000274658203,14201.880477905272,0.0302429074987682,338.92112731933594,464.0659858989712,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,APH,97.0,140.24000549316406,13603.280532836914,0.028968188788409,546.9551592778898,6412.701896100071,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,VZ,260.0,48.2400016784668,12542.400436401367,0.0267090443973757,-259.8442840576172,-459.0489435005188,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,ATI,66.0,169.83999633789062,11209.43975830078,0.0238705043498089,225.71987915039065,-646.0955108642578,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,ADI,22.0,416.8800048828125,9171.360107421877,0.0195304132997156,1442.5401611328125,-37.44060638427735,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,RGLD,41.0,218.3300018310547,8951.530075073242,0.0190622851990662,-3501.943405151367,0.0,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,THC,46.0,181.0599975585937,8328.759887695312,0.0177360959525673,-2486.7598876953125,3056.860722007751,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,LUV,180.0,43.68000030517578,7862.400054931641,0.0167429825894915,-788.8300323486328,0.0,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,MA,7.0,495.0400085449219,3465.280059814453,0.0073793146245202,-410.7181233250817,5523.946742938738,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,WDC,6.0,530.5999755859375,3183.599853515625,0.0067794765652869,2521.3264005936403,22475.95366433251,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,MSGS,7.0,366.3299865722656,2564.3099060058594,0.0054606984903275,675.2708844271572,4687.94629590121,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,TPR,18.0,138.8300018310547,2498.9400329589844,0.0053214933317685,388.927396774292,9647.878476715088,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,PEN,3.0,320.3399963378906,961.019989013672,0.0020464922710358,-109.94998168945312,-315.3020435333252,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,LITE,1.0,902.3099975585938,902.3099975585938,0.0019214693317432,763.3627894920639,14841.477984967778,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,STE,4.0,212.8699951171875,851.47998046875,0.0018132267995377,-202.798828125,-691.1214677810672,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,SYY,11.0,75.22000122070312,827.4200134277344,0.0017619910946057,-77.22013092041016,1020.0488281059264,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,NOC,1.0,551.3400268554688,551.3400268554688,0.0011740787044715,-131.4930419921875,1289.9164503479003,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,STLD,2.0,258.2200012207031,516.4400024414062,0.0010997590950577,165.40640258789062,-1678.0258502483368,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,ULTA,1.0,507.3500061035156,507.3500061035156,0.0010804019459225,-112.68997192382812,-252.9650819396974,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,BLD,1.0,417.5199890136719,417.5199890136719,0.0008891089054207,-4.980010986328125,-172.21153648376497,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,CSCO,2.0,119.66999816894533,239.33999633789065,0.0005096745731146,88.88471984863281,873.6557651424408,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,DKS,1.0,219.2100067138672,219.2100067138672,0.0004668077559282,-3.1489638031506217,3964.071081341604,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,WBS,3.0,72.9800033569336,218.9400100708008,0.0004662327980193,51.30780029296875,1037.6203251457214,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,TNL,3.0,68.75,206.25,0.0004392094188741,-7.997016906738281,-85.52170219421387,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,AEM,1.0,174.91000366210938,174.91000366210938,0.0003724708900058,3.2076568603515625,675.6025798988343,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,STT,1.0,157.9199981689453,157.9199981689453,0.000336290669694,29.70664978027344,149.1248173904419,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,LEA,1.0,145.74000549316406,145.74000549316406,0.0003103533726999,38.995849609375,376.46560821533205,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,AKAM,1.0,144.42999267578125,144.42999267578125,0.0003075637001266,56.719993591308594,-65.71242546081542,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,NRG,1.0,138.0,138.0,0.0002938710293557,-22.501373291015625,3170.59186590195,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,WEC,1.0,113.13999938964844,113.13999938964844,0.0002409316527677,5.2552032470703125,-190.4463662528992,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,PPL,2.0,35.84000015258789,71.68000030517578,0.0001526425758978,0.127593994140625,-456.5104667282104,,,,0.0,,,HOLD,No preview order or no material target gap.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,cash,CASH,0.0,1.0,115522.07471347,0.2460042826765554,0.0,0.0,,,,0.0,,,DEPLOY_CASH_REVIEW,Combined cash is above target; review deploy candidates before acting.,recovery,simulated_broker_replay,simulation_ready_preview_only
