ticker,Name,Sector,Asset Class,Market Value
BRBR,BELLRING BRANDS INC,Consumer Staples,Equity,"1,532,372.70"
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"611,884,224.64"
BRKR,BRUKER CORP,Health Care,Equity,"2,606,853.86"
BRO,BROWN & BROWN INC,Financials,Equity,"13,353,264.60"
BROS,DUTCH BROS INC CLASS A,Consumer Discretionary,Equity,"4,995,043.76"
BRX,BRIXMOR PROPERTY GROUP REIT INC,Real Estate,Equity,"6,580,863.00"
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"62,176,842.75"
BSY,BENTLEY SYSTEMS INC CLASS B,Information Technology,Equity,"3,599,481.20"
BURL,BURLINGTON STORES INC,Consumer Discretionary,Equity,"14,440,312.64"
BWA,BORGWARNER INC,Consumer Discretionary,Equity,"8,449,024.43"
BWXT,BWX TECHNOLOGIES INC,Industrials,Equity,"14,012,839.07"
BX,BLACKSTONE INC,Financials,Equity,"62,694,714.50"
BXP,BXP INC,Real Estate,Equity,"6,336,005.55"
BYD,BOYD GAMING CORP,Consumer Discretionary,Equity,"3,544,702.41"
C,CITIGROUP INC,Financials,Equity,"157,051,157.34"
CACC,CREDIT ACCEPTANCE CORP,Financials,Equity,"1,621,460.28"
CACI,CACI INTERNATIONAL INC CLASS A,Industrials,Equity,"7,684,089.00"
CAG,CONAGRA BRANDS INC,Consumer Staples,Equity,"4,718,000.32"
CAH,CARDINAL HEALTH INC,Health Care,Equity,"33,936,869.48"
CAI,CARIS LIFE SCIENCES INC,Health Care,Equity,"1,270,597.29"
CAR,AVIS BUDGET GROUP INC,Industrials,Equity,"2,330,518.06"
CARR,CARRIER GLOBAL CORP,Industrials,Equity,"33,992,242.69"
CART,MAPLEBEAR INC,Consumer Staples,Equity,"5,183,123.74"
CASY,CASEYS GENERAL STORES INC,Consumer Staples,Equity,"20,791,498.00"
CAT,CATERPILLAR INC,Industrials,Equity,"269,092,365.99"
CAVA,CAVA GROUP INC,Consumer Discretionary,Equity,"6,547,477.32"
CB,CHUBB,Financials,Equity,"83,217,052.80"
CBC,CENTRAL BANCOMPANY INC CLASS A,Financials,Equity,"376,870.70"
CBOE,CBOE GLOBAL MARKETS INC,Financials,Equity,"21,766,422.96"
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,"30,555,154.74"
CBSH,COMMERCE BANCSHARES INC,Financials,Equity,"4,696,748.14"
CCC,CCC INTELLIGENT SOLUTIONS HOLDINGS,Information Technology,Equity,"2,030,491.32"
CCI,CROWN CASTLE INC,Real Estate,Equity,"25,462,383.52"
CCK,CROWN HOLDINGS INC,Materials,Equity,"8,291,071.17"
