as_of_date,recommendation_date,current_account_last_trade_date,current_account_stale_days,pending_order_count_to_recommendation,portfolio_kind,row_type,ticker,shares,current_price,market_value_usd,current_weight,recommended_target_weight,projected_weight_after_recommendation_orders,recommended_trade_action,recommended_trade_quantity,recommended_trade_value_delta_usd,cost_basis,avg_entry_price,entry_date,latest_entry_date,entry_signal_date,return_since_entry_pct,unrealized_pnl_usd,realized_pnl_usd,entry_reason,entry_sleeve,open_lot_count
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,FTI,150.0,73.25,10987.5,0.029877886979458,0.056898740829369,0.056959183118957,BUY,135.0,9936.834953556732,67.44703674316406,67.44703674316406,2026-03-02,2026-03-02,2026-02-27,0.08603733443373374,870.4444885253906,0.0,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,SCCO,54.0,190.13999938964844,10267.559967041016,0.0279201816837369,0.0,,SELL,54.0,-10267.559967041016,218.8500061035156,218.8500061035156,2026-03-02,2026-03-02,2026-02-27,-0.13118577067933634,-1550.340362548828,0.0,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,COST,10.0,1021.3099975585938,10213.099975585938,0.027772090719496,0.0,,SELL,10.0,-10213.099975585938,1001.3170776367188,1001.3170776367188,2026-03-02,2026-03-02,2026-02-27,0.01996662233012314,199.92919921875,4841.419162902832,target_rebalance,core_compounder,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,PR,490.0,20.155000686645508,9875.9503364563,0.0268552926477708,0.04,0.0400886663688483,BUY,239.0,4833.925241497704,18.6336612701416,18.6336612701416,2026-03-02,2026-03-02,2026-02-27,0.08164468562824445,745.4563140869141,834.9829707646383,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,GTLS,44.0,207.375,9124.5,0.0248119025933165,0.0,,SELL,44.0,-9124.5,207.05999755859372,207.05999755859372,2026-03-02,2026-03-02,2026-02-27,0.0015213099831952182,13.860107421875,-2127.6911318588263,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,BKNG,54.0,160.47999572753906,8665.91976928711,0.0235649029751819,0.0,,SELL,54.0,-8665.91976928711,167.65056937588764,167.775720666956,2025-09-02,2026-03-02,2025-08-29,-0.04348498644746912,-387.2109770108236,3108.228516616916,target_rebalance,"early_scout,future_winner",2
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,RGLD,35.0,246.2100067138672,8617.350234985352,0.0234328297049646,0.0,,SELL,35.0,-8617.350234985352,303.7432556152344,303.7432556152344,2026-03-02,2026-03-02,2026-02-27,-0.18941407862648052,-2013.663711547852,0.0,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,PEG,93.0,78.8499984741211,7333.049858093262,0.0199404809897466,0.0,,SELL,93.0,-7333.049858093262,83.82633209228516,83.82633209228516,2026-03-02,2026-03-02,2026-02-27,-0.05936480213264694,-462.7990264892578,-269.3683418560028,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,TPR,15.0,131.97500610351562,1979.6250915527344,0.0053831185207837,0.0,,SELL,15.0,-1979.6250915527344,117.28659691704644,129.3232879638672,2026-02-02,2026-02-02,2026-01-30,0.02050456790419153,220.32613779703772,9213.47784831365,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,AEM,6.0,197.05999755859372,1182.3599853515625,0.0032151461216261,0.0,,SELL,6.0,-1182.3599853515625,174.4594544497403,190.4787139892578,2026-02-02,2026-02-02,2026-01-30,0.03455128098831595,135.60325865312075,7429.093944525287,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,WDC,2.0,480.8999938964844,961.7999877929688,0.0026153857867688,0.0,,SELL,2.0,-961.7999877929688,167.17966089016053,187.61019897460932,2026-01-02,2026-01-02,2025-12-31,1.5632934484631518,627.4406660126476,8177.571824526904,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,PH,1.0,884.4149780273438,884.4149780273438,0.0024049557002449,0.0,,SELL,1.0,-884.4149780273438,948.0860595703124,948.0860595703124,2026-02-02,2026-02-02,2026-01-30,-0.06715749155917916,-63.67108154296875,468.1611694335937,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,CNQ,18.0,46.560001373291016,838.0800247192383,0.0022789588403461,0.0,,SELL,18.0,-838.0800247192383,36.17146301269531,36.17146301269531,2026-02-02,2026-02-02,2026-01-30,0.28720260380260476,186.99369049072263,1794.654068698883,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,PBA,16.0,46.86000061035156,749.760009765625,0.0020387936139699,0.0,,SELL,16.0,-749.760009765625,40.50447082519531,40.50447082519531,2026-02-02,2026-02-02,2026-01-30,0.15690934002285184,101.6884765625,889.8814399337768,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,SYY,10.0,73.08000183105469,730.8000183105469,0.0019872364370119,0.0,,SELL,10.0,-730.8000183105469,82.2400131225586,82.2400131225586,2026-02-02,2026-02-02,2026-01-30,-0.11138144248412452,-91.60011291503906,946.6640203285216,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,STE,3.0,212.6699981689453,638.0099945068359,0.0017349160871572,0.0,,SELL,3.0,-638.0099945068359,263.5697021484375,263.5697021484375,2026-02-02,2026-02-02,2026-01-30,-0.19311667298856083,-152.69911193847656,-40.20106739044229,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,MLM,1.0,581.5800170898438,581.5800170898438,0.0015814682157107,0.0,,SELL,1.0,-581.5800170898438,618.4745483398438,618.4745483398438,2025-10-01,2025-10-01,2025-09-30,-0.05965408172257869,-36.89453125,-451.92380393981927,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,NOC,1.0,555.780029296875,555.780029296875,0.0015113112992738,0.0,,SELL,1.0,-555.780029296875,682.8330688476562,682.8330688476562,2026-02-02,2026-02-02,2026-01-30,-0.18606749635777742,-127.05303955078124,1747.0330257415774,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,BLD,1.0,418.6099853515625,418.6099853515625,0.0011383100642372,0.0,,SELL,1.0,-418.6099853515625,422.5,422.5,2025-11-03,2025-11-03,2025-10-31,-0.009207135262573996,-3.8900146484375,465.53916671752927,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,STLD,1.0,234.16000366210935,234.16000366210935,0.0006367423093994,0.0,,SELL,1.0,-234.16000366210935,175.5167999267578,175.5167999267578,2026-01-02,2026-01-02,2025-12-31,0.33411732529206906,58.64320373535156,881.6881590080263,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,DKS,1.0,218.3800048828125,218.3800048828125,0.0005938323644561,0.0,,SELL,1.0,-218.3800048828125,222.56040798887915,205.6791534423828,2025-12-01,2025-12-01,2025-11-28,0.061750795974506056,-4.180403106066649,3317.4392799066004,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,TNL,3.0,63.43999862670898,190.31999588012692,0.0005175298590978,0.0,,SELL,3.0,-190.31999588012692,71.4156723022461,71.4156723022461,2026-01-02,2026-01-02,2025-12-31,-0.11167959942717332,-23.927021026611328,-279.8876057624817,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,SSD,1.0,184.8249969482422,184.8249969482422,0.0005025875194355,0.0,,SELL,1.0,-184.8249969482422,173.13394165039062,173.13394165039062,2025-11-03,2025-11-03,2025-10-31,0.06752607366532049,11.691055297851562,-548.9588826179505,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,ATO,1.0,182.77999877929688,182.77999877929688,0.0004970266344148,0.0,0.000498700648869,HOLD,0.0,0.0,170.7711181640625,170.7711181640625,2025-12-01,2025-12-01,2025-11-28,0.07032149665786736,12.008880615234377,-171.71538436889648,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,VTR,2.0,88.7249984741211,177.4499969482422,0.0004825329650352,0.0,0.0004841581639726,HOLD,0.0,0.0,79.39158630371094,79.39158630371094,2025-12-01,2025-12-01,2025-11-28,0.11756172920774466,18.666824340820312,-337.483385181427,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,STT,1.0,150.5,150.5,0.0004092488728471,0.0,0.000410627246723,HOLD,0.0,0.0,128.21334838867188,128.21334838867188,2026-01-02,2026-01-02,2025-12-31,0.17382473737264337,22.286651611328125,145.96737316131592,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,AKAM,1.0,147.55999755859375,147.55999755859375,0.0004012542370643,0.04,0.0398579627699087,BUY,98.0,14562.315580395409,87.70999908447266,87.70999908447266,2025-12-01,2025-12-01,2025-11-28,0.682362320132738,59.84999847412109,-261.67512098312375,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,LEA,1.0,136.86000061035156,136.86000061035156,0.0003721581460973,0.0,0.0003734115962601,HOLD,0.0,0.0,106.74415588378906,106.74415588378906,2025-11-03,2025-11-03,2025-10-31,0.28213108696413514,30.1158447265625,297.3183455467224,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,WEC,1.0,112.58999633789062,112.58999633789062,0.0003061616551172,0.0,0.000307192825281,HOLD,0.0,0.0,108.80899810791016,108.80899810791016,2025-11-03,2025-11-03,2025-10-31,0.03474894811760598,3.7809982299804688,-197.2094885063172,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,PPL,2.0,36.470001220703125,72.94000244140625,0.0001983429487349,0.0,0.000199010979259,HOLD,0.0,0.0,35.79212377439342,36.02445983886719,2025-10-01,2025-10-01,2025-09-30,0.012367746354248865,1.3557548926194158,-699.9456566641634,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,WBS,1.0,71.94499969482422,71.94499969482422,0.0001956372759607,0.0,0.0001962961936224,HOLD,0.0,0.0,55.877403259277344,55.877403259277344,2025-11-03,2025-11-03,2025-10-31,0.2875508792166208,16.067596435546875,882.5786442089081,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,cash,CASH,0.0,1.0,95731.68258163208,0.2603194896498163,0.0,0.000582570303282,DEPLOY_CASH,0.0,0.0,1.0,1.0,,,,0.0,0.0,0.0,uninvested_cash,cash,0
