ticker,cluster_start,n_buy_txs,n_sell_txs,n_buyers_unique,n_sellers_unique,buy_value_usd,sell_value_usd,net_value_usd,fwd_21d_pct,fwd_63d_pct,fwd_126d_pct
AIT,2026-02-04,0,9,0,4,0.0,10808491.760000002,-10808491.760000002,0.6405094795403077,,
AIZ,2026-03-19,0,3,0,2,0.0,558331.4,-558331.4,7.383309759547374,,
AJG,2026-03-02,0,3,0,3,0.0,8095302.4,-8095302.4,-5.368098159509205,,
AKAM,2026-02-13,0,16,0,9,0.0,10304691.9008,-10304691.9008,0.7934231908995226,,
AKAM,2026-03-16,0,4,0,2,0.0,1009472.4786,-1009472.4786,-17.48862264326182,,
ALAB,2026-02-17,0,45,0,5,0.0,48724389.212999985,-48724389.212999985,-1.3532322919888595,,
ALAB,2026-04-01,0,32,0,4,0.0,102040583.9342,-102040583.9342,,,
ALB,2026-02-13,0,5,0,3,0.0,4338433.720000001,-4338433.720000001,2.20851947398224,,
ALGM,2026-02-17,0,3,0,2,0.0,816137.48,-816137.48,-24.3511090136857,,
ALGN,2026-02-18,0,1,0,1,0.0,1508645.6567,-1508645.6567,-7.91047964961008,,
ALK,2026-02-05,0,5,0,3,0.0,3204536.3200000003,-3204536.3200000003,-24.652654079088,,
ALL,2026-02-02,0,14,0,2,0.0,17566890.232100002,-17566890.232100002,7.34710286949094,,
ALL,2026-03-16,0,3,0,1,0.0,3510937.6861,-3510937.6861,4.224668962506684,,
ALLE,2026-02-18,3,2,1,1,299215.49,227026.0,72189.48999999999,-11.071494436589413,,
ALLY,2026-01-27,1,0,1,0,499306.5332,0.0,499306.5332,-1.7057569296375252,,
ALLY,2026-04-17,0,1,0,1,0.0,1792175.295,-1792175.295,,,
ALNY,2026-02-13,0,117,0,5,0.0,17062856.112600002,-17062856.112600002,3.3810943983402453,,
ALNY,2026-04-02,0,14,0,1,0.0,1274342.99,-1274342.99,,,
ALSN,2026-02-13,0,4,0,2,0.0,1354725.1924,-1354725.1924,-2.0388768898488063,,
AM,2026-03-09,0,3,0,3,0.0,1004690.0,-1004690.0,-0.6965607313887734,,
AMAT,2026-02-17,0,5,0,3,0.0,4484212.65,-4484212.65,-0.6903158547237442,,
AMD,2026-02-11,0,33,0,6,0.0,54130720.75,-54130720.75,-7.412089712974657,,
AMD,2026-04-06,0,3,0,1,0.0,9729140.0,-9729140.0,,,
AME,2026-03-24,0,1,0,1,0.0,114893.4,-114893.4,8.293783186880322,,
AMG,2026-03-06,0,2,0,2,0.0,2902528.0,-2902528.0,-10.652450030082228,,
AMGN,2026-02-19,0,3,0,2,0.0,21148385.1016,-21148385.1016,-7.85031469728491,,
AMH,2026-02-23,13,1,3,1,356760.0,205380.0,151380.0,-6.707317073170738,,
AMKR,2026-02-12,0,8,0,6,0.0,973112582.48,-973112582.48,-23.46448282001068,,
AMKR,2026-03-16,0,1,0,1,0.0,222700.0,-222700.0,42.637822749476605,,
AMKR,2026-04-16,0,1,0,1,0.0,297150.0,-297150.0,,,
AMP,2026-02-04,0,11,0,4,0.0,35599847.1708,-35599847.1708,-10.78388831242335,,
AMT,2026-02-17,1,14,1,5,494936.30000000005,21861794.62,-21366858.32,-3.659552316501824,,
AMZN,2026-02-11,0,32,0,6,0.0,14872243.057,-14872243.057,1.241785852338606,,
AMZN,2026-04-01,0,3,0,2,0.0,13138000.0,-13138000.0,,,
ANET,2026-02-02,0,33,0,4,0.0,10706265.9014,-10706265.9014,-12.092563849301552,,
ANET,2026-03-16,0,26,0,5,0.0,27501695.601400003,-27501695.601400003,15.572359062663788,,
ANET,2026-04-16,0,24,0,2,0.0,116453443.58879998,-116453443.58879998,,,
AON,2026-02-10,1,2,1,1,1276956.4000000001,3059765.13,-1782808.7299999997,2.1138106592769157,,
AOS,2026-02-13,0,2,0,1,0.0,110565.39919999999,-110565.39919999999,-16.603868374780205,,
APA,2026-03-18,0,1,0,1,0.0,833372.8,-833372.8,5.674055485849694,,
APD,2026-02-12,0,1,0,1,0.0,19944436.75,-19944436.75,-1.7602510745718614,,
APG,2026-02-26,0,20,0,5,0.0,153130242.3,-153130242.3,-8.91420911528149,,
APH,2026-02-05,1,4,1,3,1285080.0,112069848.3372,-110784768.3372,1.438461538461544,,
APLS,2026-02-11,0,1,0,1,0.0,8152.5616,-8152.5616,-18.556244464127538,,
APP,2026-03-10,0,189,0,4,0.0,175187595.73999995,-175187595.73999995,-24.366336059393312,,
APPF,2026-02-17,0,11,0,1,0.0,1181857.7,-1181857.7,-5.56583151168657,,
AR,2026-02-27,0,4,0,3,0.0,2299852.71,-2299852.71,31.32635253054099,,
ARE,2026-02-12,2,1,1,1,1347889.0,251792.09999999998,1096096.9,-9.951636904761907,,
ARE,2026-04-17,0,1,0,1,0.0,25835.2,-25835.2,,,
ARES,2026-02-04,2,7,2,1,1325826.4,529031.94,796794.46,-11.063829787234036,,
ARW,2026-02-11,1,8,1,4,601408.368,3891251.63,-3289843.262,-9.928214331495965,,
AS,2026-04-02,0,6,0,3,0.0,956672.9,-956672.9,,,
ASTS,2026-03-23,0,3,0,2,0.0,274452000.0,-274452000.0,-11.030801734682527,,
ATI,2026-02-10,0,6,0,2,0.0,9756748.07,-9756748.07,16.07695709862893,,
ATR,2026-02-10,0,2,0,2,0.0,770358.65,-770358.65,-4.658048674803195,,
AVGO,2026-03-16,0,95,0,7,0.0,356425613.6843,-356425613.6843,18.195927489446227,,
AVT,2026-02-02,0,4,0,4,0.0,6115388.99,-6115388.99,2.211892931559545,,
AVTR,2026-02-12,3,0,3,0,2399250.0,0.0,2399250.0,-17.73858921161826,,
AVY,2026-02-06,0,8,0,2,0.0,7499890.9568,-7499890.9568,-8.507880547490664,,
AVY,2026-03-09,0,16,0,1,0.0,12739486.767299999,-12739486.767299999,-6.757960365174787,,
AWI,2026-02-27,1,0,1,0,99998.25,0.0,99998.25,-7.6322834197186324,,
AXON,2026-02-25,0,56,0,9,0.0,34738897.2553,-34738897.2553,3.9863505909470964,,
AXP,2026-02-05,0,12,0,7,0.0,36398760.589999996,-36398760.589999996,-14.89241383210338,,
AXP,2026-03-13,0,1,0,1,0.0,4820.32,-4820.32,7.2642353174997565,,
AYI,2026-01-28,0,1,0,1,0.0,1538110.02,-1538110.02,-1.6847826086956674,,
AYI,2026-04-08,1,0,1,0,282980.0,0.0,282980.0,,,
AZO,2026-04-10,0,1,0,1,0.0,173936.0,-173936.0,,,
BA,2026-02-04,1,4,1,3,499966.0,4980701.136,-4480735.136,-4.7565944670812765,,
BAC,2026-02-27,0,6,0,6,0.0,24362329.506,-24362329.506,-10.19120458891013,,
BAH,2026-02-26,0,1,0,1,0.0,27506.5,-27506.5,6.949806949806958,,
BALL,2026-02-05,1,2,1,2,100056.87120000001,1422484.5186,-1322427.6474000001,-3.517975621046132,,
BBY,2026-03-23,0,6,0,6,0.0,4945275.693,-4945275.693,6.035031847133765,,
BC,2026-02-05,0,4,0,4,0.0,4879607.17,-4879607.17,-19.950124688279292,,
BDX,2026-01-26,0,2,0,2,0.0,189232.08000000002,-189232.08000000002,-9.564398632241433,-24.60478715496308,
BDX,2026-02-26,0,2,0,1,0.0,25400.25,-25400.25,-13.030503978779851,,
BG,2026-02-11,0,1,0,1,0.0,336889.0,-336889.0,6.302272535270759,,
BIIB,2026-02-02,1,2,1,1,585.105,665664.2000000001,-665079.0950000001,2.2958474623381075,,
BJ,2026-02-17,0,1,0,1,0.0,881580.0,-881580.0,-6.080949601089703,,
BJ,2026-04-10,0,5,0,3,0.0,2280244.74,-2280244.74,,,
BK,2026-04-17,0,4,0,4,0.0,6568302.358100001,-6568302.358100001,,,
BKNG,2026-02-02,0,62,0,2,0.0,4371881.629199999,-4371881.629199999,-16.953161236664915,,
BKNG,2026-03-16,0,30,0,1,0.0,5971707.337200001,-5971707.337200001,-95.72957092939363,,
BKNG,2026-04-17,0,1,0,1,0.0,216000.0,-216000.0,,,
BKR,2026-02-02,0,9,0,7,0.0,24854283.21,-24854283.21,11.598857958601005,,
BKR,2026-03-11,0,3,0,3,0.0,19627019.0,-19627019.0,6.875631951466121,,
BLDR,2026-03-13,1,0,1,0,4386500.0,0.0,4386500.0,1.073903002309473,,
BLK,2026-02-10,0,17,0,3,0.0,69823380.8328,-69823380.8328,-11.920548198907321,,
BMRN,2026-02-26,0,3,0,3,0.0,2977783.8308,-2977783.8308,-9.586588541666663,,
BMY,2026-04-01,0,2,0,1,0.0,1850016.4500000002,-1850016.4500000002,,,
BPOP,2026-01-30,0,2,0,2,0.0,517073.35,-517073.35,3.62476547842403,,
BR,2026-02-06,1,1,1,1,1030794.35,48727.799999999996,982066.5499999999,-2.3406014260617947,,
BRBR,2026-02-13,1,0,1,0,35500.0,0.0,35500.0,6.015891032917131,,
BRKR,2026-02-13,0,2,0,1,0.0,144760.0,-144760.0,-12.663289789389498,,
BRKR,2026-04-15,0,1,0,1,0.0,79800.0,-79800.0,,,
BRX,2026-02-12,0,1,0,1,0.0,232220.0,-232220.0,3.925692253767954,,
BSX,2026-02-02,0,2,0,1,0.0,15043394.380499998,-15043394.380499998,-21.041377098257254,,
BSY,2026-03-10,0,1,0,1,0.0,4001.0,-4001.0,-12.904027846842359,,
BURL,2026-02-02,0,12,0,1,0.0,251684.78999999998,-251684.78999999998,1.5277496113026423,,
BURL,2026-03-24,0,10,0,3,0.0,1474687.93,-1474687.93,5.7848645594651416,,
BWA,2026-02-13,0,9,0,6,0.0,4950475.354499999,-4950475.354499999,-22.14876033057851,,
BWXT,2026-02-12,0,8,0,3,0.0,2734811.1119999997,-2734811.1119999997,-2.201511335012596,,
BX,2026-02-17,3,0,1,0,68608.44750000001,0.0,68608.44750000001,-13.753272755274926,,
BXP,2026-02-05,0,3,0,2,0.0,476929.7708,-476929.7708,-16.930801820178875,,
BYD,2026-02-18,0,3,0,3,0.0,6231827.34,-6231827.34,-1.790434991588552,,
C,2026-02-11,0,8,0,6,0.0,17814001.3257,-17814001.3257,-13.630781825624238,,
C,2026-04-15,0,2,0,2,0.0,4963427.6,-4963427.6,,,
CACC,2026-01-30,0,31,0,4,0.0,13267359.440000001,-13267359.440000001,6.850013296693547,,
CACC,2026-04-17,0,20,0,5,0.0,12542209.764999999,-12542209.764999999,,,
CACI,2026-02-10,0,2,0,2,0.0,1362851.0,-1362851.0,-5.161077722158581,,
CAG,2026-04-14,2,0,2,0,608902.25,0.0,608902.25,,,
CAH,2026-02-06,0,4,0,3,0.0,2071230.62,-2071230.62,-2.1568800070428717,,
CAR,2026-02-20,10,10,1,2,40225004.13770001,258697.95130000004,39966306.186400004,3.266487492247272,,
CART,2026-02-25,0,6,0,3,0.0,5168597.725299999,-5168597.725299999,0.22044640396803317,,
CART,2026-04-15,0,1,0,1,0.0,377904.306,-377904.306,,,
CASY,2026-03-11,1,1,1,1,199628.99999999997,136608.0,63020.99999999997,9.97796846011132,,
CAT,2026-02-02,0,21,0,6,0.0,97686352.11,-97686352.11,9.86065474017279,,
CAT,2026-03-05,0,5,0,1,0.0,1797316.8499999999,-1797316.8499999999,-2.015109908876045,,
CAVA,2026-01-27,0,14,0,6,0.0,3568997.45,-3568997.45,36.96243005595525,,
CAVA,2026-03-05,0,1,0,1,0.0,1204950.0,-1204950.0,0.13832997987928142,,
CB,2026-02-05,0,9,0,5,0.0,24227943.5105,-24227943.5105,-0.4401274852026016,,
CB,2026-03-19,0,1,0,1,0.0,658600.0,-658600.0,0.8689554241112063,,
CBOE,2026-02-18,0,3,0,3,0.0,1628980.81,-1628980.81,0.9746657283603133,,
CBRE,2026-02-26,0,3,0,2,0.0,1448600.2,-1448600.2,-8.441999456669391,,
CBSH,2026-01-30,0,6,0,5,0.0,2053659.5061,-2053659.5061,-2.1373179496879002,,
CBSH,2026-03-05,1,2,1,2,119275.0,93326.835,25948.164999999994,-4.535885167464116,,
CCC,2026-03-09,0,2,0,1,0.0,344543.72,-344543.72,-4.792332268370602,,
CCI,2026-02-06,0,3,0,3,0.0,814044.9299999999,-814044.9299999999,14.495342605588867,,
CCK,2026-01-29,0,4,0,3,0.0,6555175.875,-6555175.875,9.94915091624291,,
CCK,2026-04-08,0,2,0,1,0.0,1588875.0,-1588875.0,,,
CCL,2026-02-10,0,1,0,1,0.0,12016891.029,-12016891.029,-20.847302651630606,,
CCL,2026-03-31,0,2,0,1,0.0,314265.504,-314265.504,,,
CDNS,2026-02-02,0,2,0,1,0.0,592870.0,-592870.0,1.440815224726677,,
CDNS,2026-03-17,0,9,0,3,0.0,6986470.2407,-6986470.2407,3.887674227931126,,
CELH,2026-03-02,0,1,0,1,0.0,147772.80000000002,-147772.80000000002,-36.93340794627867,,
CF,2026-02-20,0,36,0,8,0.0,72180104.2279,-72180104.2279,25.578121858033388,,
CFG,2026-03-11,0,1,0,1,0.0,769494.32,-769494.32,10.324333503141435,,
CFR,2026-01-30,0,1,0,1,0.0,137070.0,-137070.0,1.037688261151537,,
CG,2026-03-19,0,1,0,1,0.0,23340000.0,-23340000.0,10.39396479463537,,
CGNX,2026-02-12,0,16,0,6,0.0,18192626.401,-18192626.401,11.503602138043224,,
CHD,2026-02-04,0,1,0,1,0.0,1308960.0,-1308960.0,1.1035739597043737,,
CHD,2026-03-12,0,1,0,1,0.0,704074.0,-704074.0,-4.264071435737938,,
CHE,2026-03-12,0,2,0,1,0.0,1360415.0,-1360415.0,-4.191497814858969,,
CHH,2026-02-02,0,4,0,1,0.0,820579.3200000001,-820579.3200000001,3.005836575875498,,
CHH,2026-03-17,0,2,0,1,0.0,220342.0,-220342.0,20.15264026402641,,
CHRD,2026-03-03,0,6,0,5,0.0,3520745.12,-3520745.12,25.467702082597967,,
CHRW,2026-02-02,4,3,4,3,501571.352,3555415.2800000003,-3053843.9280000003,-0.8361118235444942,,
CHWY,2026-02-02,0,2,0,2,0.0,459012.28,-459012.28,-7.798007557540365,,
CHWY,2026-04-01,0,1,0,1,0.0,219289.59,-219289.59,,,
CI,2026-03-02,0,2,0,2,0.0,1163151.6600000001,-1163151.6600000001,-10.951625146642751,,
CIEN,2026-02-02,0,4,0,2,0.0,3465605.0184,-3465605.0184,32.2703625749573,,
CIEN,2026-03-16,0,26,0,7,0.0,20154894.946399998,-20154894.946399998,38.47590254312645,,
CINF,2026-02-11,1,0,1,0,162580.0,0.0,162580.0,0.6990005518425324,,
CL,2026-02-04,0,8,0,7,0.0,25050938.830700003,-25050938.830700003,-0.5152979066022634,,
CLF,2026-02-11,1,2,1,2,199626.01,39349380.0,-39149753.99,-27.302363488182557,,
CLH,2026-02-19,0,9,0,7,0.0,61973935.78999999,-61973935.78999999,4.781900452488674,,
CMCSA,2026-02-03,0,3,0,3,0.0,2280933.6099999994,-2280933.6099999994,8.448800270361613,,
CME,2026-02-06,0,4,0,4,0.0,1936700.0,-1936700.0,7.300423700316094,,
CME,2026-03-12,2,3,1,2,437148.6,3722861.34,-3285712.7399999998,-2.64728183826195,,
CMG,2026-02-06,0,2,0,2,0.0,2566398.6779,-2566398.6779,-8.218465539661912,,
CMI,2026-02-10,0,25,0,5,0.0,18397474.555999998,-18397474.555999998,-7.522697795071343,,
CMS,2026-02-20,1,3,1,3,153398.0,1579608.8199999998,-1426210.8199999998,-1.8852999340804089,,
CNA,2026-03-19,0,1,0,1,0.0,151103.38999999998,-151103.38999999998,5.194238323876044,,
CNM,2026-04-07,1,2,1,1,99970.54,262724.0589,-162753.51890000002,,,
CNXC,2026-01-29,1,0,1,0,37070.0,0.0,37070.0,-9.691629955947146,,
CNXC,2026-03-26,2,0,2,0,96839.25,0.0,96839.25,6.080259424402112,,
COF,2026-02-02,0,16,0,5,0.0,10804324.309999999,-10804324.309999999,-11.510528479422655,,
COF,2026-04-01,0,2,0,2,0.0,518037.51,-518037.51,,,
COHR,2026-02-12,0,5,0,4,0.0,3861050.8167,-3861050.8167,8.525191112700604,,
COHR,2026-03-16,0,4,0,1,0.0,1040942.8,-1040942.8,29.106936892404022,,
COIN,2026-02-06,0,22,0,4,0.0,59644777.05709999,-59644777.05709999,36.73008486175744,,
COIN,2026-03-16,0,2,0,1,0.0,2005933.5,-2005933.5,-5.687106837825395,,
COIN,2026-04-16,0,1,0,1,0.0,2004000.0,-2004000.0,,,
COLB,2026-01-30,0,1,0,1,0.0,403926.75,-403926.75,0.0,,
COLB,2026-03-03,0,4,0,3,0.0,158044.29,-158044.29,-5.544077134986225,,
COLD,2026-03-08,0,3,0,1,0.0,18197.5703,-18197.5703,-8.713029576338926,,
COP,2026-03-06,0,11,0,7,0.0,95999082.4585,-95999082.4585,12.686183872624547,,
COR,2026-02-18,0,2,0,1,0.0,1829492.46,-1829492.46,-9.664694280078901,,
CORT,2026-02-03,0,2,0,1,0.0,1113680.0117000001,-1113680.0117000001,-12.331122574306075,,
CORT,2026-03-17,2,3,1,2,3313808.7198,2554955.223,758853.4967999998,36.42013673088875,,
COST,2026-03-09,0,2,0,2,0.0,1427305.33,-1427305.33,1.5138763650936804,,
COTY,2026-02-10,2,0,2,0,213536.8,0.0,213536.8,-8.235294117647063,,
CPAY,2026-02-10,0,3,0,2,0.0,1847082.725,-1847082.725,-7.142255064482594,,
CPNG,2026-03-11,3,0,1,0,136562970.6873,0.0,136562970.6873,2.502606882168923,,
CPRT,2026-04-15,0,2,0,1,0.0,869723.9099999999,-869723.9099999999,,,
CPT,2026-02-18,0,3,0,2,0.0,253331.869,-253331.869,-7.400572114053716,,
CR,2026-01-29,5,1,4,1,987470.02,543851.35,443618.67000000004,10.01810500905249,,
CRCL,2026-02-03,0,33,0,10,0.0,48771161.769999996,-48771161.769999996,78.8481141692151,,
CRCL,2026-03-10,0,25,0,7,0.0,15000132.3,-15000132.3,-15.5579399141631,,
CRCL,2026-04-13,0,8,0,1,0.0,1425646.44,-1425646.44,,,
CRH,2026-03-11,2,0,2,0,601285.4,0.0,601285.4,8.675197591268358,,
CRL,2026-03-03,1,0,1,0,4363.5,0.0,4363.5,-3.420861094003702,,
CRM,2026-03-18,3,0,2,0,1000444.4150000002,0.0,1000444.4150000002,-7.214172341405966,,
CROX,2026-02-13,0,3,0,2,0.0,2203541.6185,-2203541.6185,-19.784684135689613,,
CRS,2026-02-19,0,5,0,2,0.0,8664024.9422,-8664024.9422,1.5876427132303528,,
CRUS,2026-02-04,0,5,0,5,0.0,4493644.79,-4493644.79,7.786161502648903,,
CRUS,2026-04-09,0,1,0,1,0.0,1591813.62,-1591813.62,,,
CRWD,2026-02-02,0,37,0,2,0.0,18875934.569999997,-18875934.569999997,-11.324067466385735,,
CRWD,2026-03-23,0,39,0,4,0.0,31595254.030000005,-31595254.030000005,9.92909535452322,,
CSCO,2026-02-13,0,14,0,4,0.0,3494832.6152,-3494832.6152,5.200000000000005,,
CSCO,2026-03-17,0,4,0,3,0.0,1265708.7613,-1265708.7613,4.385297845373892,,
CSGP,2026-02-27,4,0,4,0,3480554.4000000004,0.0,3480554.4000000004,-11.622222222222211,,
CSL,2026-02-10,0,18,0,5,0.0,28220482.59,-28220482.59,-12.128152149560623,,
CSX,2026-01-28,0,3,0,2,0.0,7454853.56,-7454853.56,13.220069020440661,,
CSX,2026-03-06,1,0,1,0,1006750.0000000001,0.0,1006750.0000000001,0.801944106925867,,
CTAS,2026-04-20,0,1,0,1,0.0,834607.42,-834607.42,,,
CTSH,2026-02-02,0,3,0,2,0.0,163740.34720000002,-163740.34720000002,-21.593955642213015,,
CTSH,2026-03-16,0,2,0,1,0.0,19852.440000000002,-19852.440000000002,-0.546629120424047,,
CTVA,2026-02-20,0,2,0,1,0.0,636199.7772,-636199.7772,0.40249285899767173,,
CUBE,2026-03-03,0,1,0,1,0.0,949419.8496,-949419.8496,-12.404397705544945,,
CVNA,2026-02-02,0,65,0,4,0.0,17824619.080000002,-17824619.080000002,-20.473186906334917,,
CVNA,2026-03-09,0,47,0,5,0.0,9867245.8,-9867245.8,0.7932011331444944,,
CVX,2026-01-28,0,24,0,7,0.0,43870306.3297,-43870306.3297,8.938183969239866,,
CVX,2026-03-02,0,15,0,5,0.0,111944994.06659998,-111944994.06659998,12.823945170272012,,
CW,2026-02-04,0,8,0,6,0.0,12650965.71,-12650965.71,0.5764756442745211,,
CW,2026-03-17,0,9,0,7,0.0,4911737.140000001,-4911737.140000001,7.0338090781469464,,
DAL,2026-02-02,0,10,0,7,0.0,51714686.543000005,-51714686.543000005,-1.957808468659894,,
DAL,2026-04-10,0,2,0,1,0.0,5797018.992,-5797018.992,,,
DAR,2026-02-13,0,10,0,4,0.0,2972608.25,-2972608.25,9.739614390777174,,
DASH,2026-02-02,0,58,0,9,0.0,33580975.326,-33580975.326,-14.250806372788583,,
DASH,2026-03-09,0,5,0,3,0.0,5279256.734,-5279256.734,-12.987665345761002,,
DASH,2026-04-15,0,9,0,2,0.0,2102118.4149999996,-2102118.4149999996,,,
DBX,2026-01-30,0,4,0,3,0.0,4475327.0774,-4475327.0774,-3.3681765389082408,,
DBX,2026-03-02,0,9,0,5,0.0,5994618.9128,-5994618.9128,-9.723889555822328,,
DBX,2026-04-15,0,1,0,1,0.0,32530.85,-32530.85,,,
DCI,2026-03-26,0,6,0,2,0.0,3515565.87,-3515565.87,2.112029384756653,,
DDOG,2026-01-28,0,28,0,2,0.0,13301516.467999998,-13301516.467999998,-15.73692207510311,,
DDOG,2026-03-02,0,50,0,10,0.0,64516400.4902,-64516400.4902,3.4387281171847084,,
DDOG,2026-04-06,0,21,0,4,0.0,16793770.1686,-16793770.1686,,,
DECK,2026-02-13,0,3,0,3,0.0,1048551.8,-1048551.8,-12.334080330977415,,
DELL,2026-03-02,0,293,0,7,0.0,754694826.95,-754694826.95,11.196650459211233,,
DELL,2026-04-09,0,54,0,4,0.0,322398890.5,-322398890.5,,,
DGX,2026-02-10,0,17,0,5,0.0,12789997.194500001,-12789997.194500001,4.867973856209162,,
DHI,2026-02-13,0,1,0,1,0.0,43563.0,-43563.0,-13.670332340968471,,
DHR,2026-02-19,0,1,0,1,0.0,274574.52,-274574.52,-8.846375143843488,,
DIS,2026-02-12,1,0,1,0,98790.59999999999,0.0,98790.59999999999,-8.166851646318907,,
DKNG,2026-02-17,1,6,1,3,2185000.0,12477302.03,-10292302.03,15.900735294117641,,
DKS,2026-03-31,0,7,0,2,0.0,42534449.784,-42534449.784,,,
DLB,2026-02-02,0,3,0,3,0.0,808030.9534,-808030.9534,0.8568312821311652,,
DLB,2026-04-01,0,1,0,1,0.0,60080.0,-60080.0,,,
DOCS,2026-02-02,0,3,0,2,0.0,190282.16,-190282.16,-28.022417934347477,,
DOCS,2026-03-10,0,1,0,1,0.0,58833.03,-58833.03,-14.240878775990584,,
DOCS,2026-04-10,0,1,0,1,0.0,51185.43,-51185.43,,,
DOCU,2026-02-27,0,9,0,4,0.0,872680.84,-872680.84,-0.021872265966749183,,
DOCU,2026-04-01,0,10,0,4,0.0,2241649.71,-2241649.71,,,
DOV,2026-02-11,0,3,0,3,0.0,19196268.5,-19196268.5,-11.190517692173596,,
DPZ,2026-03-11,0,10,0,3,0.0,2658375.0,-2658375.0,-6.796164985518816,,
DRI,2026-03-23,0,5,0,4,0.0,2732092.3773999996,-2732092.3773999996,-3.0041861610440868,,
DRS,2026-03-03,0,7,0,5,0.0,3677298.7800000003,-3677298.7800000003,-2.1323367773136925,,
DT,2026-03-03,1,3,1,1,107250.0,3332.85,103917.15,0.7354944156905407,,
DTM,2026-02-25,1,1,1,1,25221.050000000003,271851.57999999996,-246630.52999999997,-0.7436028286068264,,
DUK,2026-02-12,0,8,0,4,0.0,5567522.9732,-5567522.9732,6.349840255591066,,
DUOL,2026-02-17,1,16,1,4,498792.0,1676308.4256000002,-1177516.4256000002,-7.293239761925907,,
DV,2026-02-02,0,2,0,1,0.0,21020.0,-21020.0,-6.099815157116451,,
DVA,2026-01-29,0,1,0,1,0.0,199939880.72800002,-199939880.72800002,47.6199471099358,,
DXC,2026-02-02,1,0,1,0,250706.1132,0.0,250706.1132,-14.553014553014554,,
DXCM,2026-02-12,0,1,0,1,0.0,68826.12000000001,-68826.12000000001,-5.7373440939105125,,
DXCM,2026-03-16,0,2,0,1,0.0,217413.0,-217413.0,-2.008094645080938,,
EA,2026-02-17,0,9,0,4,0.0,3776165.942,-3776165.942,-0.2442428471737701,,
EA,2026-04-15,0,3,0,3,0.0,1767984.0,-1767984.0,,,
EBAY,2026-01-30,0,6,0,3,0.0,6227584.620000001,-6227584.620000001,-5.9633513399004245,,
EBAY,2026-03-02,0,13,0,5,0.0,8412362.600000001,-8412362.600000001,-3.1366938146599077,,
EBAY,2026-04-06,0,9,0,2,0.0,5294317.460000001,-5294317.460000001,,,
ECL,2026-02-13,0,7,0,6,0.0,10978997.88,-10978997.88,-9.172237187801379,,
ED,2026-02-27,1,2,1,2,115.55,1111545.4,-1111429.8499999999,0.8306247742867479,,
