ticker,date,bull_count,bear_count,bull_delta,bear_delta,event_type,fwd_21d_pct,fwd_63d_pct,fwd_126d_pct
AIZ,2026-04-01,10,0,0,0,no_change,,,
AJG,2026-02-01,15,1,-3,0,downgrade_wave_3,-9.68039459437784,,
AJG,2026-03-01,15,1,0,0,no_change,-5.368098159509205,,
AJG,2026-04-01,19,0,4,-1,upgrade_wave_3,,,
AKAM,2026-02-01,20,2,1,-1,upgrade_1,5.074626865671639,,
AKAM,2026-03-01,20,2,0,0,no_change,12.02357963207643,,
AKAM,2026-04-01,20,2,0,0,no_change,,,
ALAB,2026-02-01,22,0,1,0,upgrade_1,-27.101314566458644,,
ALAB,2026-03-01,22,0,0,0,no_change,-15.618951443238238,,
ALAB,2026-04-01,23,0,1,0,upgrade_1,,,
ALB,2026-02-01,17,1,5,0,upgrade_wave_3,-3.4577741311609955,,
ALB,2026-03-01,18,0,1,-1,upgrade_1,-0.8115520232831464,,
ALB,2026-04-01,18,0,0,0,no_change,,,
ALGM,2026-02-01,16,0,0,0,no_change,-5.933351395285824,,
ALGM,2026-03-01,17,0,1,0,upgrade_1,-23.114888949821765,,
ALGM,2026-04-01,18,0,1,0,upgrade_1,,,
ALGN,2026-02-01,15,1,1,0,upgrade_1,12.028461019444258,,
ALGN,2026-03-01,16,1,1,0,upgrade_1,-12.540768016833248,,
ALGN,2026-04-01,16,1,0,0,no_change,,,
ALK,2026-02-01,20,0,0,0,no_change,-2.124729490458388,,
ALK,2026-03-01,20,0,0,0,no_change,-33.74031007751939,,
ALK,2026-04-01,21,0,1,0,upgrade_1,,,
ALL,2026-02-01,18,1,-1,0,downgrade_1,7.34710286949094,,
ALL,2026-03-01,18,1,0,0,no_change,-3.3796382621666954,,
ALL,2026-04-01,17,1,-1,0,downgrade_1,,,
ALLE,2026-02-01,10,0,0,0,no_change,-4.250559284116317,,
ALLE,2026-03-01,10,0,0,0,no_change,-11.331058020477824,,
ALLE,2026-04-01,10,0,0,0,no_change,,,
ALLY,2026-02-01,21,0,2,0,upgrade_wave_2,-5.676442762535472,,
ALLY,2026-03-01,20,0,-1,0,downgrade_1,-3.879310344827591,,
ALLY,2026-04-01,19,0,-1,0,downgrade_1,,,
ALNY,2026-02-01,27,0,0,0,no_change,-5.74158433414188,,
ALNY,2026-03-01,28,0,1,0,upgrade_1,-5.0552685329809055,,
ALNY,2026-04-01,27,0,-1,0,downgrade_1,,,
ALSN,2026-02-01,9,1,0,0,no_change,14.811407543698252,,
ALSN,2026-03-01,9,1,0,0,no_change,-10.135674381484439,,
ALSN,2026-04-01,9,1,0,0,no_change,,,
AM,2026-02-01,0,8,0,0,no_change,21.253985122210416,,
AM,2026-03-01,0,8,0,0,no_change,2.8469750889679846,,
AM,2026-04-01,0,8,0,0,no_change,,,
AMAT,2026-02-01,33,0,6,0,upgrade_wave_3,8.997269793993556,,
AMAT,2026-03-01,35,0,2,0,upgrade_wave_2,-13.209777061509541,,
AMAT,2026-04-01,35,0,0,0,no_change,,,
AMCR,2026-02-01,15,0,0,0,no_change,6.598870056497175,,
AMCR,2026-03-01,15,0,0,0,no_change,-21.309105926078875,,
AMCR,2026-04-01,14,0,-1,0,downgrade_1,,,
AMD,2026-02-01,46,1,2,0,upgrade_wave_2,-19.33848688379166,,
AMD,2026-03-01,47,1,1,0,upgrade_1,-2.0828130463013905,,
AMD,2026-04-01,45,1,-2,0,downgrade_wave_2,,,
AME,2026-02-01,16,0,1,0,upgrade_1,5.031699258862399,,
AME,2026-03-01,17,0,1,0,upgrade_1,-12.896078923166954,,
AME,2026-04-01,18,0,1,0,upgrade_1,,,
AMG,2026-02-01,9,0,0,0,no_change,-0.8911175700277774,,
AMG,2026-03-01,9,0,0,0,no_change,-11.855771115030379,,
AMG,2026-04-01,9,0,0,0,no_change,,,
AMGN,2026-02-01,22,3,0,0,no_change,10.272610272610283,,
AMGN,2026-03-01,21,3,-1,0,downgrade_1,-10.088623248145101,,
AMGN,2026-04-01,21,3,0,0,no_change,,,
AMH,2026-02-01,15,1,-2,1,downgrade_wave_2,-4.725415070242656,,
AMH,2026-03-01,15,1,0,0,no_change,-6.900000000000006,,
AMH,2026-04-01,15,1,0,0,no_change,,,
AMKR,2026-02-01,9,1,-2,0,downgrade_wave_2,-7.738464721704929,,
AMKR,2026-03-01,9,1,0,0,no_change,-13.739021329987455,,
AMKR,2026-04-01,9,1,0,0,no_change,,,
AMP,2026-02-01,11,1,1,-1,upgrade_1,-11.667520248866637,,
AMP,2026-03-01,11,1,0,0,no_change,-6.740832127967322,,
AMP,2026-04-01,11,1,0,0,no_change,,,
AMT,2026-02-01,20,0,-1,0,downgrade_1,6.118920124944216,,
AMT,2026-03-01,19,0,-1,0,downgrade_1,-11.206087772333994,,
AMT,2026-04-01,19,0,0,0,no_change,,,
AMTM,2026-02-01,10,0,0,0,no_change,-14.309670206819458,,
AMTM,2026-03-01,10,0,0,0,no_change,-15.734851021091389,,
AMTM,2026-04-01,10,0,0,0,no_change,,,
AMZN,2026-02-01,71,0,-2,0,downgrade_wave_2,-12.774759715837869,,
AMZN,2026-03-01,71,0,0,0,no_change,-4.309523809523819,,
AMZN,2026-04-01,71,0,0,0,no_change,,,
AN,2026-02-01,15,0,1,0,upgrade_1,-4.868767684652154,,
AN,2026-03-01,15,0,0,0,no_change,-1.2553802008608228,,
AN,2026-04-01,16,0,1,0,upgrade_1,,,
ANET,2026-02-01,28,0,1,0,upgrade_1,-12.092563849301552,,
ANET,2026-03-01,28,0,0,0,no_change,-13.011235955056188,,
ANET,2026-04-01,29,0,1,0,upgrade_1,,,
AON,2026-02-01,18,2,-2,0,downgrade_wave_2,-3.0231094840407313,,
AON,2026-03-01,18,2,0,0,no_change,-3.4011983187766437,,
AON,2026-04-01,18,2,0,0,no_change,,,
AOS,2026-02-01,8,1,0,0,no_change,2.911960810994696,,
AOS,2026-03-01,8,1,0,0,no_change,-18.358974358974358,,
AOS,2026-04-01,8,1,0,0,no_change,,,
APA,2026-02-01,10,5,1,1,upgrade_1,20.598258235516866,,
APA,2026-03-01,10,5,0,0,no_change,44.02370760619032,,
APA,2026-04-01,10,5,0,0,no_change,,,
APD,2026-02-01,16,0,0,-1,no_change,0.1981651376146809,,
APD,2026-03-01,16,0,0,0,no_change,5.76413828127833,,
APD,2026-04-01,18,0,2,0,upgrade_wave_2,,,
APG,2026-02-01,14,0,0,0,no_change,4.137599230214084,,
APG,2026-03-01,15,0,1,0,upgrade_1,-12.03328834907783,,
APG,2026-04-01,15,0,0,0,no_change,,,
APH,2026-02-01,19,0,1,0,upgrade_1,-10.063853414769575,,
APH,2026-03-01,19,0,0,0,no_change,-18.423935369026424,,
APH,2026-04-01,20,0,1,0,upgrade_1,,,
APLS,2026-02-01,20,1,1,0,upgrade_1,-10.717449069973418,,
APLS,2026-03-01,20,1,0,0,no_change,-18.463740458015277,,
APLS,2026-04-01,12,0,-8,-1,downgrade_wave_3,,,
APO,2026-02-01,18,0,0,0,no_change,-20.41028690352311,,
APO,2026-03-01,18,0,0,0,no_change,5.114722753346079,,
APO,2026-04-01,18,0,0,0,no_change,,,
APP,2026-02-01,29,1,2,0,upgrade_wave_2,-7.23299021369238,,
APP,2026-03-01,29,1,0,0,no_change,-14.41911815442648,,
APP,2026-04-01,30,0,1,-1,upgrade_1,,,
APPF,2026-02-01,13,0,0,0,no_change,-0.7794396460922615,,
APPF,2026-03-01,13,0,0,0,no_change,-12.342484248424846,,
APPF,2026-04-01,14,0,1,0,upgrade_1,,,
APTV,2026-02-01,21,1,1,0,upgrade_1,-5.742574257425737,,
APTV,2026-03-01,22,1,1,0,upgrade_1,-9.38264889855861,,
APTV,2026-04-01,26,0,4,-1,upgrade_wave_3,,,
AR,2026-02-01,21,0,-1,0,downgrade_1,3.3544129777289156,,
AR,2026-03-01,22,0,1,0,upgrade_1,20.157565878837257,,
AR,2026-04-01,22,0,0,0,no_change,,,
ARE,2026-02-01,8,1,1,0,upgrade_1,-4.428989751098101,,
ARE,2026-03-01,8,1,0,0,no_change,-14.341228719467058,,
ARE,2026-04-01,7,1,-1,0,downgrade_1,,,
ARES,2026-02-01,15,0,0,0,no_change,-24.734415714572044,,
ARES,2026-03-01,17,0,2,0,upgrade_wave_2,-3.8835818230515184,,
ARES,2026-04-01,17,0,0,0,no_change,,,
ARMK,2026-02-01,18,0,0,0,no_change,6.157443491816039,,
ARMK,2026-03-01,19,0,1,0,upgrade_1,-3.7992831541218686,,
ARMK,2026-04-01,19,0,0,0,no_change,,,
ARW,2026-02-01,1,9,0,0,no_change,10.083779907917556,,
ARW,2026-03-01,1,9,0,0,no_change,-10.429810725552057,,
ARW,2026-04-01,1,9,0,0,no_change,,,
AS,2026-02-01,28,0,1,0,upgrade_1,0.791700791700789,,
AS,2026-03-01,28,0,0,0,no_change,-18.351764086361232,,
AS,2026-04-01,28,0,0,0,no_change,,,
ASH,2026-02-01,12,0,0,0,no_change,-2.517985611510787,,
ASH,2026-03-01,12,0,0,0,no_change,-16.180243745991017,,
ASH,2026-04-01,12,0,0,0,no_change,,,
ASTS,2026-02-01,9,2,-1,1,downgrade_1,-16.662170668105382,,
ASTS,2026-03-01,9,2,0,0,no_change,-6.781159237277445,,
ASTS,2026-04-01,9,2,0,0,no_change,,,
ATI,2026-02-01,13,0,0,0,no_change,30.473815461346643,,
ATI,2026-03-01,13,0,0,0,no_change,-17.170976221040412,,
ATI,2026-04-01,14,0,1,0,upgrade_1,,,
ATO,2026-02-01,6,0,0,0,no_change,11.81916556450644,,
ATO,2026-03-01,6,0,0,0,no_change,-0.9475882006531267,,
ATO,2026-04-01,6,0,0,0,no_change,,,
ATR,2026-02-01,8,0,-1,0,downgrade_1,11.852741096438567,,
ATR,2026-03-01,8,0,0,0,no_change,-14.160462041611588,,
ATR,2026-04-01,9,0,1,0,upgrade_1,,,
AU,2026-02-01,13,1,0,0,no_change,23.742866372348438,,
AU,2026-03-01,13,1,0,0,no_change,-29.12264224778899,,
AU,2026-04-01,13,1,0,0,no_change,,,
AUR,2026-02-01,8,0,0,0,no_change,9.523809523809511,,
AUR,2026-03-01,8,0,0,0,no_change,-17.09401709401709,,
AUR,2026-04-01,8,0,0,0,no_change,,,
AVB,2026-02-01,11,0,-1,0,downgrade_1,-0.19699442787189936,,
AVB,2026-03-01,10,0,-1,0,downgrade_1,-8.841618236190252,,
AVB,2026-04-01,9,0,-1,0,downgrade_1,,,
AVGO,2026-02-01,54,0,1,0,upgrade_1,-5.270147902203448,,
AVGO,2026-03-01,55,0,1,0,upgrade_1,-8.1802534814583,,
AVGO,2026-04-01,54,0,-1,0,downgrade_1,,,
AVT,2026-02-01,1,8,0,0,no_change,2.211892931559545,,
AVT,2026-03-01,1,8,0,0,no_change,-11.026731470230866,,
AVT,2026-04-01,1,8,0,0,no_change,,,
AVTR,2026-02-01,8,2,-1,0,downgrade_1,-19.597069597069606,,
AVTR,2026-03-01,8,2,0,0,no_change,-16.132596685082877,,
AVTR,2026-04-01,3,6,-5,4,downgrade_wave_3,,,
AVY,2026-02-01,12,1,0,0,no_change,2.7653495768422243,,
AVY,2026-03-01,12,0,0,-1,no_change,-14.36210847975553,,
AVY,2026-04-01,12,0,0,0,no_change,,,
AWI,2026-02-01,9,0,0,0,no_change,-7.543267660825082,,
AWI,2026-03-01,9,0,0,0,no_change,-7.9365994236311295,,
AWI,2026-04-01,9,0,0,0,no_change,,,
AWK,2026-02-01,6,1,0,-1,no_change,5.173081390846446,,
AWK,2026-03-01,5,1,-1,0,downgrade_1,2.051018157759321,,
AWK,2026-04-01,5,1,0,0,no_change,,,
AXON,2026-02-01,25,0,1,0,upgrade_1,19.75061003350016,,
AXON,2026-03-01,25,0,0,0,no_change,-23.475294985250738,,
AXON,2026-04-01,25,0,0,0,no_change,,,
AXP,2026-02-01,15,1,1,0,upgrade_1,-12.593349802652131,,
AXP,2026-03-01,15,1,0,0,no_change,-3.6937520233085053,,
AXP,2026-04-01,16,1,1,0,upgrade_1,,,
AXS,2026-02-01,11,0,-1,0,downgrade_1,1.1145570847063357,,
AXS,2026-03-01,11,0,0,0,no_change,-4.74839197881195,,
AXS,2026-04-01,11,0,0,0,no_change,,,
AXTA,2026-02-01,14,0,-2,0,downgrade_wave_2,-5.658129839189985,,
AXTA,2026-03-01,13,0,-1,0,downgrade_1,-20.11373840167613,,
AXTA,2026-04-01,13,0,0,0,no_change,,,
AYI,2026-02-01,9,0,0,0,no_change,-9.119130772215755,,
AYI,2026-03-01,9,0,0,0,no_change,-9.672071355151024,,
AYI,2026-04-01,9,0,0,0,no_change,,,
AZO,2026-02-01,27,0,-1,0,downgrade_1,-1.8119531678135292,,
AZO,2026-03-01,26,0,-1,0,downgrade_1,-10.998833735401714,,
AZO,2026-04-01,25,0,-1,0,downgrade_1,,,
BA,2026-02-01,31,0,0,0,no_change,-4.107479034742423,,
BA,2026-03-01,30,0,-1,0,downgrade_1,-16.841735155803626,,
BA,2026-04-01,31,0,1,0,upgrade_1,,,
BAC,2026-02-01,24,0,0,0,no_change,-6.071428571428584,,
BAC,2026-03-01,24,0,0,0,no_change,-5.217740317078068,,
BAC,2026-04-01,26,0,2,0,upgrade_wave_2,,,
BAH,2026-02-01,2,9,0,0,no_change,-10.427505089346301,,
BAH,2026-03-01,2,9,0,0,no_change,0.1522263097805565,,
BAH,2026-04-01,2,9,0,0,no_change,,,
BALL,2026-02-01,15,0,1,-1,upgrade_1,14.647441533321626,,
BALL,2026-03-01,16,0,1,0,upgrade_1,-13.55578727841501,,
BALL,2026-04-01,16,0,0,0,no_change,,,
BAM,2026-02-01,12,1,0,0,no_change,-6.316636491651584,,
BAM,2026-03-01,13,1,1,0,upgrade_1,-7.700534759358291,,
BAM,2026-04-01,13,1,0,0,no_change,,,
BAX,2026-02-01,2,7,0,0,no_change,-5.181863477827598,,
BAX,2026-03-01,5,1,3,-6,upgrade_wave_3,-22.434953362788413,,
BAX,2026-04-01,5,1,0,0,no_change,,,
BBWI,2026-02-01,10,0,0,0,no_change,2.8899082568807355,,
BBWI,2026-03-01,9,0,-1,0,downgrade_1,-17.970123022847094,,
BBWI,2026-04-01,9,0,0,0,no_change,,,
BBY,2026-02-01,11,1,0,0,no_change,1.3056835637480946,,
BBY,2026-03-01,10,1,-1,0,downgrade_1,3.130547038889775,,
BBY,2026-04-01,10,1,0,0,no_change,,,
BC,2026-02-01,16,0,0,0,no_change,-1.7452006980802848,,
BC,2026-03-01,16,0,0,0,no_change,-12.635016327555892,,
BC,2026-04-01,17,0,1,0,upgrade_1,,,
BDX,2026-02-01,7,0,0,0,no_change,-14.384706113622947,,
BDX,2026-03-01,9,0,2,0,upgrade_wave_2,-12.34700815956482,,
BDX,2026-04-01,9,0,0,0,no_change,,,
BEN,2026-02-01,3,9,0,0,no_change,-0.45078888054095323,,
BEN,2026-03-01,3,9,0,0,no_change,-13.677467972871138,,
BEN,2026-04-01,3,9,0,0,no_change,,,
BEPC,2026-02-01,8,0,0,0,no_change,-0.31219980787704493,,
BEPC,2026-03-01,8,0,0,0,no_change,-8.776035572197516,,
BEPC,2026-04-01,7,1,-1,1,downgrade_1,,,
BFAM,2026-02-01,10,1,0,0,no_change,-19.011119507718877,,
BFAM,2026-03-01,10,1,0,0,no_change,8.427267847557696,,
BFAM,2026-04-01,10,1,0,0,no_change,,,
BG,2026-02-01,18,0,1,0,upgrade_1,2.4060414471373415,,
BG,2026-03-01,19,0,1,0,upgrade_1,4.6663903854123445,,
BG,2026-04-01,19,0,0,0,no_change,,,
BHF,2026-02-01,1,6,0,0,no_change,-6.681236340930374,,
BHF,2026-03-01,1,6,0,0,no_change,-0.10003334444813605,,
BHF,2026-04-01,1,6,0,0,no_change,,,
BIIB,2026-02-01,20,1,0,0,no_change,2.2958474623381075,,
BIIB,2026-03-01,20,1,0,0,no_change,-2.2156188093003903,,
BIIB,2026-04-01,20,1,0,0,no_change,,,
BILL,2026-02-01,20,0,0,0,no_change,1.3203613620569765,,
BILL,2026-03-01,20,0,0,0,no_change,-16.33340822287126,,
BILL,2026-04-01,20,0,0,0,no_change,,,
BIO,2026-02-01,6,0,0,0,no_change,-4.599931903302689,,
BIO,2026-03-01,6,0,0,0,no_change,-2.9018819135181673,,
BIO,2026-04-01,6,0,0,0,no_change,,,
BIRK,2026-02-01,22,0,1,0,upgrade_1,9.480932203389836,,
BIRK,2026-03-01,23,0,1,0,upgrade_1,-18.199279711884753,,
BIRK,2026-04-01,22,0,-1,0,downgrade_1,,,
BJ,2026-02-01,18,1,-2,1,downgrade_wave_2,8.44872349632193,,
BJ,2026-03-01,18,1,0,0,no_change,0.16195971252150887,,
BJ,2026-04-01,18,1,0,0,no_change,,,
BK,2026-02-01,19,0,1,0,upgrade_1,-1.6427618412274803,,
BK,2026-03-01,18,0,-1,0,downgrade_1,-3.2913518052057,,
BK,2026-04-01,18,0,0,0,no_change,,,
BKNG,2026-02-01,35,0,1,0,upgrade_1,-16.953161236664915,,
BKNG,2026-03-01,37,0,2,0,upgrade_wave_2,-2.874025499192101,,
BKNG,2026-04-01,37,0,0,0,no_change,,,
BKR,2026-02-01,21,1,0,0,no_change,11.598857958601005,,
BKR,2026-03-01,22,1,1,0,upgrade_1,-7.01808152007356,,
BKR,2026-04-01,22,1,0,0,no_change,,,
BLD,2026-02-01,15,0,0,0,no_change,-7.544065804935373,,
BLD,2026-03-01,15,0,0,0,no_change,-25.186259201427617,,
BLD,2026-04-01,15,0,0,0,no_change,,,
BLDR,2026-02-01,15,1,-1,0,downgrade_1,-14.816433566433574,,
BLDR,2026-03-01,16,1,1,0,upgrade_1,-24.393518074599683,,
BLDR,2026-04-01,17,1,1,0,upgrade_1,,,
BLK,2026-02-01,18,0,0,0,no_change,-5.929719198527195,,
BLK,2026-03-01,20,0,2,0,upgrade_wave_2,-12.148829510077785,,
BLK,2026-04-01,19,0,-1,0,downgrade_1,,,
BMRN,2026-02-01,25,0,0,0,no_change,3.5196321188539104,,
BMRN,2026-03-01,25,0,0,0,no_change,-11.24250769479993,,
BMRN,2026-04-01,25,0,0,0,no_change,,,
BMY,2026-02-01,14,2,1,0,upgrade_1,11.207992733878292,,
BMY,2026-03-01,15,2,1,0,upgrade_1,-4.232804232804233,,
BMY,2026-04-01,15,2,0,0,no_change,,,
BOKF,2026-02-01,7,0,-1,0,downgrade_1,-1.1389872248730115,,
BOKF,2026-03-01,7,0,0,0,no_change,-0.43748011454024516,,
BOKF,2026-04-01,7,0,0,0,no_change,,,
BPOP,2026-02-01,13,0,1,0,upgrade_1,1.999550662772398,,
BPOP,2026-03-01,14,0,1,0,upgrade_1,-3.472222222222232,,
BPOP,2026-04-01,14,0,0,0,no_change,,,
BR,2026-02-01,12,0,0,0,no_change,-4.87037694688246,,
BR,2026-03-01,13,0,1,0,upgrade_1,-12.067574110937752,,
BR,2026-04-01,13,0,0,0,no_change,,,
BRBR,2026-02-01,17,0,0,0,no_change,-28.70928829915561,,
BRBR,2026-03-01,17,0,0,0,no_change,-12.234910277324628,,
BRBR,2026-04-01,17,0,0,0,no_change,,,
BRKR,2026-02-01,15,1,0,0,no_change,-11.334386994806945,,
BRKR,2026-03-01,15,1,0,0,no_change,-14.460234355522307,,
BRKR,2026-04-01,15,1,0,0,no_change,,,
BRO,2026-02-01,6,0,-1,-1,downgrade_1,0.08321775312067903,,
BRO,2026-03-01,5,0,-1,0,downgrade_1,-9.133945976051228,,
BRO,2026-04-01,6,0,1,0,upgrade_1,,,
BROS,2026-02-01,24,0,1,0,upgrade_1,-2.500459643316788,,
BROS,2026-03-01,24,0,0,0,no_change,-10.483118821115456,,
BROS,2026-04-01,28,0,4,0,upgrade_wave_3,,,
BRX,2026-02-01,18,0,0,0,no_change,14.371033967898473,,
BRX,2026-03-01,18,0,0,0,no_change,-5.186653452262968,,
BRX,2026-04-01,18,0,0,0,no_change,,,
BSX,2026-02-01,37,0,1,0,upgrade_1,-21.041377098257254,,
BSX,2026-03-01,37,0,0,0,no_change,-18.113207547169807,,
BSX,2026-04-01,38,0,1,0,upgrade_1,,,
BSY,2026-02-01,13,0,0,-1,no_change,10.364464692482912,,
BSY,2026-03-01,13,0,0,0,no_change,-5.389876880984945,,
BSY,2026-04-01,13,0,0,0,no_change,,,
BURL,2026-02-01,19,0,0,0,no_change,1.5277496113026423,,
BURL,2026-03-01,19,0,0,0,no_change,1.8346531104376451,,
BURL,2026-04-01,19,0,0,0,no_change,,,
BWA,2026-02-01,10,0,-1,0,downgrade_1,14.153132250580057,,
BWA,2026-03-01,11,1,1,1,upgrade_1,-8.719819350356095,,
BWA,2026-04-01,12,0,1,-1,upgrade_1,,,
BWXT,2026-02-01,12,0,-1,0,downgrade_1,0.1947135277223344,,
BWXT,2026-03-01,12,0,0,0,no_change,-6.986115156811334,,
BWXT,2026-04-01,14,1,2,1,upgrade_wave_2,,,
BX,2026-02-01,19,0,0,0,no_change,-22.117680101109382,,
BX,2026-03-01,21,0,2,0,upgrade_wave_2,-1.5612595924847983,,
BX,2026-04-01,21,0,0,0,no_change,,,
BXP,2026-02-01,14,0,1,0,upgrade_1,-14.566259471161281,,
BXP,2026-03-01,13,0,-1,0,downgrade_1,-10.0034734282737,,
BXP,2026-04-01,13,0,0,0,no_change,,,
BYD,2026-02-01,10,0,0,0,no_change,-3.7378755618642234,,
