rebalance_date,regime_state,active,gross_return,cost,turnover,net_return,n_positions,selected_tickers,equity,drawdown
2021-10-29,bull,True,0.002718948390695345,0.000125,0.025,0.002593948390695345,3,"PCTY,U,DDOG",1.0246558526142489,0.0
2021-11-30,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.024527770632672,-0.00012499999999993072
2021-12-31,bull,True,-0.002512838261214289,0.000125,0.025,-0.002637838261214289,3,"QCOM,KNSL,TER",1.0218252320796206,-0.0027625085314316733
2022-01-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0216975039256107,-0.0028871632178651963
2022-02-28,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-03-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-04-29,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-05-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-06-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-07-29,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-08-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-09-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-10-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-11-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2022-12-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2023-01-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2023-02-28,neutral,False,0.0,0.0,0.0,0.0,0,,1.0216975039256107,-0.0028871632178651963
2023-03-31,bull,True,0.0005336437921901549,0.000125,0.025,0.00040864379219015493,3,"NVDA,AMD,WST",1.0221150142680862,-0.002479699247000977
2023-04-28,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0219872498913025,-0.0026043892845952765
2023-05-31,bull,True,7.680942914594822e-05,0.000125,0.025,-4.8190570854051784e-05,3,"GOOG,ENTG,GOOGL",1.0219379997423248,-0.0026524543484428564
2023-06-30,bull,True,0.0004677852792333867,0.00016666666666666666,0.03333333333333333,0.00030111861256672007,3,"ENTG,LAD,GTLS",1.0222457242949365,-0.0023521344392493093
2023-07-31,bull,True,-0.0013371417807506118,0.00016666666666666666,0.03333333333333333,-0.0015038084474172785,3,"ENTG,MRVL,WMS",1.0207084625394056,-0.003852405727027386
2023-08-31,bull,True,-0.0035000000000000005,0.00016666666666666666,0.03333333333333333,-0.003666666666666667,3,"MTDR,GTLS,WMS",1.0169658648434277,-0.007504946906028431
2023-09-29,bear,False,0.0,0.000125,0.025,-0.000125,0,,1.0168387441103222,-0.007629008787665259
2023-10-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0168387441103222,-0.007629008787665259
2023-11-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0168387441103222,-0.007629008787665259
2023-12-29,bull,True,0.00166546016496968,0.000125,0.025,0.0015404601649696799,3,"FHN,SLM,GEN",1.018405143689822,-0.006100300806830994
2024-01-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0182778430468609,-0.006224538269230084
