rebalance_date,ticker,weight,target_weight,sector,industry_group,primary_lane,holding_state,hold_replace_decision,crisis_state,market_style_regime_label,regime_state,regime_capacity_regime,selection_confirmation_score,breakout_setup_quality_score,volatility_contraction_score,rs_benchmark_1m,ticker_ret_1m,rs_benchmark_3m,ticker_ret_3m,atr14_pct,price_above_ma50,price_above_ma200,spy_1m_return,qqq_1m_return,benchmark_risk_score,linked_mdd_position_pnl_usd
2022-07-29,FANG,0.02,0.02,Energy,Oil Gas & Consumable Fuels,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,1.0,-0.2062314155934416,0.1408590776252553,-0.0507013829367443,0.0466848037149012,0.0319341365483116,0.0385772374277089,0.1955611089513434,0.0,1.0,0.0832150193234224,0.1115573539798686,2.0,-2813.149139404297
2022-07-29,CTAS,0.0226006570541529,0.0226006570541529,Industrials,Commercial Services,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,1.0,0.4663450517633345,0.3572918579978112,0.0450218778871055,0.1424080645387511,0.0671971136362019,0.0738402145155991,0.0502327787978359,1.0,1.0,0.0832150193234224,0.1115573539798686,2.0,-1929.0103149414062
2022-07-29,BRKR,0.0215303881004145,0.0215303881004145,Health Care,Medical Devices,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,1.0,0.2220186817012265,0.1198230351468173,-0.0084267705520547,0.0889594160995908,0.1866675769885324,0.1933106778679296,0.0393997052941347,1.0,0.0,0.0832150193234224,0.1115573539798686,2.0,-730.1626853942871
2022-08-31,WCC,0.0483046748912587,0.0483046748912587,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,balanced,bear,bear,1.0,0.3682328601469065,0.311215184883306,0.0760995340887826,0.0300376264918689,0.0816806799104417,0.0485746872318013,0.0476167510255436,1.0,1.0,-0.0408020789255602,-0.0513217362682673,4.0,-6250.767700195314
2022-08-31,CTAS,0.0123483564305119,0.0123483564305119,Industrials,Commercial Services,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,balanced,bear,bear,1.0,0.4907805136515857,0.2979943731884971,0.0047964401060731,-0.0412654674908405,0.0572114870024627,0.0241054943238223,0.0418247302105987,1.0,1.0,-0.0408020789255602,-0.0513217362682673,4.0,-1929.0103149414062
2022-10-31,WCC,0.0320992713497004,0.0320992713497004,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,1.0,0.6275504841760151,-0.1588205071853645,0.0934091937992408,0.1540460512017005,0.1656983102487549,0.0776753054141963,0.0576048491214757,1.0,1.0,0.0812754508670126,0.0399982639379068,3.0,-6250.767700195314
2022-10-31,LOPE,0.0825,0.0825,Consumer Discretionary,Other,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,1.0,0.4932837817350452,-0.331581024456665,0.1628281547971507,0.2234650121996104,0.135488369392475,0.0474653645579163,0.0343053236313735,1.0,1.0,0.0812754508670126,0.0399982639379068,3.0,-3880.540023803711
2022-10-31,JBL,0.0398304379287147,0.0398304379287147,Information Technology,Tech Hardware & Storage,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,1.0,0.4562263989765468,-0.0409288229575177,0.05268849200336,0.1133253494058197,0.1721713660800203,0.0841483612454616,0.0360551101045223,1.0,1.0,0.0812754508670126,0.0399982639379068,3.0,-692.3738174438477
2022-11-30,ORLY,0.0977600501884143,0.0977600501884143,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,turnaround_accumulation,neutral,neutral,0.4408666666666666,0.7241725475641598,0.1634592058116867,-0.0118000504029877,0.0337678019393514,0.2359889584618124,0.2381348224998849,0.019120827713983,1.0,1.0,0.0479667726820136,0.0431689320026646,1.0,-15135.35366821289
2022-11-30,MA,0.1088200647438687,0.1088200647438687,Financials,Consumer Finance,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,turnaround_accumulation,neutral,neutral,1.0,0.4222675822197881,-0.2232867804921872,0.0361695874584827,0.0817374398008219,0.0868234224071164,0.0889692864451889,0.0368302644469806,1.0,1.0,0.0479667726820136,0.0431689320026646,1.0,-12456.719299316403
2022-11-30,LOPE,0.0637122208528123,0.0637122208528123,Consumer Discretionary,Other,MARKET_LEADER,HOLD,keep_prior_holding,DEFENSE_REVIEW,turnaround_accumulation,neutral,neutral,0.2451249999999999,0.6750796050078066,0.5238740768500475,0.0814130868708621,0.1269809392132013,0.3765883970219212,0.3787342610599937,0.0215163838329708,1.0,1.0,0.0479667726820136,0.0431689320026646,1.0,-3880.540023803711
2022-11-30,JBL,0.285,0.285,Information Technology,Tech Hardware & Storage,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,turnaround_accumulation,neutral,neutral,1.0,0.6638794714097797,0.032360223418574,0.0604374132241581,0.1060052655664973,0.1831189333870883,0.1852647974251609,0.0312070758271015,1.0,1.0,0.0479667726820136,0.0431689320026646,1.0,-692.3738174438477
