date,leader_basket_level,available_tickers,target_tickers,available_weight
2021-02-26,208.8631772865357,2,2,0.9999999999999999
2021-03-01,214.24523833074818,2,2,0.9999999999999999
2021-03-02,210.7629303808641,2,2,0.9999999999999999
2021-03-03,207.49330402300143,2,2,0.9999999999999999
2021-03-04,206.35347246455876,2,2,0.9999999999999999
2021-03-05,214.39738240957513,2,2,0.9999999999999999
2021-03-08,212.91907408775631,2,2,0.9999999999999999
2021-03-09,214.93370342196454,2,2,0.9999999999999999
2021-03-10,216.26074555735968,2,2,0.9999999999999999
2021-03-11,222.27334010123977,2,2,0.9999999999999999
2021-03-12,220.76076671771025,2,2,0.9999999999999999
2021-03-15,225.34230705063743,2,2,0.9999999999999999
2021-03-16,225.70702030119247,2,2,0.9999999999999999
2021-03-17,227.78270807547617,2,2,0.9999999999999999
2021-03-18,222.51732387095288,2,2,0.9999999999999999
2021-03-19,222.85745194444073,2,2,0.9999999999999999
2021-03-22,223.97072584553507,2,2,0.9999999999999999
2021-03-23,218.70404561988596,2,2,0.9999999999999999
2021-03-24,215.78260143125667,2,2,0.9999999999999999
2021-03-25,222.78577461012353,2,2,0.9999999999999999
2021-03-26,227.1587998466448,2,2,0.9999999999999999
2021-03-29,223.8998253952755,2,2,0.9999999999999999
2021-03-30,225.14492718256042,2,2,0.9999999999999999
2021-03-31,225.56118975419713,2,2,0.9999999999999999
2021-04-01,231.06209543164124,2,2,0.9999999999999999
2021-04-05,233.74688304712717,2,2,0.9999999999999999
2021-04-06,233.65466666669195,2,2,0.9999999999999999
2021-04-07,231.61574692650876,2,2,0.9999999999999999
2021-04-08,235.67223716209872,2,2,0.9999999999999999
2021-04-09,238.10039921809033,2,2,0.9999999999999999
2021-04-12,238.16476080285418,2,2,0.9999999999999999
2021-04-13,239.82978580672687,2,2,0.9999999999999999
2021-04-14,239.4577222940641,2,2,0.9999999999999999
2021-04-15,242.71139844268055,2,2,0.9999999999999999
2021-04-16,244.1321048251122,2,2,0.9999999999999999
2021-04-19,242.4732725882883,2,2,0.9999999999999999
2021-04-20,244.4248684122515,2,2,0.9999999999999999
2021-04-21,244.62874018841694,2,2,0.9999999999999999
2021-04-22,244.94332644193253,2,2,0.9999999999999999
2021-04-23,248.06177944749913,2,2,0.9999999999999999
2021-04-26,245.2718704052848,2,2,0.9999999999999999
2021-04-27,246.2841834805497,2,2,0.9999999999999999
2021-04-28,243.00405446176586,2,2,0.9999999999999999
2021-04-29,248.47110042611547,2,2,0.9999999999999999
2021-04-30,248.7567590823405,2,2,0.9999999999999999
2021-05-03,248.4531734828138,2,2,0.9999999999999999
2021-05-04,247.432171808763,2,2,0.9999999999999999
2021-05-05,247.60941205019932,2,2,0.9999999999999999
2021-05-06,249.1520171030939,2,2,0.9999999999999999
2021-05-07,250.30329156776048,2,2,0.9999999999999999
2021-05-10,247.36113751955514,2,2,0.9999999999999999
2021-05-11,245.0429428348442,2,2,0.9999999999999999
2021-05-12,238.81737864738147,2,2,0.9999999999999999
2021-05-13,241.37531901714334,2,2,0.9999999999999999
2021-05-14,244.0293543909819,2,2,0.9999999999999999
2021-05-17,244.26843402674592,2,2,0.9999999999999999
2021-05-18,242.1986205701946,2,2,0.9999999999999999
2021-05-19,241.23886267380277,2,2,0.9999999999999999
2021-05-20,244.61476830510986,2,2,0.9999999999999999
2021-05-21,243.52505240813824,2,2,0.9999999999999999
2021-05-24,245.08410098038803,2,2,0.9999999999999999
2021-05-25,244.7315373744597,2,2,0.9999999999999999
2021-05-26,245.15481258867035,2,2,0.9999999999999999
2021-05-27,243.10316377347513,2,2,0.9999999999999999
2021-05-28,245.68482841094632,2,2,0.9999999999999999
2021-06-01,245.2825034697519,2,2,0.9999999999999999
2021-06-02,250.1184265012193,2,2,0.9999999999999999
2021-06-03,251.75100541937834,2,2,0.9999999999999999
2021-06-04,253.73565128927606,2,2,0.9999999999999999
2021-06-07,252.88335953177585,2,2,0.9999999999999999
2021-06-08,255.5278570771763,2,2,0.9999999999999999
2021-06-09,256.6346208828762,2,2,0.9999999999999999
2021-06-10,254.7752140857311,2,2,0.9999999999999999
2021-06-11,257.9187118673082,2,2,0.9999999999999999
2021-06-14,260.3545245823291,2,2,0.9999999999999999
2021-06-15,261.25101602145725,2,2,0.9999999999999999
2021-06-16,260.33117580005126,2,2,0.9999999999999999
2021-06-17,262.724621855171,2,2,0.9999999999999999
2021-06-18,256.00423110882724,2,2,0.9999999999999999
2021-06-21,261.3849356009645,2,2,0.9999999999999999
2021-06-22,256.7164557183394,2,2,0.9999999999999999
2021-06-23,255.42229603015215,2,2,0.9999999999999999
2021-06-24,254.86711386750326,2,2,0.9999999999999999
2021-06-25,254.50210958459382,2,2,0.9999999999999999
2021-06-28,253.19690811693343,2,2,0.9999999999999999
2021-06-29,251.154040946825,2,2,0.9999999999999999
2021-06-30,249.3184190644796,2,2,1.0
2021-07-01,250.9421929181429,2,2,1.0
2021-07-02,254.07726771864404,2,2,1.0
2021-07-06,255.1063859770763,2,2,1.0
2021-07-07,256.18504696610825,2,2,1.0
2021-07-08,253.63871303296452,2,2,1.0
2021-07-09,256.23236885421176,2,2,1.0
2021-07-12,257.6218291474783,2,2,1.0
2021-07-13,257.81405453530107,2,2,1.0
2021-07-14,256.55589885167524,2,2,1.0
2021-07-15,256.49411359056234,2,2,1.0
2021-07-16,258.43943532326256,2,2,1.0
2021-07-19,257.7435843981904,2,2,1.0
2021-07-20,260.4696680752129,2,2,1.0
2021-07-21,264.5607889832952,2,2,1.0
2021-07-22,266.36326475623724,2,2,1.0
2021-07-23,270.19050371748835,2,2,1.0
2021-07-26,267.7699823399987,2,2,1.0
2021-07-27,267.3813041615866,2,2,1.0
2021-07-28,268.945641723548,2,2,1.0
2021-07-29,271.43788523548307,2,2,1.0
2021-07-30,271.10638124531664,2,2,1.0
2021-08-02,273.6483046705695,2,2,1.0
2021-08-03,275.89191736824404,2,2,1.0
2021-08-04,277.31721633503264,2,2,1.0
2021-08-05,280.4076276351698,2,2,1.0
2021-08-06,280.87251916741025,2,2,1.0
2021-08-09,280.9726128280885,2,2,1.0
