feature,importance_gain,importance_split,importance_gain_pct
breakout_distance_63d,0.0,0,0.0
volume_dryup_20d,0.0,0,0.0
breakout_volume_z,0.0,0,0.0
breakout_fresh_20d,0.0,0,0.0
near_52w_high_pct,0.0,0,0.0
ma200_slope_1m,0.0,0,0.0
death_cross_recent_20d,0.0,0,0.0
golden_cross_fresh_20d,0.0,0,0.0
mom_36m,0.0,0,0.0
dist_ma200,0.0,0,0.0
uptrend_breakdown_penalty,0.0,0,0.0
uptrend_continuation_score,0.0,0,0.0
value_inflection_score,0.0,0,0.0
cashflow_inflection_under_loss_score,0.0,0,0.0
fundamental_turnaround_acceleration_score,0.0,0,0.0
shares_yoy,0.0,0,0.0
revision_blueprint_score,0.0,0,0.0
long_hold_compounder_score,0.0,0,0.0
future_winner_scout_score,0.0,0,0.0
growth_blueprint_score,0.0,0,0.0
macro_hedge_score,0.0,0,0.0
debt_to_equity_delta_4q,0.0,0,0.0
event_reaction_score,0.0,0,0.0
dollar_vol_20d,0.0,0,0.0
vix_z_63d,0.0,0,0.0
spy_ret_1m,0.0,0,0.0
spy_ret_3m,0.0,0,0.0
qqq_rel_spy_1m,0.0,0,0.0
val_residual_fcfy,0.0,0,0.0
strategy_blueprint_score,0.0,0,0.0
val_residual_ep,0.0,0,0.0
val_residual_sp,0.0,0,0.0
technical_blueprint_score,0.0,0,0.0
moat_quality_blueprint_score,0.0,0,0.0
valuation_blueprint_score,0.0,0,0.0
ppi_yoy,0.0,0,0.0
ung_ret_1m,0.0,0,0.0
dba_ret_1m,0.0,0,0.0
gld_ret_1m,0.0,0,0.0
slv_ret_1m,0.0,0,0.0
sahm_realtime,0.0,0,0.0
unrate_3m_change,0.0,0,0.0
unrate_level,0.0,0,0.0
ppi_cpi_gap,0.0,0,0.0
tga_change_1m_bil,0.0,0,0.0
reverse_repo_bil,0.0,0,0.0
reverse_repo_change_1m_bil,0.0,0,0.0
quality_trend_score,0.0,0,0.0
archetype_emerging_growth_score,0.0,0,0.0
archetype_compounder_score,0.0,0,0.0
archetype_cyclical_recovery_score,0.0,0,0.0
archetype_defensive_value_score,0.0,0,0.0
archetype_alignment_score,0.0,0,0.0
moat_proxy_score,0.0,0,0.0
profitability_inflection_score,0.0,0,0.0
anticipatory_growth_score,0.0,0,0.0
upstream_cost_pressure_score,0.0,0,0.0
liquidity_regime_score,0.0,0,0.0
inflation_pressure_score,0.0,0,0.0
fear_greed_risk_off_score,0.0,0,0.0
fear_greed_risk_on_score,0.0,0,0.0
net_liquidity_change_1m_bil,0.0,0,0.0
liquidity_impulse_score,0.0,0,0.0
liquidity_drain_score,0.0,0,0.0
fed_assets_change_1m_bil,0.0,0,0.0
macro_materials_copper_interaction,0.0,0,0.0
macro_momentum_regime_interaction,0.0,0,0.0
within_sector_leader_score,0.0,0,0.0
macro_duration_rate_interaction,0.0,0,0.0
macro_defensive_riskoff_interaction,0.0,0,0.0
stagflation_score,0.0,0,0.0
labor_softening_score,0.0,0,0.0
market_breadth_above_ma200,0.0,0,0.0
dynamic_leader_score,0.0,0,0.0
leader_safety_score,0.0,0,0.0
leader_emergence_score,0.0,0,0.0
market_sector_participation,0.0,0,0.0
market_breadth_above_ma150,0.0,0,0.0
market_near_high_ratio,0.0,0,0.0
market_trend_template_ratio,0.0,0,0.0
bench_ret_1m,0.0,0,0.0
market_breadth_regime_score,0.0,0,0.0
market_leadership_narrowing,0.0,0,0.0
bench_ret_6m,0.0,0,0.0
rs_benchmark_3m,0.0,0,0.0
macro_tech_leadership_interaction,0.0,0,0.0
macro_semis_cycle_interaction,0.0,0,0.0
macro_energy_oil_interaction,0.0,0,0.0
dd_gap_benchmark,0.0,0,0.0
rs_benchmark_12m,0.0,0,0.0
rs_benchmark_6m,0.0,0,0.0
carry_unwind_stress_score,0.0,0,0.0
growth_reentry_score,0.0,0,0.0
live_event_risk_score,0.0,0,0.0
live_event_systemic_score,0.0,0,0.0
live_event_war_oil_rate_score,0.0,0,0.0
live_event_defensive_score,0.0,0,0.0
live_event_growth_reentry_score,0.0,0,0.0
actual_report_age_days_latest,0.0,0,0.0
actual_report_age_days,0.0,0,0.0
actual_priority_weight,0.0,0,0.0
proxy_fallback_weight,0.0,0,0.0
actual_results_score,0.0,0,0.0
fundamental_pillar_score,0.0,0,0.0
technical_pillar_score,0.0,0,0.0
event_revision_pillar_score,0.0,0,0.0
macro_pillar_score,0.0,0,0.0
compounder_pillar_score,0.0,0,0.0
multidimensional_breadth_score,0.0,0,0.0
multidimensional_confirmation_score,0.0,0,0.0
rs_industry_1m,0.0,0,0.0
rs_industry_3m,0.0,0,0.0
rs_industry_6m,0.0,0,0.0
rs_industry_12m,0.0,0,0.0
rs_industry_group_1m,0.0,0,0.0
rs_industry_group_3m,0.0,0,0.0
rs_industry_group_6m,0.0,0,0.0
rs_industry_group_12m,0.0,0,0.0
oneil_leadership_score,0.0,0,0.0
ni_loss_narrowing_4q,0.0,0,0.0
