portfolio_kind,ticker,current_weight,watchlist_source,target_weight,forward_pe_final,valuation_blueprint_score,fcf_margin,sales_growth_yoy,eps_growth_yoy,market_cap_live,dollar_vol_20d,score,rs_benchmark_3m,rs_benchmark_6m,price_available,price_latest_date,close,ret_1m,ret_3m,ret_6m,spy_excess_3m,qqq_excess_3m,price_to_ma50,price_to_ma200,drawdown_from_63d_high,decision_cadence,weekly_review_action,weekly_review_reason,full_universe_rerank_today
main,FIX,0.0300763067578858,current_holding,,67.7297544051759,-0.6517497357854887,,0.2951507767511407,0.9786661099938117,69257602205.04785,854117625.5645752,2.705421978431265,0.2271050865587029,0.9302666309082748,True,2026-06-18,1967.4100341796875,0.07773762485877156,0.36244018885962226,1.0332509285674818,0.2246585109885053,0.11196996089541367,1.0748264238829592,1.5707205109877007,-0.03632021819061526,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,COHR,0.0223329660068301,current_holding,,168.7839,-0.4584878952184213,,0.0,,76215211714.87518,2294692389.539032,4.765453058660571,0.2783528788656038,1.1205888422381989,True,2026-06-18,389.57000732421875,0.10163165439911181,0.41368798116652306,1.2235731398974057,0.2759063032954061,0.16321775320231446,1.090507337976169,1.7399157486174255,-0.08742300368621503,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,TER,0.0133891933358586,current_holding,,73.9034,-1.0007571517055345,,0.1312623232194278,0.0583978143884178,68552945685.04657,1752436857.793274,5.76151172257568,0.3133600510624006,1.176222150552635,True,2026-06-18,437.9200134277344,0.3625449113139527,0.4486951533633199,1.2792064482118417,0.31091347549220294,0.1982249253991113,1.1767530223079827,1.7292423742479663,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,KEYS,0.0088025696709978,current_holding,,73.11708326505601,-0.6880396368751762,,0.0795340429805182,,62149520775.29761,569607536.0745239,1.1763654542177129,0.1177920267973466,0.672141499652946,True,2026-06-18,363.6700134277344,0.056842372813413755,0.25312712909826596,0.775125797312153,0.11534545122714901,0.0026569011340573656,1.0574329554898378,1.4755155170790029,-0.008208735977335735,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,STM,0.0,current_target,0.1062470352186422,223.8023,-1.0821050474767604,,-0.0753075777760363,,69672566784.0,1031869023.4947205,3.778528804793869,1.2895099248503783,1.9276044997852988,True,2026-06-18,78.38999938964844,0.2802547766732413,1.4248450271512976,2.030588797444506,1.2870633492801806,1.174374799187089,1.2933509204912323,2.1515879075916207,-0.016560026470773703,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,MRVL,0.0,current_target,0.0852620036506741,101.805,-1.3408915964642878,,0.4208728521145077,-4.083649025385388,271695372253.418,19489381590.2211,5.8289145813130965,2.3354060219461927,2.5958266283342084,True,2026-06-18,310.5799865722656,0.7619559712054096,2.470741124247112,2.6988109259934157,2.332959446375995,2.220270896282903,1.569054920987066,2.7485670249978704,-0.01848752090169159,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,ON,0.0,current_target,0.056486650620838,79.781,-0.5262626933638808,,-0.153467094023128,-0.917983804693278,47663267165.81426,1463654814.4451904,4.987711213692379,0.915938314271608,1.1261212684216468,True,2026-06-18,121.62000274658203,0.1471421108985278,1.0512734165725273,1.2291055660808539,0.9134917387014103,0.8008031886083187,1.1517220238611396,1.775282710344362,-0.09191361608597515,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,PWR,0.0,current_target,0.0527095682414274,96.134,-1.163531005992431,,0.2030559551586537,0.1221205539225891,105379739635.25,801405101.4453125,2.9867530686251142,0.0799741002540297,0.4992667734753817,True,2026-06-18,702.25,-0.01663563329027462,0.215309202554949,0.6022510711345888,0.07752752468383206,-0.03516102540925958,1.0152108921160385,1.3417683898512935,-0.10568742201935555,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,FIX,0.0,current_target,0.0397066788566912,67.7297544051759,-0.6517497357854887,,0.2951507767511407,0.9786661099938117,69257602205.04785,854117625.5645752,2.705421978431265,0.2271050865587029,0.9302666309082748,True,2026-06-18,1967.4100341796875,0.07773762485877156,0.36244018885962226,1.0332509285674818,0.2246585109885053,0.11196996089541367,1.0748264238829592,1.5707205109877007,-0.03632021819061526,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,MU,0.0,current_target,0.0314983467889042,45.9124,-0.9676603936987568,,0.0,0.0,1278839125480.4622,52468247114.53156,6.799622338505139,1.41821655198394,3.778202548512196,True,2026-06-18,1133.989990234375,0.6229069554957147,1.5535516542848593,3.8811865255727565,1.4157699764137424,1.3030814263206507,1.5474771131011558,2.8305743046791796,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
