ticker,event_date,prior_peak_date,event_price,prior_peak_price,drawdown_from_peak,days_since_peak,label,label_reason,recovery_3m,recovery_6m,half_recovery_3m,half_recovery_6m,lower_low_after_half_recovery_6m,fast_drop_flag,high_volume_panic_flag,v_recovery_days,forward_1m_return,forward_3m_return,forward_6m_return,max_forward_3m_return,max_forward_6m_return,max_dd_next_3m,max_dd_next_6m,mom_1m,mom_3m,mom_6m,rs_vs_spy_3m,rs_vs_spy_6m,price_vs_sma50,price_vs_sma200,volume_surge,distribution_risk_score,breakdown_risk_score,shakeout_quality_score
MKSI,2023-05-31,2023-02-02,95.21562957763672,110.01680755615234,-0.13453560694315858,118,DISTRIBUTION,half_recovery_failed_then_lower_low,1,1,1,1,1,0,0,27,0.11088273870816612,0.015953233719305127,-0.15150435857780986,0.1331825546632106,0.1331825546632106,-0.1811007948885024,-0.406239961363957,0.16147582153959616,0.03163122199512203,0.24375392531678086,-0.030953707782820583,0.1794442060187762,0.13923596985201203,0.09989476341349168,1.1246489923251268,0.5454545454545454,0.2,0.6181818181818182
WDC,2023-05-31,2023-01-27,29.148557662963867,33.84484100341797,-0.13875920823441978,124,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,0,1,1,1,0,0,0,92,-0.02065587378917444,0.09785679964827154,0.2217920423833184,0.1231604217156923,0.2225665362254836,-0.09218396488640501,-0.17543098913969746,0.13711094999438966,0.016002149247730024,0.07255606916383561,-0.046582780530212586,0.008246349865830949,0.08760974078965877,0.0390676764929756,0.9665907271131747,0.2727272727272727,0.0,0.7999999999999999
TMUS,2023-06-02,2022-12-02,126.13691711425781,146.53958129882812,-0.1392297153010459,182,AMBIGUOUS,mixed_forward_evidence,0,1,1,1,0,0,0,180,0.06380069265030741,0.04680222328433925,0.16559662609694126,0.08598212377195735,0.16559662609694126,-0.06422390031012726,-0.06422390031012726,-0.06232574948352254,-0.07547562094552906,-0.13383073353606967,-0.13822630909130684,-0.19232179747320888,-0.08775588976721893,-0.08707984649196687,1.3596064543887603,0.5636363636363636,0.27,0.5272727272727273
ROST,2023-06-14,2023-01-06,103.27531433105469,117.41544342041016,-0.12042818795757759,159,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,1,1,1,1,0,0,0,65,0.03774453695644553,0.11186797002652527,0.3036619061556671,0.1486783660948745,0.3036619061556671,-0.04164815621169804,-0.10501214637232403,0.021033367228231903,0.04189315803453719,-0.08128226141694872,-0.08544054187606465,-0.18634240132014013,0.02107348882318938,0.026489785310582326,1.2480267797465279,0.4727272727272727,0.12,0.6181818181818182
ETR,2023-06-16,2022-12-14,46.03297424316406,52.373722076416016,-0.12106735175324124,184,DISTRIBUTION,slow_stair_step_lower_with_weak_relative_strength,0,0,0,0,0,0,0,-1,-0.0072543346182416535,-0.020851529940331126,0.011799108132843239,0.024017200910761316,0.05713347876255015,-0.10296072942739753,-0.13974447058328454,-0.0010772100417200114,-0.01457405017157809,-0.12106735175324124,-0.14560920253676723,-0.23476066739845303,-0.018629908894964964,-0.03647247560147504,1.1808970426699688,0.5181818181818182,0.44,0.2545454545454546
QCOM,2023-06-20,2023-02-01,112.67739868164062,128.523193359375,-0.12329132402916998,139,DISTRIBUTION,half_recovery_failed_then_lower_low,0,1,1,1,1,0,0,170,0.007511281174731765,-0.06940404034111791,0.1981328000307674,0.10307124751470198,0.21065103773807192,-0.1912569295521922,-0.20161970686318464,0.12801136378391154,-0.009587362827749302,0.04071587086819717,-0.12403844552994159,-0.09498028960609739,0.05670676906537642,0.015497800002254758,1.2568868004964142,0.5818181818181818,0.15,0.5090909090909091
COHR,2023-06-21,2023-06-20,46.869998931884766,55.310001373291016,-0.1525945078982025,1,DISTRIBUTION,half_recovery_failed_then_lower_low,0,0,1,1,1,1,1,-1,-0.018348637293578496,-0.35673137816054434,-0.056752718327940044,0.11649249036904896,0.11649249036904896,-0.42384868022996947,-0.44735335248676267,0.5272074980862811,0.3345672083529707,0.34838898720111944,0.2401957815873066,0.20501290398802774,0.3133854560699403,0.25228605256963177,2.405261249761923,0.4818181818181818,0.45,0.6363636363636362
STX,2023-06-21,2023-02-14,57.47230529785156,66.14659881591797,-0.13113740802012275,127,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,1,1,1,1,0,0,0,71,-0.031833689322063874,0.06594117092636287,0.37730654811290565,0.1970115531507326,0.40242306860073196,-0.14898232247618415,-0.14898232247618415,-0.00019828777050223678,0.002377666475075646,0.22451769541946787,-0.09199376029058848,0.08114161220637617,0.026980133779383353,0.061592371413546676,1.0626589712263554,0.3818181818181818,0.0,0.6909090909090908
PLTR,2023-06-22,2023-06-15,14.050000190734863,16.600000381469727,-0.1536144657913009,7,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,1,1,1,1,0,1,1,18,0.1615657988094752,-0.0035587323883337074,0.22775799045008882,0.4227757651064217,0.5188612002055593,-0.29964981689357495,-0.3016508155084334,0.18665540622175825,0.7113276644887812,1.212598488463732,0.5939588536479932,1.0552816317650675,0.24015819313065068,0.6288155648086218,1.9282081530149027,0.23636363636363636,0.1,1.0
MU,2023-06-29,2023-05-26,63.50931167602539,72.98686218261719,-0.1298528286211077,34,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,0,1,1,1,0,1,0,127,0.11183478956319703,0.015431041136529045,0.3416066290318367,0.11806426792427094,0.3581426890032997,-0.11178032374748226,-0.11178032374748226,-0.10266440235010876,0.014479096267868252,0.2916170728895473,-0.08116652827132187,0.1342609739914844,-0.010548177129349412,0.10049301455255777,1.0390512845843427,0.2727272727272727,0.0,0.7999999999999999
