rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month
2024-01-31,2024-02-29,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.1169916256568637
2024-02-29,2024-03-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.2775556188348756,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,2.2045297184976222
2024-03-28,2024-04-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.02954839668112853,2.139389399880118
2024-04-30,2024-05-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.009102237286959844,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.02954839668112853,0.0,2.3295062017887354
2024-05-31,2024-06-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.456359694784203
2024-06-28,2024-07-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.1807824779379,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.027425049412940952,2.3889939087787897
2024-07-31,2024-08-30,systemic_alert,0.2,0.3,0.1,0.4,0.3946994937012098,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.027425049412940952,-0.016998671420683335,2.4146048434415563
2024-08-30,2024-09-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.04439631028414759,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.016998671420683335,0.0,2.5037133538950336
2024-09-30,2024-10-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.625233296321216
2024-10-31,2024-11-29,balanced,0.7400000000000001,0.18,0.08,0.0,0.12312218257563103,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,2.8047357224740312
2024-11-29,2024-12-31,growth_reentry_alert,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.021539316050455063,2.7443236333096617
2024-12-31,2025-01-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.07984429679254072,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.021539316050455063,0.0,2.8051715562974655
2025-01-31,2025-02-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.8234558766338633
2025-02-28,2025-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.3627965718287339,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.07531004642227773,2.610821283493314
2025-03-31,2025-04-30,risk_off_alert,0.18,0.36,0.18,0.28,0.27814986060656005,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.07531004642227773,-0.06728150758680668,2.633489508649108
2025-04-30,2025-05-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.054297191022742046,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.06728150758680668,-0.014499543557432302,2.7825170551681224
2025-05-30,2025-06-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.014499543557432302,0.0,2.8801921404608386
2025-06-30,2025-07-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.012181243067250108,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,3.020346855461553
2025-07-31,2025-08-29,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,3.026227320078086
2025-08-29,2025-09-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.06052176477980188,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,3.2447669052728676
2025-09-30,2025-10-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,3.4752890254402096
2025-10-31,2025-11-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.23794550100754835,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.0549764906721718,3.284229830749995
2025-11-28,2025-12-31,growth_reentry_alert,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.0549764906721718,0.0,3.498449366892931
2025-12-31,2026-01-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.011951869485398895,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,3.549710039404646
2026-01-30,2026-02-27,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.02026674398985252,3.4777689747978227
2026-02-27,2026-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.372295112230721,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.02026674398985252,-0.052311918586382074,3.364017896818047
