portfolio,as_of_date,order_batch_id,client_order_id,ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,preview_status,lifecycle_status,source_orders_preview
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-TKR-6893d13243d7,TKR,BUY,126.0,115.73999786376952,116.02934785842896,14583.23973083496,36.4580993270874,-14619.697830162047,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-STM-6b2bd2ce20fb,STM,BUY,230.0,63.38999938964844,63.54847438812256,14579.69985961914,36.44924964904785,-14616.149109268188,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-ON-06efd6840561,ON,BUY,126.0,115.70999908447266,115.99927408218385,14579.459884643557,36.44864971160889,-14615.908534355163,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-MLI-477821e02ddd,MLI,BUY,104.0,139.5500030517578,139.8988780593872,14513.200317382812,36.28300079345704,-14549.48331817627,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-ECG-4b4c65c92a70,ECG,BUY,90.0,160.77000427246094,161.17192928314208,14469.300384521484,36.17325096130372,-14505.473635482787,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-NXPI-db75aa5fe216,NXPI,BUY,48.0,298.4100036621094,299.1560286712646,14323.68017578125,35.80920043945313,-14359.489376220705,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-VRT-cb9845900879,VRT,BUY,22.0,369.989990234375,370.91496520996094,8139.77978515625,20.349449462890625,-8160.12923461914,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-FTI-a3ad7d010c3a,FTI,BUY,98.0,72.68000030517578,72.86170030593871,7122.640029907227,17.806600074768067,-7140.446629981994,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-PR-4b68511762c2,PR,BUY,230.0,20.239999771118164,20.29059977054596,4655.199947357178,11.637999868392944,-4666.837947225571,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
concentrated,2026-05-13,7f84060c4b6b9f4683493f4f0672a156739d10539865ddb3db140a102e21cdf1,r1k-C-20260513-S-PR-e9ab7f7e818a,PR,SELL,13198.0,20.239999771118164,20.18939977169037,267127.5169792176,667.8187924480438,266459.6981867695,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/concentrated/orders_preview.csv
concentrated,2026-05-13,7f84060c4b6b9f4683493f4f0672a156739d10539865ddb3db140a102e21cdf1,r1k-C-20260513-S-ETR-d50c64a9c74c,ETR,SELL,2319.0,112.3499984741211,112.0691234779358,260539.6464614868,651.3491161537171,259888.2973453331,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/concentrated/orders_preview.csv
concentrated,2026-05-13,7f84060c4b6b9f4683493f4f0672a156739d10539865ddb3db140a102e21cdf1,r1k-C-20260513-B-ON-c5e2fbd2fbdc,ON,BUY,2029.0,115.70999908447266,115.99927408218385,234775.58814239505,586.9389703559875,-235362.527112751,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/concentrated/orders_preview.csv
concentrated,2026-05-13,7f84060c4b6b9f4683493f4f0672a156739d10539865ddb3db140a102e21cdf1,r1k-C-20260513-B-WDC-15c8dcc80d02,WDC,BUY,342.0,494.0899963378906,495.3252213287353,168978.7787475586,422.4469468688965,-169401.2256944275,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/concentrated/orders_preview.csv
concentrated,2026-05-13,7f84060c4b6b9f4683493f4f0672a156739d10539865ddb3db140a102e21cdf1,r1k-C-20260513-B-MRVL-e9cbcd5b6e34,MRVL,BUY,684.0,177.9499969482422,178.39487194061277,121717.79791259766,304.29449478149417,-122022.09240737915,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/concentrated/orders_preview.csv
concentrated,2026-05-13,7f84060c4b6b9f4683493f4f0672a156739d10539865ddb3db140a102e21cdf1,r1k-C-20260513-B-MU-f41b3ea7c07e,MU,BUY,105.0,803.6300048828125,805.6390798950194,84381.15051269531,210.9528762817383,-84592.10338897705,cash_scaled,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/concentrated/orders_preview.csv
