fill_date,gross_value,portfolio,price_return,reason,relative_return,signal_date,ticker
2023-12-18,502.0692443847656,main,0.0356836909915709,weekly_relative_trim,-0.0608507332514423,2023-12-15,UNH
2024-01-08,456.4933471679688,main,-0.0478352547923325,weekly_relative_trim,-0.0695553933970387,2024-01-05,DECK
2024-01-08,4164.714660644531,main,0.0046397710393579,weekly_relative_trim,-0.0961994105387322,2024-01-05,MA
2024-01-08,3618.75,main,-0.0432960834085774,weekly_relative_trim,-0.0651197665228887,2024-01-05,PANW
2024-01-16,673.7978363037109,main,-0.0199134633382721,weekly_relative_exit,-0.1249692707939879,2024-01-12,CHRD
2024-01-16,70.07640838623047,main,-0.0288799219747903,weekly_relative_exit,-0.1329746116956516,2024-01-12,EQT
2024-01-16,1959.656478881836,main,-0.058011435102661,weekly_relative_trim,-0.0659752192527165,2024-01-12,SSD
2024-01-16,324.2369155883789,main,0.0421886669475952,weekly_relative_trim,-0.0796494599943062,2024-01-12,STLD
2024-01-22,378.8537292480469,main,-0.0646596162650464,weekly_relative_trim,-0.0836211230341562,2024-01-19,DINO
2024-01-22,49.867652893066406,main,0.0540156131148612,weekly_relative_trim,-0.0701807312079381,2024-01-19,DTM
2024-01-22,489.1397705078125,main,-0.0180580993204824,weekly_relative_exit,-0.1337618829118622,2024-01-19,UNH
2024-02-05,18031.89819335937,main,0.0237464209621802,weekly_relative_exit,-0.128250533034687,2024-02-02,MA
2024-02-20,2670.769592285156,main,-0.0539652861363476,weekly_relative_trim,-0.0734916039584326,2024-02-16,FDS
2024-02-20,7140.62109375,main,0.0331587978272793,weekly_relative_exit,-0.1293236762278667,2024-02-16,MSFT
2024-02-20,9057.055435180664,main,0.3767266980829495,daily_trailing_stop_exit,0.3483108242603829,2024-02-16,SMCI
2024-02-22,9105.880249023438,main,-0.1890886656923415,daily_hard_stop_exit,-0.2542667032553342,2024-02-21,PANW
2024-03-25,1302.695343017578,main,-0.0746185244070885,weekly_relative_exit,-0.1341409215776718,2024-03-22,FDS
2024-04-08,165.99078369140625,main,-0.0666628404215659,weekly_relative_trim,-0.0795685354636223,2024-04-05,RL
2024-04-11,321.01025390625,main,-0.0964080925424496,daily_hard_stop_exit,-0.1014321660622208,2024-04-10,RL
2024-04-15,4063.22607421875,main,-0.0351034524639767,weekly_relative_trim,-0.078858049244907,2024-04-12,ORLY
2024-04-16,394.1400146484375,main,-0.085285253562965,daily_hard_stop_exit,-0.0729342076032903,2024-04-15,ANET
2024-04-17,537.9299926757812,main,-0.0894589447537668,daily_hard_stop_exit,-0.0754782162752119,2024-04-16,BLDR
2024-04-18,5044.963531494141,main,-0.0925430761251656,daily_hard_stop_exit,-0.0533660825039052,2024-04-17,EXP
2024-04-19,4291.262168884277,main,-0.0909734080405799,daily_hard_stop_exit,-0.0497732226165716,2024-04-18,CRH
2024-04-19,5586.13330078125,main,-0.0883690410149393,daily_hard_stop_exit,-0.0470508167950172,2024-04-18,STLD
2024-04-22,558.6361999511719,main,-0.0974077676663248,daily_hard_stop_exit,-0.0680576796437638,2024-04-19,AMAT
2024-04-22,11902.532577514648,main,-0.2280831028489736,daily_hard_stop_exit,-0.2029822565688016,2024-04-19,SMCI
2024-04-26,684.4600219726562,main,-0.0901578069587583,daily_hard_stop_exit,-0.076114277462847,2024-04-25,MOH
2024-04-29,49.03509521484375,main,-0.04395878740262,weekly_relative_trim,-0.0826609194824259,2024-04-26,WRB
2024-05-06,3997.0634765625,main,-0.0690225097643771,weekly_relative_trim,-0.0690745346350446,2024-05-03,MA
2024-05-20,77.20999908447266,main,-0.0533283540567715,weekly_relative_trim,-0.0858501558861245,2024-05-17,PSN
2024-05-28,690.5283966064453,main,-0.0567300650707607,weekly_relative_trim,-0.1085577352299446,2024-05-24,EXP
2024-05-28,2702.0951766967773,main,-0.031131512098999,weekly_relative_trim,-0.084365686707063,2024-05-24,WFRD
