priority,source,book,ticker,action,journey_tag,entry_date,exit_date,status,months_held,total_return,recent_3m_return,max_weight,reason
85,holding_history,concentrated_grid_presence,LNG,study_premature_exit_or_fast_capture,short_big_win_review,2022-01-31,2022-02-28,closed,2.0,0.24769065623287245,0.24769065623287245,0.0754198860448624,historical_short_big_win_review
85,holding_history,production_main,LNG,study_premature_exit_or_fast_capture,short_big_win_review,2022-01-31,2022-02-28,closed,2.0,0.24769065623287245,0.24769065623287245,0.0467235851228762,historical_short_big_win_review
85,holding_history,production_main,SBUX,study_premature_exit_or_fast_capture,short_big_win_review,2019-05-31,2019-06-28,closed,2.0,0.24802948437952876,0.24802948437952876,0.1173773323932217,historical_short_big_win_review
85,holding_history,production_main,TLN,study_premature_exit_or_fast_capture,short_big_win_review,2025-06-30,2025-06-30,closed,1.0,0.24949323497130127,0.24949323497130127,0.0167265341847437,historical_short_big_win_review
85,holding_history,main_v2_research,MLI,study_premature_exit_or_fast_capture,short_big_win_review,2025-07-31,2025-09-30,closed,3.0,0.2546499534000226,0.2546499534000226,0.15,historical_short_big_win_review
85,holding_history,main_v2_research,SSD,study_premature_exit_or_fast_capture,short_big_win_review,2023-10-31,2023-10-31,closed,1.0,0.2574560350283843,0.2574560350283843,0.1173925549058658,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,AMT,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-04-30,closed,2.0,0.25896647373373893,0.25896647373373893,0.085424386755492,historical_short_big_win_review
85,holding_history,production_main,RVMD,study_premature_exit_or_fast_capture,short_big_win_review,2025-12-31,2026-01-30,closed,2.0,0.2641673787846581,0.2641673787846581,0.0351973877253171,historical_short_big_win_review
85,holding_history,main_v2_research,RGEN,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-05-29,closed,3.0,0.2647151741815421,0.2647151741815421,0.15,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,MELI,study_premature_exit_or_fast_capture,short_big_win_review,2020-10-30,2020-10-30,closed,1.0,0.26563918895545857,0.26563918895545857,0.1666666666666666,historical_short_big_win_review
85,holding_history,main_v2_research,TSLA,study_premature_exit_or_fast_capture,short_big_win_review,2019-12-31,2020-02-28,closed,3.0,0.26829120028113906,0.26829120028113906,0.0733293451233048,historical_short_big_win_review
85,holding_history,production_main,DECK,study_premature_exit_or_fast_capture,short_big_win_review,2023-10-31,2023-12-29,closed,3.0,0.26848652220507363,0.26848652220507363,0.0477570641117884,historical_short_big_win_review
85,holding_history,main_v2_research,SBUX,study_premature_exit_or_fast_capture,short_big_win_review,2019-05-31,2019-06-28,closed,2.0,0.2715064409588044,0.2715064409588044,0.15,historical_short_big_win_review
85,holding_history,main_v2_research,GOOG,study_premature_exit_or_fast_capture,short_big_win_review,2025-07-31,2025-08-29,closed,2.0,0.27197586036465093,0.27197586036465093,0.0735696205512124,historical_short_big_win_review
85,holding_history,production_main,ZTO,study_premature_exit_or_fast_capture,short_big_win_review,2020-04-30,2020-06-30,closed,3.0,0.27263443455855496,0.27263443455855496,0.0799077557478022,historical_short_big_win_review
85,holding_history,main_v2_research,GOOGL,study_premature_exit_or_fast_capture,short_big_win_review,2025-07-31,2025-08-29,closed,2.0,0.27474653795959725,0.27474653795959725,0.1064303794487875,historical_short_big_win_review
85,holding_history,main_v2_research,JD,study_premature_exit_or_fast_capture,short_big_win_review,2020-07-31,2020-09-30,closed,3.0,0.2825001322070604,0.2825001322070604,0.1293178997784256,historical_short_big_win_review
