comparison_method,rebalance_date,target_cash_weight,target_stock_weight,broker_cash_date,broker_cash_weight,cash_drift
rebalance_day_next_close,2022-10-31,1.5457290109704036,59.95427098902958,2022-11-01,0.0001051333619114,-1.5456238776084923
rebalance_day_next_close,2022-11-30,0.0,58.499999999999986,2022-12-01,0.000874104373957,0.000874104373957
rebalance_day_next_close,2023-01-31,2.061561320831136,57.938438679168854,2023-02-01,0.0002191417364955,-2.0613421790946407
rebalance_day_next_close,2023-02-28,0.0,59.99999999999999,2023-03-01,0.0001004812009586,0.0001004812009586
rebalance_day_next_close,2023-05-31,0.0,58.499999999999986,2023-06-01,4.980720009343455e-05,4.980720009343455e-05
rebalance_day_next_close,2023-07-31,0.0,59.999999999999986,2023-08-01,0.0017395381686583,0.0017395381686583
rebalance_day_next_close,2023-08-31,0.3849682731042456,59.61503172689575,2023-09-01,0.0001659488821278,-0.3848023242221178
rebalance_day_next_close,2023-10-31,5.869887413737468,55.63011258626253,2023-11-01,6.131759872057355e-05,-5.869826096138747
rebalance_day_next_close,2023-11-30,0.0,58.49999999999999,2023-12-01,0.0002319765576811,0.0002319765576811
rebalance_day_next_close,2024-01-31,0.0,60.0,2024-02-01,0.0006070849979076,0.0006070849979076
rebalance_day_next_close,2024-02-29,0.6374054233787791,59.36259457662121,2024-03-01,0.0011044427238521,-0.636300980654927
rebalance_day_next_close,2024-04-30,14.605477793341363,46.89452220665863,2024-05-01,0.0002042521143292,-14.605273541227033
rebalance_day_next_close,2024-07-31,13.232702274184351,46.76729772581564,2024-08-01,0.0002510914704392,-13.232451182713913
rebalance_day_next_close,2024-09-30,4.535172764792568,55.46482723520742,2024-10-01,0.0001254158666707,-4.535047348925898
rebalance_day_next_close,2024-10-31,4.3704333535923885,57.1295666464076,2024-11-01,7.016906603864863e-05,-4.37036318452635
rebalance_day_next_close,2024-12-31,6.076832860294545,55.42316713970545,2025-01-02,0.0002327248450406,-6.076600135449505
rebalance_day_next_close,2025-03-31,3.1237665083121717,56.87623349168781,2025-04-01,0.0011837702147811,-3.1225827380973907
rebalance_day_next_close,2025-04-30,5.489977766673534,56.01002223332647,2025-05-01,0.0028168157780397,-5.487160950895494
rebalance_day_next_close,2025-06-30,0.0,61.49999999999999,2025-07-01,0.0009547834694997,0.0009547834694997
rebalance_day_next_close,2025-07-31,0.0,59.999999999999986,2025-08-01,8.21041494233375e-07,8.21041494233375e-07
rebalance_day_next_close,2025-09-30,0.1348471436272946,59.865152856372696,2025-10-01,8.707967266138313e-05,-0.13476006395463322
rebalance_day_next_close,2025-12-31,0.2527217886914726,61.24727821130852,2026-01-02,0.0006450549810761,-0.2520767337103965
rebalance_day_next_close,2026-03-31,3.4537071420086947,56.546292857991304,2026-04-01,0.0001105648506479,-3.453596577158047
month_mean,2019-06-30,0.0,58.49999999999999,,0.001317051638616,0.001317051638616
month_mean,2019-07-31,0.0,61.499999999999986,,0.0011697761617888,0.0011697761617888
month_mean,2019-08-31,0.0,59.999999999999986,,0.0012750630767385,0.0012750630767385
month_mean,2019-09-30,0.0,59.999999999999986,,0.00052235592578,0.00052235592578
month_mean,2019-10-31,0.5475217581951999,59.4524782418048,,0.0002952673148977,-0.5472264908803022
month_mean,2019-11-30,0.5257735702623265,60.97422642973767,,0.0002669272985499,-0.5255066429637766
month_mean,2019-12-31,0.0,58.499999999999986,,0.0014807147588986,0.0014807147588986
month_mean,2020-01-31,0.0,61.49999999999999,,9.064216790284232e-05,9.064216790284232e-05
month_mean,2020-02-29,0.0,59.999999999999986,,0.0002458462103781,0.0002458462103781
month_mean,2020-03-31,5.590785157823347,54.409214842176645,,0.001688577124841,-5.589096580698506
month_mean,2020-04-30,17.802600825594872,42.19739917440512,,1.2156618551495218e-05,-17.80258866897632
month_mean,2020-05-31,17.56860765891735,43.93139234108264,,0.0038666623289451,-17.564740996588405
