ticker,Name,sector,source_universe,in_prefilter,in_scored_universe,in_main_target,in_concentrated_target,main_target_weight,concentrated_target_weight,main_preview_target_weight,concentrated_preview_target_weight,has_actionable_order,has_blocked_delta,main_order_status,concentrated_order_status,prefilter_drop_reason,first_scored_date,first_onset_signal_date,first_target_date,first_broker_buy_date,first_broker_exit_date,missed_return_after_onset,best_historical_forward_return,historical_candidate_months,price_cache_exists,price_cache_last_date,price_cache_stale_days,failed_min_price,failed_dollar_vol,failed_mktcap,failed_vol_252,failed_dd_1y,failed_rank_size,px,dollar_vol_20d,mktcap,dd_1y,portfolio_sleeve_label,portfolio_candidate_gate_label,portfolio_defensive_rotation_action,portfolio_monster_early_score,portfolio_stale_mega_leader_score,portfolio_risk_entry_block_score,rs_acceleration_score,oneil_leadership_score,industry_group_strength_score,relative_strength_composite,period_forward_return,score_total_rank,score_total,score_rank,score,portfolio_future_winner_engine_score_rank,portfolio_future_winner_engine_score,drop_reason
STX,Seagate Technology,Information Technology,strategic_global_hardware,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,,,,,,,,0,True,2026-05-15,2.0,False,False,False,False,False,False,795.469970703125,3327926081.6812134,178367429697.03125,0.209978296413596,future_winner,future_relaxed,,,,,0.0,0.5702833678110748,1.6603490768505695,5.138132646120821,,33.0,3.658153057151396,35.0,3.586035401241093,43.0,0.6700448606352323,rank_or_cap_not_selected
FSLR,FIRST SOLAR INC,Information Technology,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2020-01-31,2021-07-30,2022-08-12,2022-09-01,2022-10-03,0.0746855509602677,0.5817902971865372,60,True,2026-05-15,2.0,False,False,False,False,False,False,233.3699951171875,533412736.8695069,25076390798.635376,0.5222307131407451,future_winner,future_relaxed,,,,,0.159344739553229,0.3920698153701139,1.6603490768505695,-0.2132677516183917,,181.0,1.477158753928709,177.0,1.5127769701989002,44.0,0.6648842035137169,rank_or_cap_not_selected
IONQ,IonQ,Information Technology,etf_thematic_overlay,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,,,,,,,,0,True,2026-05-15,2.0,False,False,False,False,True,False,51.95000076293945,1650346571.7474174,19391374083.38237,0.6760872050335975,future_winner,future_relaxed,,,,,2.4569279429699917,0.1069281314645765,1.6603490768505695,0.6624176242499655,,471.0,-0.1738225445393534,468.0,-0.194817289900773,45.0,0.6605785352065529,rank_or_cap_not_selected
LRCX,Lam Research,Information Technology,strategic_global_hardware,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,,,,,,,,0,True,2026-05-15,2.0,False,False,False,False,False,False,284.7200012207031,2610043596.454849,356062576646.5759,0.2767685465501711,core_compounder,core_strict,,,,,-3.0,-0.08,3.034717446028911,3.118010779106813,,34.0,3.6376335578180425,33.0,3.678674053227307,46.0,0.6602356917583556,rank_or_cap_not_selected
EME,EMCOR GROUP INC,Industrials,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2020-04-30,,,,,0.1381873935488,0.1381873935488,4,True,2026-05-15,2.0,False,False,False,False,False,False,913.1099853515624,344705555.302124,40578861593.599365,0.2515057475593997,future_winner,future_relaxed,,,,,-1.3316937327096685,0.0014189242266144,-0.2929053788669278,1.5035962776080785,,54.0,2.764113621264599,55.0,2.7857756744005657,47.0,0.6576950180993923,rank_or_cap_not_selected
ALAB,Astera Labs,Information Technology,cycle_play_whitelist,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2025-03-31,2025-05-30,2025-08-01,,,-0.0209051178365199,0.7622515721691265,13,True,2026-05-15,2.0,False,False,False,False,False,False,232.67999267578125,1201572870.512848,39883197991.09076,0.6019136306999948,early_scout,early_relaxed,,,,,1.3506977380969092,-0.7741176470588236,3.034717446028911,2.430952132487339,,172.0,1.5399778339220398,170.0,1.5534081734996137,48.0,0.65126310241475,rank_or_cap_not_selected
PL,Planet Labs,Information Technology,etf_thematic_overlay,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,,,,,,,,0,True,2026-05-15,2.0,False,False,False,False,True,False,41.619998931884766,357845202.77051926,11609386859.302391,0.6891891875564835,early_scout,early_relaxed,,,,,-0.008735977464986,0.0918415265497976,-0.0703961836255058,5.138132646120821,,721.0,-2.653356308870495,722.0,-2.7298046584455893,49.0,0.6509987884717794,rank_or_cap_not_selected
STM,STMicroelectronics,Semiconductors,adr_whitelist,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-05-31,2019-05-31,2019-12-13,2023-02-01,2023-05-01,0.2015398691958296,0.3965324910742314,71,True,2026-05-15,2.0,False,False,False,False,False,False,61.40999984741211,696166626.3316727,54580846592.0,0.6000167806220824,unassigned,rejected,,,,,2.109166260956336,0.9333333333333332,3.034717446028911,3.955392288479275,,169.0,1.5490771920792674,178.0,1.4990167915847874,52.0,0.6287956740592562,candidate_gate_rejected
YMM,Full Truck Alliance,Industrials,adr_whitelist,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2025-09-30,,,,,0.0514540617429224,0.0514540617429224,7,True,2026-05-15,2.0,False,False,False,False,False,False,8.65999984741211,52159337.34167576,9057443840.0,0.6051484287390905,early_scout,early_relaxed,,,,,0.9471850565410584,0.382651263259092,-2.0570721272101165,-1.0311365382944084,,353.0,0.4306645638144727,338.0,0.4874722577147216,54.0,0.6258033559313563,rank_or_cap_not_selected
CSCO,CISCO SYSTEMS INC,Information Technology,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-05-31,2020-02-28,2021-12-31,2022-01-03,2022-02-01,-0.0004979135311107,0.1989500794384822,83,True,2026-05-15,2.0,False,False,False,False,False,False,118.20999908447266,2399396081.330185,468111596374.5117,0.1357455048233352,core_compounder,core_strict,,,,,1.3844980774849946,0.3290709065543212,2.1680317991574096,2.323636578723411,,8.0,5.035052700176848,8.0,5.066410410699811,65.0,0.5632135788032805,rank_or_cap_not_selected
