rebalance_date,ticker,weight,stage,monster_onset_score,cum_return,peak_return,months_held,bad_months,period_forward_return,risk_adjusted_forward_return,weighted_forward_return,risk_exit_proxy,risk_exit_reason,hard_stop_proxy,sector,industry_group,theme_horizon_primary,theme_holding_profile_primary,theme_event_risk_sensitivity_max,theme_structural_growth_max,technical_leadership_signal,leadership_signal,growth_signal,rs_acceleration_score,revenue_growth_final,revision_score,portfolio_monster_early_score,portfolio_risk_entry_block_score,portfolio_defensive_rotation_action,distribution_risk_score,explosion_exit_score,stage2_overext_penalty
2020-11-30,WDAY,0.12669683257918554,winner,0.12098629214567266,0.004671691450102156,0.004671691450102156,4,1,0.0651628956297201,0.0651628956297201,0.008255932477973588,False,none,,Information Technology,Software - Application,unknown,neutral,0.35,0.35,0.6,0.6,0.0026427371637164,-1.4502990765098065,nan,0.0,0.3938928920097583,0.1604166666666666,neutral,0.0,0.0,0.0
2020-11-30,PWR,0.022624434389140274,scout,0.6769289212385002,0.12807155142358728,0.12807155142358728,2,0,0.0282368467694307,0.0282368467694307,0.0006388426870911924,False,none,,Industrials,Construction & Engineering,structural_growth,long_duration,0.35,1.0,0.77,0.77,0.1457849096945128,0.0590355700213829,nan,0.0,0.4438221865080494,0.1083333333333333,neutral,0.2571255063751312,0.0,0.0
2020-11-30,ROKU,0.022624434389140274,scout,1.3035479232897542,0.16179001721170394,0.16179001721170394,1,0,0.1617900172117039,0.1617900172117039,0.003660407629224071,False,none,,Communication,Other,unknown,neutral,0.35,0.35,1.0,1.0,0.2285454653357419,1.5855400597582427,nan,0.0,0.5552801832835853,0.1083333333333333,neutral,0.7596625959685885,0.0,0.0
2020-11-30,LRCX,0.022624434389140274,scout,1.2054339864395596,0.05102747327095858,0.05102747327095858,1,0,0.0510274732709585,0.0510274732709585,0.0011544677210624096,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.1199903134133375,0.997773923981958,-0.0758233772566714,nan,0.1062559074876801,0.5937572188452276,0.2416666666666667,promote_monster_early,0.2730120365148257,0.0,0.0
2020-12-31,MELI,0.28,winner,0.43567194817554367,0.7714747267385125,0.7714747267385125,6,0,0.1425969439649914,0.1425969439649914,0.039927144310197595,False,none,,Internet,Internet Content & Information,unknown,neutral,0.35,0.35,0.74,1.2321214595960206,0.2463267308855275,-3.0,nan,0.0,0.5630953002332266,0.2416666666666667,neutral,0.2793302843287435,0.0,0.0
2020-12-31,PWR,0.12,confirm,0.5458121367400462,0.2033294107630237,0.2033294107630237,3,0,0.0667137286145223,0.0667137286145223,0.008005647433742675,False,none,,Industrials,Construction & Engineering,structural_growth,long_duration,0.35,1.0,0.85,0.9027106310882116,0.1722378265719872,-0.8496118384211289,nan,0.0,0.4444757379683033,0.2416666666666667,neutral,0.2296768758229366,0.0,0.0
2020-12-31,ROKU,0.06,confirm,0.7037564361168022,0.4437627265939321,0.4437627265939321,2,0,0.2427053987423326,0.2427053987423326,0.014562323924539955,False,none,,Communication,Other,unknown,neutral,0.35,0.35,0.75,0.75,0.2271471121561999,-1.1042776709528122,nan,0.0,0.5158187562825659,0.2416666666666667,neutral,0.687719124302802,0.0,0.0
2020-12-31,LRCX,0.12,confirm,1.020230400971002,0.14323836555507485,0.14323836555507485,2,0,0.0877340456164688,0.0877340456164688,0.010528085473976255,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.0,0.6644300402496813,-0.0365874737023583,nan,0.1062559074876801,0.5172057409741815,0.2416666666666667,neutral,0.0461299446190852,0.0,0.0
2020-12-31,MU,0.05,scout,1.2224674286572468,0.07021417295009291,0.07021417295009291,1,0,0.0702141729500929,0.0702141729500929,0.003510708647504645,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.0,0.231162238693288,1.8907547250863947,nan,0.0,0.5380919808714543,0.1083333333333333,neutral,0.3467810171378012,0.0,0.0
2020-12-31,HPQ,0.05,scout,1.1859960494303725,0.006477655585539699,0.006477655585539699,1,0,0.0064776555855396,0.0064776555855396,0.00032388277927698,False,none,,Information Technology,Tech Hardware & Storage,unknown,neutral,0.35,0.35,1.12,4.353040226118983,0.3263391779451829,0.6754163460938899,nan,0.0441208777772106,0.6185266614247783,0.1083333333333333,promote_monster_early,0.2236511263793907,0.0,0.0
