variant_id,status,cagr,max_dd,sharpe,trade_count,avg_cash_weight,target_distance,valid_for_production,bull_variant,neutral_variant,bear_variant,neutral_multiplier,bear_multiplier,reason
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N2_cap0.4_bm1.0_nm0.9,completed,0.16858606219762717,-0.2425442128120575,0.8327100335241011,233,0.32454561714400804,0.39395815061443035,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N2_cap0.4,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N2_cap0.4_bm0.5_nm1.0,completed,0.19173853625889326,-0.26900403097043424,0.8764386393158026,233,0.2579845959111561,0.397265494711541,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N2_cap0.4,1.0,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N2_cap0.4_bm0.75_nm1.0,completed,0.19005082897032244,-0.26900403097043424,0.8654587020750434,233,0.25428551832963686,0.3989532020001118,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N2_cap0.4,1.0,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N2_cap0.4_bm1.0_nm1.0,completed,0.18833096088310008,-0.26900403097043424,0.8530213599285705,233,0.25051884218707626,0.40067307008733416,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N2_cap0.4,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N4_cap0.33_bm1.0_nm0.9,completed,0.23329156832699938,-0.31855958393641026,0.9091761074484919,235,0.10732757859036242,0.4052680156094109,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N4_cap0.33,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N4_cap0.33_bm0.75_nm0.9,completed,0.23305439651039817,-0.31855958393641026,0.9116042269730888,235,0.11192645069580058,0.4055051874260121,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N4_cap0.33,0.9,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N4_cap0.33_bm0.5_nm0.9,completed,0.2328065525619365,-0.31855958393641026,0.9131250091154145,235,0.11656613619704302,0.40575303137447377,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N4_cap0.33,0.9,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N2_cap0.4_bm0.5_nm0.9,completed,0.22882432146251297,-0.31855958393641026,0.8990011162261905,234,0.11857149952841169,0.4097352624738973,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N2_cap0.4,0.9,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N2_cap0.4_bm0.75_nm0.9,completed,0.22708139109868553,-0.31855958393641026,0.8903776526364001,234,0.1148711132299613,0.41147819283772474,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N2_cap0.4,0.9,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N2_cap0.4_bm1.0_nm0.9,completed,0.22530935062249968,-0.31855958393641026,0.8807222018044186,234,0.11110384784554929,0.4132502333139106,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N2_cap0.4,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N4_cap0.33_bm1.0_nm1.0,completed,0.25918141021438923,-0.35287591816116193,0.9192782481287379,234,0.008982890684437165,0.4136945079467727,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N4_cap0.33,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N4_cap0.33_bm0.75_nm1.0,completed,0.2589521570794542,-0.35287591816116193,0.9211136230568435,234,0.01357859999382478,0.41392376108170775,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N4_cap0.33,1.0,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N4_cap0.33_bm0.5_nm1.0,completed,0.2586890760616125,-0.35287591816116193,0.9221601286765668,234,0.01821112069889482,0.4141868420995494,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N4_cap0.33,1.0,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N2_cap0.4_bm0.5_nm1.0,completed,0.25463163596266214,-0.35287591816116193,0.9095851689147165,233,0.020224283094394033,0.4182442821984998,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N2_cap0.4,1.0,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N2_cap0.4_bm0.75_nm1.0,completed,0.2528436156438765,-0.35287591816116193,0.9021344004125613,233,0.01651601371254848,0.42003230251728546,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N2_cap0.4,1.0,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N2_cap0.4_bm1.0_nm1.0,completed,0.25104048431772097,-0.35287591816116193,0.8939101961858306,233,0.012755036498493511,0.42183543384344097,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N2_cap0.4,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N4_cap0.33_bm1.0_nm0.9,completed,0.1700571009672034,-0.2828262596592177,0.7038203789267952,345,0.13935379430850495,0.4327691586920143,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N4_cap0.33,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N2_cap0.4_bm1.0_nm0.9,completed,0.15679944690065084,-0.2750640571494596,0.6779401424718839,286,0.18378072595347447,0.43826461024880875,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N2_cap0.4,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N2_cap0.4_bm1.0_nm1.0,completed,0.16718319417585148,-0.2870452304011397,0.6986332620998305,287,0.1436965733487075,0.43986203622528824,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N2_cap0.4,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N4_cap0.33_bm1.0_nm1.0,completed,0.18054958586971503,-0.3071952185778294,0.7238797020779626,345,0.09932665112901452,0.44664563270811436,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N4_cap0.33,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N3_cap0.25_bm0.5_nm0.9,completed,0.016256850539150713,-0.1743006807615337,-0.04599228542494895,95,0.6032324782535836,0.4837431494608493,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N3_cap0.25,0.9,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N3_cap0.25_bm0.5_nm1.0,completed,0.016256850539150713,-0.1743006807615337,-0.04599228542494895,95,0.6032324782535836,0.4837431494608493,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N3_cap0.25,1.0,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N2_cap0.4_bm0.75_nm0.9,completed,0.1463522547197491,-0.31133817941699815,0.6685895328640049,285,0.22861343105073464,0.48498592469724905,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N2_cap0.4,0.9,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N4_cap0.33_bm0.75_nm0.9,completed,0.15648892926961655,-0.33125367195116096,0.6949723247475192,345,0.19484419276002296,0.4947647426815444,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N4_cap0.33,0.9,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N2_cap0.4_bm0.75_nm1.0,completed,0.1566384914787835,-0.33473914953603057,0.6888669016465558,287,0.1886233435936345,0.49810065805724707,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N2_cap0.4,1.0,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N4_cap0.33_bm0.75_nm1.0,completed,0.16669151603434318,-0.3537873909481951,0.7139629982421228,344,0.1549330338968469,0.5070958749138519,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N4_cap0.33,1.0,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N3_cap0.25_bm0.75_nm0.9,completed,0.02303397415677,-0.24470871255707327,0.055343229633033245,94,0.41512760882375166,0.5416747384003033,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N3_cap0.25,0.9,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N3_cap0.25_bm0.75_nm1.0,completed,0.02303397415677,-0.24470871255707327,0.055343229633033245,94,0.41512760882375166,0.5416747384003033,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N3_cap0.25,1.0,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N2_cap0.4_bm0.5_nm0.9,completed,0.13574944467294237,-0.36516811395175897,0.6480329248078608,288,0.2733798178346686,0.5494186692788166,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N2_cap0.4,0.9,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N4_cap0.33_bm0.5_nm0.9,completed,0.1423031930898233,-0.37750422255351734,0.6703489896853111,345,0.25072926008569835,0.555201029463694,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N4_cap0.33,0.9,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N2_cap0.4_bm0.5_nm1.0,completed,0.14569922921042555,-0.3868369730901071,0.6675308074570616,287,0.2334126520128782,0.5611377438796816,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N2_cap0.4,1.0,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N4_cap0.33_bm0.5_nm1.0,completed,0.15221795026868934,-0.3990173035839957,0.6885785365180035,344,0.2108230970305963,0.5667993533153064,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N4_cap0.33,1.0,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N3_cap0.25_bm1.0_nm0.9,completed,0.02888197394624159,-0.3067740534211577,0.11261794759372104,95,0.23363118533436686,0.5978920794749161,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N3_cap0.25,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N3_cap0.25_bm1.0_nm1.0,completed,0.02888197394624159,-0.3067740534211577,0.11261794759372104,95,0.23363118533436686,0.5978920794749161,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N3_cap0.25,1.0,1.0,
