rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,cash_weight_start,cash_weight_end,stock_weight_start,stock_weight_end,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month
2020-04-30,2020-05-29,balanced,0.25,0.35,0.4,0.0,0.006203082058998489,0.0,0.006203082058998489,1.0,0.9937969179410014,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.3767080445598663
2020-05-29,2020-06-30,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.4709184978228773
2020-06-30,2020-07-31,balanced,0.25,0.35,0.4,0.0,0.051503160651893524,0.0,0.051503160651893524,1.0,0.9484968393481066,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.6113813544120235
2020-07-31,2020-08-31,balanced,0.25,0.35,0.4,0.0,0.015875166775087678,0.0,0.015875166775087678,1.0,0.9841248332249124,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.8227548197879457
2020-08-31,2020-09-30,balanced,0.25,0.35,0.4,0.0,0.23101288056940664,0.0,0.23101288056940664,1.0,0.7689871194305933,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.02074292029015346,1.7849455618525913
2020-09-30,2020-10-30,balanced,0.25,0.35,0.4,0.0,0.07200779564397469,0.0,0.07200779564397469,1.0,0.9279922043560253,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.02074292029015346,-0.012899307378657444,1.7992425450915717
2020-10-30,2020-11-30,risk_off_alert,0.18,0.36,0.18,0.28,0.3244560951675326,0.2799999999999999,0.3244560951675326,0.7200000000000001,0.6755439048324674,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.012899307378657444,0.0,1.9028489376677686
2020-11-30,2020-12-31,growth_reentry_alert,0.25,0.35,0.4,0.0,0.025989859888076273,0.0,0.025989859888076273,1.0,0.9740101401119239,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.9927412136279463
2020-12-31,2021-01-29,balanced,0.25,0.35,0.4,0.0,0.20838684053061318,0.009497106602469163,0.20838684053061318,0.9905028933975308,0.7916131594693868,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.006049290174466928,1.9806865437840915
2021-01-29,2021-02-26,risk_off_alert,0.18,0.36,0.18,0.28,0.3604204611789155,0.28,0.3604204611789155,0.72,0.6395795388210845,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.006049290174466928,0.0,2.0765177075228403
2021-02-26,2021-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.6661701690504468,0.28,0.6661701690504468,0.72,0.33382983094955304,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.019046665354126677,2.0369669696457344
2021-03-31,2021-04-30,growth_reentry_alert,0.25,0.35,0.4,0.0,0.0646607740658437,0.03952613638344438,0.0646607740658437,0.9604738636165556,0.9353392259341563,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.019046665354126677,0.0,2.1252381810939047
2021-04-30,2021-05-28,balanced,0.25,0.35,0.4,0.0,0.3332197331759588,0.0,0.3332197331759588,1.0,0.6667802668240412,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,21,0.0,0.0,2.130346280063333
2021-05-28,2021-06-30,balanced,0.25,0.35,0.4,0.0,0.03388824095783978,0.0,0.03388824095783978,1.0,0.9661117590421603,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.2095510068877684
2021-06-30,2021-07-30,balanced,0.25,0.35,0.4,0.0,0.08921869911044704,0.0,0.08921869911044704,1.0,0.910781300889553,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,2.3086773412347226
