ticker,trade_count,win_rate,compound_realized_return,avg_realized_return,best_trade_return,worst_trade_return,avg_alpha_vs_benchmark,avg_holding_days,max_holding_days,dominant_exit_reason,churn_tag
CBRE,3,0.6666666666666666,0.34502469040651085,0.1089319153820862,0.2115385162414333,-0.0340186858845648,0.046830839699011195,30.333333333333332,62.0,scheduled_rebalance,normal
AZO,4,1.0,0.33449588352696047,0.0767299938147746,0.1814219066415423,0.011273376989942,0.058072572157396,61.0,244.0,single_period_hold,profitable_reentry_churn
V,9,0.5555555555555556,0.33421121111368657,0.03483871893362855,0.1193700753580087,-0.0715694099900362,0.02733696208858355,67.11111111111111,151.0,scheduled_rebalance,profitable_reentry_churn
APP,2,1.0,0.3309868165992429,0.1570397494711962,0.2450974876724796,0.0689820112699128,0.12804853660045684,76.0,119.0,scheduled_rebalance,normal
TGT,1,1.0,0.32699760377043185,0.3269976037704318,0.3269976037704318,0.3269976037704318,0.2356289774218185,91.0,91.0,scheduled_rebalance,normal
WMT,2,1.0,0.32579863520482744,0.16157577670697904,0.3147412095813531,0.008410343832605,0.09148041734018211,121.0,212.0,scheduled_rebalance,normal
NDAQ,1,1.0,0.3178998158101818,0.3178998158101818,0.3178998158101818,0.3178998158101818,0.2340239690788197,153.0,153.0,scheduled_rebalance,normal
DUOL,1,1.0,0.3119289701006607,0.3119289701006607,0.3119289701006607,0.3119289701006607,0.2527227404204601,0.0,0.0,single_period_hold,normal
ETSY,4,0.25,0.30740546996864593,0.10863226513561894,0.6667767989733988,-0.106908654302079,0.05897219321075851,46.5,153.0,scheduled_rebalance,profitable_reentry_churn
FLEX,1,1.0,0.286129530446974,0.286129530446974,0.286129530446974,0.286129530446974,0.1284249342592753,59.0,59.0,scheduled_rebalance,normal
P,1,1.0,0.2775680650200838,0.2775680650200838,0.2775680650200838,0.2775680650200838,0.1865627824493789,31.0,31.0,scheduled_rebalance,normal
ZTO,1,1.0,0.27263443455855496,0.2726344345585549,0.2726344345585549,0.2726344345585549,0.1087532881323933,61.0,61.0,scheduled_rebalance,normal
CEG,2,1.0,0.27064229228297054,0.1301458927676787,0.2113089795539948,0.0489828059813626,0.0962060555035052,45.5,91.0,scheduled_rebalance,normal
WBS,1,1.0,0.27057755979625586,0.2705775597962558,0.2705775597962558,0.2705775597962558,0.2662503371143119,91.0,91.0,scheduled_rebalance,normal
AAPL,6,0.6666666666666666,0.26894225515306003,0.044154254350085846,0.1566831296236699,-0.0787217135187908,0.014484046981542716,81.0,184.0,scheduled_rebalance,normal
RVMD,1,1.0,0.2641673787846581,0.2641673787846581,0.2641673787846581,0.2641673787846581,0.2607919903962856,30.0,30.0,scheduled_rebalance,normal
HD,6,0.8333333333333334,0.2641572591636432,0.04106632253887208,0.099328246642554,-0.0430969006323056,-0.03194515410643411,111.66666666666667,213.0,scheduled_rebalance,normal
MU,3,0.6666666666666666,0.26340018428129275,0.08705666691487994,0.251490522390259,-0.0088174721495528,0.0887742406443135,28.666666666666668,58.0,scheduled_rebalance,normal
LULU,2,1.0,0.2562356011194684,0.12327155129288475,0.197456299216266,0.0490868033695035,0.0591689501817952,15.5,31.0,single_period_hold,normal
CNQ,1,1.0,0.25533091429649524,0.2553309142964952,0.2553309142964952,0.2553309142964952,0.2689223735507853,0.0,0.0,single_period_hold,normal
ALGN,1,1.0,0.24954868097463878,0.2495486809746387,0.2495486809746387,0.2495486809746387,0.1094923708581518,62.0,62.0,scheduled_rebalance,normal
DXCM,2,0.5,0.24925611598159203,0.13894354129434344,0.3578870825886868,-0.0799999999999999,0.1014661379842104,60.5,121.0,single_period_hold,normal
DHR,2,1.0,0.24610681138322255,0.11774537169780105,0.1747357618406391,0.060754981554963,0.07852895851398206,168.5,245.0,scheduled_rebalance,normal
LEA,1,1.0,0.24474605314621578,0.2447460531462157,0.2447460531462157,0.2447460531462157,0.1046897430297288,62.0,62.0,scheduled_rebalance,normal
XPO,1,1.0,0.24444447712531248,0.2444444771253124,0.2444444771253124,0.2444444771253124,0.1043881670088255,62.0,62.0,scheduled_rebalance,normal
ALSN,1,1.0,0.23887535811121619,0.2388753581112161,0.2388753581112161,0.2388753581112161,0.1614208353560702,121.0,121.0,scheduled_rebalance,normal
COST,7,0.42857142857142855,0.2252054536926047,0.03444375966035445,0.263316921747863,-0.0799999999999999,-0.018737841261611477,39.0,92.0,scheduled_rebalance,profitable_reentry_churn
WFRD,3,0.6666666666666666,0.2216844376577103,0.07504774274024582,0.2390260481435355,-0.0196507062811689,0.0003612489861937,30.333333333333332,91.0,single_period_hold,normal
JBL,1,1.0,0.22006728283883392,0.2200672828388339,0.2200672828388339,0.2200672828388339,0.2083073964637685,90.0,90.0,scheduled_rebalance,normal
COR,4,0.75,0.2199594117418633,0.05403580264129222,0.1659990610366959,-0.0555223623835728,0.04424257388860417,106.0,212.0,scheduled_rebalance,normal
TROW,1,1.0,0.21821335007552567,0.2182133500755256,0.2182133500755256,0.2182133500755256,0.1343375033441636,153.0,153.0,scheduled_rebalance,normal
TECH,1,1.0,0.20689893728724051,0.2068989372872405,0.2068989372872405,0.2068989372872405,0.1415410484423416,60.0,60.0,scheduled_rebalance,normal
CSGP,1,1.0,0.2060132004315265,0.2060132004315265,0.2060132004315265,0.2060132004315265,0.148645411121352,0.0,0.0,single_period_hold,normal
INTU,2,0.5,0.2026222685152308,0.11027171258311386,0.283710483470738,-0.0631670583045103,0.03869453386277845,61.0,63.0,scheduled_rebalance,normal
HII,2,1.0,0.20205622720175298,0.10061472904834941,0.1970333714180627,0.0041960866786361,0.01137812703087035,29.5,59.0,scheduled_rebalance,normal
CNM,2,1.0,0.1991323181872071,0.0985736056636308,0.1865034008048878,0.0106438105223738,0.06089003825196965,31.0,33.0,scheduled_rebalance,normal
APH,2,0.5,0.19652334343325673,0.10252411024217514,0.2404953762073869,-0.0354471557230366,0.06003527214940494,119.5,211.0,scheduled_rebalance,normal
FANG,7,0.42857142857142855,0.1910098284309909,0.029757934193703532,0.2062906235233654,-0.0799999999999999,0.014137821253992272,47.714285714285715,182.0,single_period_hold,profitable_reentry_churn
THC,1,1.0,0.18844178508897658,0.1884417850889765,0.1884417850889765,0.1884417850889765,0.0974365025182717,31.0,31.0,scheduled_rebalance,normal
EXPD,1,1.0,0.18646650495484574,0.1864665049548457,0.1864665049548457,0.1864665049548457,0.1118198124001113,58.0,58.0,scheduled_rebalance,normal
NEE,1,1.0,0.18390106999476208,0.183901069994762,0.183901069994762,0.183901069994762,0.0808762457149099,121.0,121.0,scheduled_rebalance,normal
ISRG,1,1.0,0.18339239175774358,0.1833923917577435,0.1833923917577435,0.1833923917577435,0.0623780182713731,273.0,273.0,scheduled_rebalance,patient_winner
CHRW,1,1.0,0.18106161186575354,0.1810616118657535,0.1810616118657535,0.1810616118657535,0.123693822555579,0.0,0.0,single_period_hold,normal
RGEN,1,1.0,0.17588701728697176,0.1758870172869717,0.1758870172869717,0.1758870172869717,0.0358307071704848,62.0,62.0,scheduled_rebalance,normal
HUBB,2,1.0,0.1730178072156796,0.0831892643525873,0.099957543722269,0.0664209849829056,0.02124770998550545,45.5,61.0,scheduled_rebalance,normal
TPL,2,0.5,0.16770257045457093,0.09462096220357105,0.269241924407142,-0.0799999999999999,0.11338489552254245,14.5,29.0,single_period_hold,normal
TW,3,0.6666666666666666,0.16598866603571572,0.05597020290684584,0.1549542725193373,-0.0522103073698354,-0.0018674661611902028,80.66666666666667,211.0,scheduled_rebalance,normal
TWLO,3,0.6666666666666666,0.16311098162450421,0.05337846184548763,0.1141019069551292,-0.0277128341030321,0.016748133762510702,0.0,0.0,single_period_hold,normal
Z,1,1.0,0.1593473961628593,0.1593473961628593,0.1593473961628593,0.1593473961628593,0.0730868743626349,57.0,57.0,scheduled_rebalance,normal
LW,1,1.0,0.14898998144667397,0.1489899814466739,0.1489899814466739,0.1489899814466739,-0.0087146147410246,59.0,59.0,scheduled_rebalance,normal
EXP,4,0.5,0.14875491452955347,0.036777254270159626,0.1086374551927404,-0.0216919857519131,0.0130675598134176,38.0,92.0,scheduled_rebalance,profitable_reentry_churn
AMZN,7,0.42857142857142855,0.14641182849432854,0.028865626585267888,0.3610535982613025,-0.0799999999999999,0.008191159940433242,70.28571428571429,212.0,scheduled_rebalance,profitable_reentry_churn
GDDY,1,1.0,0.14483250254556945,0.1448325025455694,0.1448325025455694,0.1448325025455694,0.086812234609459,154.0,154.0,scheduled_rebalance,normal
SBUX,2,0.5,0.14286905375030456,0.07149087233989584,0.143765596534503,-0.0007838518547113,0.027274966206245407,46.5,60.0,scheduled_rebalance,normal
MLI,2,0.5,0.14195987620684147,0.07105659908081985,0.1431840018326906,-0.0010708036710509,0.044086994183563544,31.5,63.0,single_period_hold,normal
ZS,1,1.0,0.13693878082372524,0.1369387808237252,0.1369387808237252,0.1369387808237252,0.0927890758064911,0.0,0.0,single_period_hold,normal
ATO,2,1.0,0.1359891490867089,0.06583447723058865,0.0695739647213085,0.0620949897398688,0.140085247393182,91.5,120.0,scheduled_rebalance,normal
DASH,2,0.5,0.1344614424539352,0.068342327101782,0.1513717521468567,-0.0146870979432927,0.05809663246286795,45.0,62.0,scheduled_rebalance,normal
CORT,1,1.0,0.1337054385558596,0.1337054385558596,0.1337054385558596,0.1337054385558596,0.1057133211921637,60.0,60.0,scheduled_rebalance,normal
CNC,1,1.0,0.13252281490430273,0.1325228149043027,0.1325228149043027,0.1325228149043027,0.1760942666977384,122.0,122.0,scheduled_rebalance,normal
MOH,2,1.0,0.13191899784773464,0.06414012033440605,0.085939153743932,0.0423410869248801,0.01643247013340905,29.0,58.0,scheduled_rebalance,normal
MCO,2,0.5,0.13047267926541162,0.07051308279437704,0.1951147728652149,-0.0540886072764608,0.0366224811627488,45.0,58.0,scheduled_rebalance,normal
USFD,2,1.0,0.13032361435196993,0.06318244293258556,0.068952417640564,0.0574124682246071,0.06115329192056045,60.0,120.0,single_period_hold,normal
TLN,1,1.0,0.12786707045669288,0.1278670704566928,0.1278670704566928,0.1278670704566928,0.1411239130229292,151.0,151.0,scheduled_rebalance,normal
CRWD,1,1.0,0.12602430647288343,0.1260243064728834,0.1260243064728834,0.1260243064728834,0.0891374610359052,95.0,95.0,scheduled_rebalance,normal
ACI,1,1.0,0.1252848006658258,0.1252848006658258,0.1252848006658258,0.1252848006658258,0.1654105557501312,59.0,59.0,scheduled_rebalance,normal
PR,2,1.0,0.12337301740218565,0.06098550807725815,0.1091231331513324,0.0128478830031839,0.0690107439820748,0.0,0.0,single_period_hold,normal
SHW,1,1.0,0.12274760702593746,0.1227476070259374,0.1227476070259374,0.1227476070259374,0.0653798177157629,0.0,0.0,single_period_hold,normal
CROX,1,1.0,0.12154031389000974,0.1215403138900097,0.1215403138900097,0.1215403138900097,0.0282225411167349,123.0,123.0,scheduled_rebalance,normal
PGR,1,1.0,0.11735139117946192,0.1173513911794619,0.1173513911794619,0.1173513911794619,-0.0403532050082366,59.0,59.0,scheduled_rebalance,normal
