signal_date,effective_next_trading_day,portfolio,crisis_state,prior_cash_weight,target_cash_weight,policy_cash_floor,equity_drawdown,equity_drawdown_cash_floor,base_cash_floor,turnover_from_cash_action,estimated_cost_usd,cash_action
2021-06-03,2021-06-04,main,GREEN,0.14999999999999997,0.35,0.03,-0.10389142386721384,0.35,0.053059387257191,0.2,87.13294994804956,RAISE_CASH
2021-06-04,2021-06-07,main,GREEN,0.35,0.24999999999999997,0.03,-0.09825382588736475,0.0,0.0525393223440321,0.1,43.84056036707241,RELEASE_CASH
2021-06-07,2021-06-08,main,GREEN,0.24999999999999997,0.35,0.03,-0.10233939590571917,0.35,0.052825059373635,0.1,43.64193054843213,RAISE_CASH
2021-07-14,2021-07-15,main,GREEN,0.35,0.55,0.03,-0.1507871106686599,0.55,0.0456797040289768,0.20000000000000007,82.57305660512021,RAISE_CASH
2021-07-19,2021-07-20,main,GREEN,0.55,0.45000000000000007,0.03,-0.14189506953233677,0.35,0.0446425373587412,0.09999999999999998,41.71883628169521,RELEASE_CASH
2021-07-20,2021-07-21,main,GREEN,0.45000000000000007,0.3500000000000001,0.03,-0.13479323382980668,0.35,0.0439908653199894,0.09999999999999998,42.06410911541717,RELEASE_CASH
2021-08-03,2021-08-04,main,GREEN,0.3500000000000001,0.2500000000000001,0.03,-0.09321916122951224,0.0,0.0753215200098555,0.09999999999999998,44.085332705671725,RELEASE_CASH
2021-08-04,2021-08-05,main,GREEN,0.2500000000000001,0.1500000000000001,0.03,-0.07466111972840306,0.0,0.0734452111224773,0.1,44.98757655441847,RELEASE_CASH
2021-08-05,2021-08-06,main,GREEN,0.1500000000000001,0.0734969803581268,0.03,-0.07549023571442315,0.0,0.0734969803581268,0.07650301964187331,34.38601656685553,RELEASE_CASH
2021-08-11,2021-08-12,main,GREEN,0.0734969803581268,0.35,0.03,-0.10342338606676382,0.35,0.0757736536222314,0.2765030196418732,120.5255365196643,RAISE_CASH
2021-08-12,2021-08-13,main,GREEN,0.35,0.24999999999999997,0.03,-0.0997744336556291,0.0,0.0752637813792575,0.1,43.766632360973766,RELEASE_CASH
2021-08-13,2021-08-16,main,GREEN,0.24999999999999997,0.14999999999999997,0.03,-0.09653501248434093,0.0,0.0749082472986538,0.1,43.924124617100034,RELEASE_CASH
2021-08-16,2021-08-17,main,GREEN,0.14999999999999997,0.35,0.03,-0.10820358515892992,0.35,0.0759554991135802,0.2,86.71365775064585,RAISE_CASH
2021-08-23,2021-08-24,main,WATCH,0.35,0.24999999999999997,0.15,-0.09244736432516065,0.0,0.0740512859906565,0.1,44.122855469557756,RELEASE_CASH
2021-08-24,2021-08-25,main,GREEN,0.24999999999999997,0.14999999999999997,0.03,-0.0931456809727238,0.0,0.0740988183684565,0.1,44.08890512519068,RELEASE_CASH
2021-08-25,2021-08-26,main,GREEN,0.14999999999999997,0.073786273233538,0.03,-0.08984689719707417,0.0,0.073786273233538,0.07621372676646197,33.72402797493582,RELEASE_CASH
2021-09-01,2021-09-02,main,GREEN,0.073786273233538,0.0302740730566067,0.03,-0.06385017425324757,0.0,0.0302740730566067,0.04351220017693129,19.803784546474375,RELEASE_CASH
2021-09-14,2021-09-15,main,WATCH,0.0302740730566067,0.15,0.15,-0.05649140130584951,0.0,0.0300355968635354,0.11972592694339329,54.919409480128195,RAISE_CASH
2021-09-29,2021-09-30,main,WATCH,0.15,0.35,0.15,-0.10166376974312397,0.35,0.0317645592033945,0.19999999999999998,87.34955548053262,RAISE_CASH
2021-10-14,2021-10-15,main,WATCH,0.35,0.24999999999999997,0.15,-0.09788109955107505,0.0,0.0911878219174845,0.1,43.85868135490204,RELEASE_CASH
2021-10-15,2021-10-18,main,WATCH,0.24999999999999997,0.35,0.15,-0.10110127459169405,0.35,0.0915561974861051,0.1,43.70212479573535,RAISE_CASH
2021-10-18,2021-10-19,main,GREEN,0.35,0.24999999999999997,0.03,-0.09277230294298722,0.0,0.0903542514959065,0.1,44.107057796665565,RELEASE_CASH
