rebalance_date,hard_stop,target_n,weighting_mode,active_rebalance_interval_months,cost_bps,gross_return,original_gross_return,cost,turnover,net_return,return_delta,risk_exit_count,n_positions
2021-03-31,-0.08,3,score_power,1,25.0,0.06966810070980453,0.06966810070980453,0.001310152311129404,0.5240609244517616,0.06835794839867512,0.0,0,3
2021-04-30,-0.08,3,score_power,1,25.0,0.03181781065278234,0.03181781065278234,0.0018805304227489323,0.7522121690995729,0.029937280230033406,0.0,0,3
2021-05-28,-0.08,3,score_power,1,25.0,0.13259554951115904,0.13259554951115904,0.0010733905044895478,0.4293562017958191,0.1315221590066695,0.0,0,3
2021-06-30,-0.08,3,score_power,1,25.0,0.04943357521712787,0.04943357521712787,0.001739094685229321,0.6956378740917284,0.04769448053189855,0.0,0,3
2021-07-30,-0.08,3,score_power,1,25.0,-0.02427723345178121,-0.02427723345178121,0.0019032013774833746,0.7612805509933498,-0.026180434829264583,0.0,0,3
2021-08-31,-0.08,3,score_power,1,25.0,-0.005953558245258164,-0.005953558245258164,0.0018115053933901886,0.7246021573560755,-0.007765063638648352,0.0,0,3
2021-09-30,-0.08,3,score_power,1,25.0,0.040439718775321105,0.040439718775321105,0.0017279295112492968,0.6911718044997187,0.03871178926407181,0.0,0,3
2021-10-29,-0.08,3,score_power,1,25.0,-0.03999297595622276,-0.03999297595622276,0.001715285956708725,0.68611438268349,-0.041708261912931484,0.0,0,3
2021-11-30,-0.08,3,score_power,1,25.0,0.04640575921943118,0.04640575921943118,0.0025,1.0,0.04390575921943118,0.0,0,3
2021-12-31,-0.08,3,score_power,1,25.0,-0.026878986893056445,-0.026878986893056445,0.0025,1.0,-0.029378986893056444,0.0,0,3
2022-01-31,-0.08,3,score_power,1,25.0,0.0038768329824275163,0.0038768329824275163,0.0017455775796245809,0.6982310318498324,0.0021312554028029354,0.0,0,3
2022-02-28,-0.08,3,score_power,1,25.0,0.03495086570404852,0.03495086570404852,0.0025,1.0,0.032450865704048516,0.0,0,3
2022-03-31,-0.08,3,score_power,1,25.0,-0.07999999999999999,-0.07999999999999999,0.0014840146976532794,0.5936058790613118,-0.08148401469765326,0.0,0,3
2022-04-29,-0.08,3,score_power,1,25.0,-0.002269293612285725,-0.002269293612285725,0.0025,1.0,-0.004769293612285725,0.0,0,3
2022-05-31,-0.08,3,score_power,1,25.0,-0.07214384877426996,-0.07214384877426996,0.0025,1.0,-0.07464384877426997,0.0,0,3
2022-06-30,-0.08,3,score_power,1,25.0,0.049381099450395996,0.049381099450395996,0.0025,1.0,0.046881099450395994,0.0,0,3
2022-07-29,-0.08,3,score_power,1,25.0,0.0249841605612469,0.0249841605612469,0.0016569312330116596,0.6627724932046638,0.023327229328235242,0.0,0,3
