rebalance_date,ticker,Name,sector,weight,portfolio_sleeve_label,portfolio_candidate_gate_label,leader_onset_score,alpha_selector_style,alpha_selector_score,target_stock_names,weighting_mode,active_rebalance_interval_months,research_only_backtest,production_activation_allowed
2021-01-29,UI,UBIQUITI INC,Information Technology,0.1931685456352122,future_winner,future_relaxed,0.5435460937649892,rs_heavy,0.9101421188630491,5,alpha_selector,1,True,False
2021-01-29,PTC,PTC INC,Information Technology,0.18626634756858085,future_winner,future_relaxed,0.4853851742215054,rs_heavy,0.893733850129199,5,alpha_selector,1,True,False
2021-02-26,LPX,LOUISIANA PACIFIC CORP,Materials,0.22313723681393924,early_scout,early_relaxed,0.6190551317104063,rs_heavy,0.9685503685503686,5,alpha_selector,1,True,False
2021-02-26,TROW,T ROWE PRICE GROUP INC,Financials,0.19924680453887395,future_winner,future_relaxed,0.39439600391557583,rs_heavy,0.9152334152334151,5,alpha_selector,1,True,False
2021-02-26,FTNT,FORTINET INC,Information Technology,0.19605038357114438,early_scout,early_relaxed,0.44614239202002165,rs_heavy,0.9078624078624078,5,alpha_selector,1,True,False
2021-02-26,MEDP,MEDPACE HOLDINGS INC,Health Care,0.19211746560584722,early_scout,early_relaxed,0.3472583934244447,rs_heavy,0.8987100737100737,5,alpha_selector,1,True,False
2021-02-26,GOOG,ALPHABET INC CLASS C,Communication,0.18944810947019533,future_winner,future_relaxed,0.4467649227377993,rs_heavy,0.8924447174447173,5,alpha_selector,1,True,False
2021-03-31,NDAQ,NASDAQ INC,Financials,0.20891116370296517,early_scout,early_relaxed,0.5144061296425564,rs_heavy,0.9637767220902613,5,alpha_selector,1,True,False
2021-03-31,HUBB,HUBBELL INC,Industrials,0.20849946548802253,future_winner,future_relaxed,0.5571879104192986,rs_heavy,0.9628266033254157,5,alpha_selector,1,True,False
2021-03-31,MCO,MOODYS CORP,Financials,0.20186628191334102,future_winner,future_relaxed,0.4634717149229381,rs_heavy,0.9473871733966746,5,alpha_selector,1,True,False
2021-03-31,TROW,T ROWE PRICE GROUP INC,Financials,0.19399838120652724,future_winner,future_relaxed,0.4815579830553963,rs_heavy,0.9287410926365797,5,alpha_selector,1,True,False
2021-03-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.18672470768914404,early_scout,early_relaxed,0.39425880985486833,rs_heavy,0.911163895486936,5,alpha_selector,1,True,False
2021-04-30,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.2280945681527417,early_scout,early_relaxed,0.5261351448821472,rs_heavy,0.989816933638444,5,alpha_selector,1,True,False
2021-04-30,NDAQ,NASDAQ INC,Financials,0.19912577388817898,early_scout,early_relaxed,0.44310399644964044,rs_heavy,0.9248283752860412,5,alpha_selector,1,True,False
2021-04-30,FTNT,FORTINET INC,Information Technology,0.19129640777994633,early_scout,early_relaxed,0.447617438367124,rs_heavy,0.9064645308924486,5,alpha_selector,1,True,False
2021-04-30,GOOG,ALPHABET INC CLASS C,Communication,0.19110328882421274,future_winner,future_relaxed,0.5350282991239537,rs_heavy,0.9060068649885584,5,alpha_selector,1,True,False
2021-04-30,VVV,VALVOLINE INC,Consumer Discretionary,0.19037996135492016,early_scout,early_relaxed,0.4522894420558114,rs_heavy,0.9042906178489704,5,alpha_selector,1,True,False
2021-05-28,NDAQ,NASDAQ INC,Financials,0.21682132195022288,early_scout,early_relaxed,0.5873598104846497,rs_heavy,0.9818706697459585,5,alpha_selector,1,True,False
2021-05-28,GEN,GEN DIGITAL INC,Information Technology,0.2037396432855461,future_winner,future_relaxed,0.5275417207828149,rs_heavy,0.9517898383371823,5,alpha_selector,1,True,False
2021-05-28,EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,0.19435841042725072,future_winner,future_relaxed,0.4707069317288018,rs_heavy,0.9296189376443419,5,alpha_selector,1,True,False
2021-05-28,FTNT,FORTINET INC,Information Technology,0.19308096905707897,early_scout,early_relaxed,0.5205838538599338,rs_heavy,0.9265588914549653,5,alpha_selector,1,True,False
2021-05-28,IRM,IRON MOUNTAIN INC,Real Estate,0.1919996552799013,future_winner,future_relaxed,0.4938417595244965,rs_heavy,0.9239607390300231,5,alpha_selector,1,True,False
2021-06-30,SPGI,S&P GLOBAL INC,Financials,0.2089147497980244,future_winner,future_relaxed,0.6169197696767919,rs_heavy,1.0,5,alpha_selector,1,True,False
2021-06-30,NDAQ,NASDAQ INC,Financials,0.2089147497980244,future_winner,future_relaxed,0.6649622835914819,rs_heavy,1.0,5,alpha_selector,1,True,False
2021-06-30,TROW,T ROWE PRICE GROUP INC,Financials,0.20005719076322043,future_winner,future_relaxed,0.6376097547937438,rs_heavy,0.9785714285714285,5,alpha_selector,1,True,False
2021-06-30,EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,0.19302730949580812,future_winner,future_relaxed,0.5844935971812378,rs_heavy,0.9612244897959183,5,alpha_selector,1,True,False
2021-06-30,IDXX,IDEXX LABORATORIES INC,Health Care,0.1890860001449225,future_winner,future_relaxed,0.5882891601343996,rs_heavy,0.9513605442176869,5,alpha_selector,1,True,False
2021-07-30,MCO,MOODYS CORP,Financials,0.20836496081620123,future_winner,future_relaxed,0.7091524527567628,rs_heavy,1.0,5,alpha_selector,1,True,False
2021-07-30,NDAQ,NASDAQ INC,Financials,0.20001648319823812,future_winner,future_relaxed,0.5775594144188294,rs_heavy,0.979761904761905,5,alpha_selector,1,True,False
