as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,open_lot_count,open_lot_quantity,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,monster_recommendation,monster_stage,monster_priority_score,monster_reason,risk_state,account_source,approval_status,forward_pe_final,valuation_blueprint_score,fcf_margin,sales_growth_yoy,eps_growth_yoy,market_cap_live,dollar_vol_20d,score,rs_benchmark_3m,rs_benchmark_6m,price_available,price_latest_date,close,ret_1m,ret_3m,ret_6m,spy_excess_3m,qqq_excess_3m,price_to_ma50,price_to_ma200,drawdown_from_63d_high,decision_cadence,new_buy_allowed,full_universe_rerank_today,crisis_state
2026-07-02,current_broker_ledger_mark_to_market,main,equity,NXT,396.0,111.0199966430664,43963.9186706543,0.066374893206735,145.02000427246094,-13464.003021240234,362.9987201499939,2026-06-01,2026-06-01,31.0,1,396.0,145.02000427246094,target_rebalance,future_winner,WARNING_NO_ADD,below MA50; no add until recovered,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,32.2924,-0.5490224991208823,0.1578225482456263,0.202822927976745,0.1326970145733363,15158939343.096151,433764045.077158,-1.2016789482070416,-0.2239906059128624,0.1918808258255462,True,2026-07-02,111.0199966430664,-0.27066091346235777,-0.07775378654185672,0.2755054627218092,-0.21733435282836044,-0.29865208585212333,0.8797370174126906,1.0458860781761037,-0.2901534464474045,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,MU,43.0,957.0700073242188,41154.010314941406,0.062132610610674,571.281430444052,16588.908805847168,20368.06754590988,2026-01-02,2026-06-01,181.0,3,43.0,575.9349712992823,target_rebalance,future_winner,WARNING_NO_ADD,1M weakness; no add,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,55.1938,-1.055504387419831,,0.0,0.0,1080908311299.4924,61303858332.68672,5.721081334080266,1.4555573669661626,2.1883300358469238,True,2026-07-02,957.0700073242188,-0.1005826244876884,1.6017941863371683,2.271954672743186,1.4622136200506646,1.3808958870269017,1.1236966955801944,2.1549301501280085,-0.21135340558813953,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,ALAB,100.0,397.8399963378906,39783.99963378906,0.0600642255484873,320.0899963378906,7775.0,8813.263099327089,2026-06-01,2026-06-01,31.0,1,100.0,320.0899963378906,target_rebalance,unassigned,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,311.19284923400926,-1.984857815424072,,1.151265487395594,-3.5007703444752165,68192933824.04538,2562059829.052617,4.144241628369316,2.595322378286204,1.245104026566332,True,2026-07-02,397.8399963378906,0.1182819468663383,2.74155919765721,1.328728663462595,2.601978631370706,2.520660898346943,1.3091208650770498,2.033557462334596,-0.17634879428016847,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,HPE,920.0,40.98500061035156,37706.20056152344,0.0569272510544748,46.862892150878906,-5407.660217285156,0.0,2026-06-01,2026-06-01,31.0,1,920.0,46.862892150878906,target_rebalance,unassigned,WARNING_NO_ADD,1M weakness; no add,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,40.3474,0.1381563957515133,,0.1383808543831115,,54272482116.41469,1315125379.0316186,5.190661680316228,0.5678962799648937,0.6351107231604567,True,2026-07-02,40.98500061035156,-0.26794461902121136,0.7141330993358994,0.7187353600567197,0.5745525330493957,0.4932348000256328,1.043156082545323,1.5148734418656717,-0.26794461902121136,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,MRVL,147.0,241.1501007080078,35449.06480407715,0.0535195215029778,164.9499969482422,11201.415252685549,2883.576258220673,2026-05-01,2026-05-01,62.0,1,147.0,164.9499969482422,target_rebalance,future_winner,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,104.5591,-1.2410616381183333,,0.4208728521145077,-4.083649025385388,210958108099.36523,18295661455.090115,6.070586375153,1.1147585743053223,1.6992754387776376,True,2026-07-02,241.1501007080078,-0.1707070613784365,1.2609953936763283,1.7829000756739006,1.1214148273898246,1.0400970943660617,1.078758018587283,1.9677736790547105,-0.2379037819114268,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,AMD,63.0,511.4363098144531,32220.487518310547,0.0486451499948826,510.1300048828125,82.29721069335938,7237.928279371262,2026-06-01,2026-06-01,31.0,1,63.0,510.1300048828125,target_rebalance,future_winner,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,174.9323,-2.7117200442380733,,0.3433779329067288,1.6287165913347763,833948373591.2493,16365718627.205711,6.95378005493635,1.2867411240178073,1.2913930955827368,True,2026-07-02,511.4363098144531,-0.019372758826861958,1.432977943388813,1.3750177324789998,1.2933973771023093,1.2120796440785464,1.1112065962789492,1.8386768933630786,-0.11959454397728675,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,STM,468.0,67.6500015258789,31660.200714111328,0.0477992523151863,55.68721008300781,5598.586395263672,9393.59295472622,2026-05-01,2026-05-01,62.0,1,468.0,55.68721008300781,target_rebalance,early_scout,EXIT_REVIEW,leader/technical breakdown,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,232.4185,-0.996586141443668,,-0.0753075777760363,,60749074432.0,1001841186.6329918,3.0352162362774835,0.8157063959270261,1.5226439724406642,True,2026-07-02,67.6500015258789,-0.14820423491447532,0.9619432152980318,1.6062686093369272,0.8223626490115281,0.7410449159877652,1.021631971693476,1.7564758178407052,-0.1524680307626518,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,CIEN,68.0,419.5101013183594,28526.68688964844,0.0430684036613473,386.80152297419,2224.183327403516,30349.25967087224,2026-03-02,2026-05-01,122.0,2,68.0,441.8399949915269,target_rebalance,future_winner,WARNING_NO_ADD,below MA50; no add until recovered,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,138.2975,-0.9034562200130002,,0.1879353566851933,,59382880650.12982,1935812355.19032,1.8315494392443932,-0.1363182211268738,0.6763606804562692,True,2026-07-02,419.5101013183594,-0.3309248782801286,0.009918598244131882,0.7599853173525322,-0.12966196804237184,-0.21097970106613473,0.8117113091814685,1.2886573728303352,-0.3309248782801286,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,QCOM,141.0,174.875,24657.375,0.037226677736438,228.14735412597656,-7511.401931762695,-698.6001216316223,2026-06-01,2026-06-01,31.0,1,141.0,228.14735412597656,target_rebalance,future_winner,WARNING_NO_ADD,below MA50; no add until recovered,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,24.4938,-0.880204019562999,,0.0,0.0,184318250000.0,4603188209.162994,3.053562427953416,0.2327771573252555,-0.0663610089940422,True,2026-07-02,174.875,-0.27121367898780124,0.37901397669626125,0.01726362790222069,0.23943341040975752,0.15811567738599464,0.8656674718090137,1.0473788835788216,-0.30076929600477353,daily_current_holdings_review,False,False,GREEN
2026-07-02,current_broker_ledger_mark_to_market,main,equity,ON,267.0,90.18000030517578,24078.060081481934,0.0363520522023094,103.02999877929688,-3430.949592590332,1656.5384191513056,2026-05-01,2026-05-01,62.0,1,267.0,103.02999877929688,target_rebalance,future_winner,WARNING_NO_ADD,below MA50; no add until recovered,,,0.0,,green,simulated_broker_replay,simulation_ready_preview_only,89.775,-0.3534515222918645,,-0.153467094023128,-0.917983804693278,35341829883.97936,1633357435.8197904,2.189777674622239,0.3036023960475833,0.5789859367493702,True,2026-07-02,90.18000030517578,-0.2989738748985683,0.44983921541858907,0.6626105736456331,0.31025864913208534,0.22894091610832246,0.8148505617005984,1.2695007356089738,-0.3266631431580511,daily_current_holdings_review,False,False,GREEN
